Topic,Count,Name,Representation,Representative_Docs
-1,4223,-1_car_new_driving_design,"['car', 'new', 'driving', 'design', 'fuel', 'driver']","[""We'll have to make a new one soon because there's more to come."", ""But at the same time, it's not stuffy. You know, the car is not stuffy."", 'But once the car is done, it will take a lot of time.']"
0,4058,0_new_car_cars,"['new', 'car', 'cars']","['For example, the new BMW X1 plug-in hybrid and the BMW X2 and the electrified BMW 3 Series Touring will be attractive additions to our wide range.', 'This is what the BMW 5 Series is all about. This is the new BMW 5 Series.', 'I know, why is that? Yeah, I only see you at the car show.']"
1,785,1_rear_steering_car_suspension,"['rear', 'steering', 'car', 'suspension', 'speed', 'transmission', 'drive']","[""And it shows in some of the technical choices we've made. For example, the IONIQ Hybrid and Plug-in Hybrid employ a 6-speed dual-clutch transmission and multi-link rear suspension."", 'But the 2018 model delivers even better ride and responsive driving dynamics with recalibrated steering and updated rear suspension with re-engineered rear trailing arms.', 'The rear wheel steering turns the rear wheels up to 5 degrees.']"
2,777,2_electric_engine_horsepower_torque,"['electric', 'engine', 'horsepower', 'torque', 'power', 'liter', 'battery', 'cylinder', 'motor', 'car']","['The primary electric motor up front develops 129 horsepower or 96 kilowatts and 184 pound-feet of torque for a combined system horsepower and torque rating of 357 and 420 pound-feet respectively.', 'Like the Active Hybrid 7, the electric motor can generate additional horsepower and torque to supplement the combustion engine under acceleration.', 'This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.']"
3,652,3_seat_seats_door_cargo,"['seat', 'seats', 'door', 'cargo', 'rear', 'space', 'trunk', 'storage', 'carbon', 'leather']","['The rear seats in the i3 can be folded down to increase the cargo area.', 'So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels.', ""Now, it's not just about having a back seat. It's about the ability to fold down the back seat and have some actual cargo space.""]"
4,595,4_display_navigation_screen_voice,"['display', 'navigation', 'screen', 'voice', 'phone', 'information', 'smartphone', 'control']","['Apple CarPlay or Android Auto offer a more seamless integration of your personal smartphone.', ""You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays."", 'For example, one new feature is the display of smartphone navigation apps in the instrument cluster and the head-up display.']"
5,491,5_lane_assist_mode_braking,"['lane', 'assist', 'mode', 'braking', 'brake', 'traffic', 'blind', 'spot', 'collision']","['Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features, such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert.', 'Serious technology like 37 square feet of airbags, blind spot monitoring, rear cross path detection, park assist, adaptive cruise control with full stop, electronic stability control, forward collision warning with full stop, lane departure warning, and even pedestrian automatic emergency braking.', 'I like that. You also get advanced safety technology. It offers standard blind spot detection with rear cross traffic alert and available automatic emergency braking, lane keep assist, and rear parking assistance system.']"
6,438,6_charging_charge_charger_stations,"['charging', 'charge', 'charger', 'stations', 'station', 'battery', 'volt', 'hours', 'car', 'cable']","['Now this station and other Level 2 home charging stations charge your BMW i3 at 240 volts from the convenience of your own home.', 'Level 2 charging stations are currently the most common public charging stations available.', 'For standard charging, use the occasional use cable. Select Level 1. This level is for charging using any dedicated three-prong, 120-volt standard household outlet.']"
7,366,7_grille_light_lights_headlights,"['grille', 'light', 'lights', 'headlights', 'kidney', 'rear', 'design']","['Available LED headlights have an undercut design with a more focused look, while the single-frame grille adds depth to the front.', 'and of course you can see on the left you can see all the lights, but also the three of them in general also have LED, full LED lights.', 'The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood.']"
8,348,8_interior_materials_design_colors,"['interior', 'materials', 'design', 'colors', 'color', 'surfaces', 'premium', 'beautiful']","[""On the inside, we've improved the design of the interior and the materials."", 'And if you talk about the interior, The interior is like the upper exterior layer.', ""So, let's see. In the interior, no, not in the interior. You can see the interior when we're here.""]"
