selection_label,topic,rank,representative_text
lowest_noise,0,1,"It's an exclamation mark on Brand 's focus on precision-crafted performance and making driving pleasure a staple across all future Brand models. You've heard us talk today about how the Model represents a new sports experience, but in my humble opinion, that doesn't go far enough. I think that the Model will embody the next sports experience, and with this extraordinary on-rails cornering and zero-delay acceleration, that is exactly what this all-new Model will deliver."
lowest_noise,0,2,"And finally, entertainment in the new 5 and Model is going to be enriched by the possibility of video streaming, starting with YouTube and gaming on the control display with Model Console. So I'm pretty sure you will agree with me that the new Brand Model and the all-new Brand Model offer the perfect opportunity for discerning Brand drivers to find their sweet spot in a versatile array of executive sedans."
lowest_noise,0,3,"And those are just a few of the smart sense technologies that are available on the Brand Model. So as you make your way around, taking a look again at that bold new design for that 2021 Brand Model, we are really excited for you to get that first look right here, right now. Of course, if you didn't already know, Brand produces their own high-grade steel to make our vehicles more durable and safer for all of our drivers."
lowest_noise,1,1,"Best of all, every Brand Model includes ToyotaCare, which provides two years or 25,000 miles of scheduled maintenance, whichever comes first, and two-year unlimited mileage of 24-hour roadside assistance. And since every variant is a hybrid electric vehicle, it includes a hybrid system warranty covering select components for eight years or 100,000 miles, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making it a strong choice for long-term ownership."
lowest_noise,1,2,"And every Model includes ToyotaCare, which provides two years or 25,000 miles of scheduled maintenance, whichever comes first, and two-year unlimited mileage of 24-hour roadside assistance. The strength of Model 's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership."
lowest_noise,1,3,"And Model Plug-in Hybrid includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, whichever comes first, and 2-year unlimited mileage of 24-hour roadside assistance. This strong value is further enhanced by an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making this electrified SUV a strong choice for long-term ownership."
most_topics,-1,1,"Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. Select grades also come with trials to Brand 's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect."
most_topics,-1,2,"Backing this versatile design is a comfortable interior that elevates Model 's refinement, turning drives into premium experiences. Comfort meets practicality inside Model 's cabin. Use the available smart key system to enter the vehicle and experience features like the available dual-zone automatic climate control, available heated and ventilated power-adjustable front seats, available heated leather-wrapped steering wheel, and available heated outboard rear seats, all of which bring a premium vibe as well as added comfort."
most_topics,-1,3,"So the car for most people is going to net down in the low 20s, so I think it's a very affordable car, which helps a lot. Other cars that are out there, the only one that's comparably priced is the Brand Model, and I think they make a great car. If you're thinking about buying an electric car, you should absolutely look at the Brand Model."
most_topics,0,1,Thank you very much.
most_topics,0,2,Thank you.
most_topics,0,3,Thank you.
most_topics,1,1,"Brand Model features the newest technologies from Brand. Every grade comes standard with the latest Brand Audio Multimedia platform with a 12.3-inch touchscreen, and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
most_topics,1,2,"That's complemented by the latest Brand Audio Multimedia interface, which has a standard 8-inch touchscreen or an available 12.3-inch touchscreen. In either case, the latest system includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
most_topics,1,3,"Every grade comes with the Brand Audio Multimedia platform with either an 8-inch touchscreen on lower grades or an available 12.3-inch touchscreen on higher trims. Both versions include standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
most_topics,2,1,"Assisting the direct response system is a 302 horsepower, 3.5 liter V6 engine which, when paired with the vehicle's 50 kilowatt electric motor, creates a combined 360 horsepower. And speaking of numbers, we have to point out that the engine's 258 pound-feet of torque combined with the electric motor's immediate 199 pound-feet of torque should help the M hybrid deliver truly impressive acceleration."
most_topics,2,2,"No matter if you desire fuel efficiency or something more powerful, the Model offers great options engineered to make every driver happy. The standard 2.4-liter four-cylinder engine produces 185 horsepower, making it ideal for your daily commute and all driving situations. The Model Sport 2.0T and Limited 2.0T models are powered by a 2.0-liter turbocharged GDI engine that's engineered for exhilarating performance, delivering 245 horsepower and 260 pound-feet of torque."
most_topics,2,3,"Now, Model N Line steps up the performance with a 1.6-liter turbocharged four-cylinder engine that produces 201 horsepower and 195 pound-feet of torque with a seven-speed dual-clutch transmission. And finally, Model Hybrid. It's an advanced hybrid powertrain with a 1.6-liter four-cylinder engine and 32-kilowatt electric motor, combining for a 139-horsepower output."
most_topics,3,1,"Well, you know, the already the last generation Model was a very successful car and we wanted to make it even more exciting and give it a more coupe-like character, kind of sports car-ish, you know, because we want to approach and to excite a big variety of customers and also young customers and so I think what came out is a very nice, very sporty sports sedan. Yeah, you can definitely see that."
most_topics,3,2,"The new Brand Model isn't just another car, it's a better car. And to show you how, we've invited a Brand Model owner to come and take it for a test drive to see for herself how the new Model makes every mile better."
most_topics,3,3,"Now, as many of you may have figured out already, there will be no coupe variant for this new generation Model. But with our new styling direction and a sport trim with a six-speed manual for both turbocharged engines, we've injected a lot of coupe goodness that will make this all-new Model sedan a car that coupe contenders will want to take a hard look at."
most_topics,4,1,"In all Brand Model Plug-in Hybrid models, latest Brand eDrive technology increases both efficiency and electrically powered range, as well as hallmark driving pleasure. As you can see, the Model Plug-in Hybrid is not only future-oriented, but also fun."
most_topics,4,2,"And now, the new Model Hybrid, the first Brand vehicle to use our brand new, newest generation hybrid powertrain system, will become America's most fuel-efficient midsize sedan. The all-new Model Hybrid for 2010. And now back to Mark."
most_topics,4,3,"Well, talking about sportiness, one of our first very prominent plug-in hybrid vehicles was the Brand Model. So the most progressive sports car of the world was a plug-in hybrid, or is a plug-in hybrid. And a little bit of this sportiness is in each of these models as well."
most_topics,5,1,"The significantly slimmer front headlights with calm contours contribute to the wide front appeal. The LED headlights are standard and can be upgraded with these adaptive LED headlights, taking over the blue accents of Brand laser light. In addition, separated fog lights are no longer necessary."
most_topics,5,2,"And for us it's very important to see that the light signature or day running light is actually a signature not for Brand but also for each one of the Audis and of course also the new Model. So we are introducing a new generation of laser light. On this car, you will see a laser light signature."
most_topics,5,3,"Another nice thing is that the headlights and the grille form another seamless transition, which emphasizes this model's width. While keeping their iconic shape, the headlights are now slimmer and more geometrical. And the new Brand Model features new matrix LED light technology and the new Brand laser light generation with a greater range of up to 650 meters and light homogenization in low and high beam."
most_topics,6,1,"So ladies and gentlemen, please welcome the new Brand Model. Here it is, the new Brand Model. The new Model carries all of the brand-defining design language of Brand."
most_topics,6,2,The Brand Model.
most_topics,6,3,The all-new Brand Model.
most_topics,7,1,"The EV delivers up to 253 miles of an all-electric range and charges from 10 to 80% in under 45 minutes. The Hybrid gets a best-in-class 53 combined miles per gallon and almost 600 miles of range. And the plug-in Hybrid delivers over 30 miles of pure electric range, 25% improvement over the outgoing model."
