representation_model,topic,words,weighted_words
llm_openai_gpt_5_5,-1,"LLM label unavailable: the, and, it, to, you, of, in, we, that, is","[[""LLM label unavailable: the, and, it, to, you, of, in, we, that, is"", 1.0]]"
llm_openai_gpt_5_5,0,Luxury Car Interior Design,"[[""Luxury Car Interior Design"", 1.0]]"
llm_openai_gpt_5_5,1,Hybrid EV powertrains,"[[""Hybrid EV powertrains"", 1.0]]"
llm_openai_gpt_5_5,2,In-Car Connectivity Features,"[[""In-Car Connectivity Features"", 1.0]]"
llm_openai_gpt_5_5,3,Event Dialogue and Greetings,"[[""Event Dialogue and Greetings"", 1.0]]"
llm_openai_gpt_5_5,4,Hyundai IONIQ Lineup,"[[""Hyundai IONIQ Lineup"", 1.0]]"
llm_openai_gpt_5_5,5,Mainstream Midsize Sedans,"[[""Mainstream Midsize Sedans"", 1.0]]"
llm_openai_gpt_5_5,6,Nissan LEAF Electric Car,"[[""Nissan LEAF Electric Car"", 1.0]]"
llm_openai_gpt_5_5,7,"LLM label unavailable: audi, tron, the, of, quattro, q8, and, we, in, is","[[""LLM label unavailable: audi, tron, the, of, quattro, q8, and, we, in, is"", 1.0]]"
llm_openai_gpt_5_5,8,Cadillac ELR Plug-in Hybrid,"[[""Cadillac ELR Plug-in Hybrid"", 1.0]]"
llm_openai_gpt_5_5,9,Test Driving Experience,"[[""Test Driving Experience"", 1.0]]"
llm_openai_gpt_5_5,10,Polestar,"[[""Polestar"", 1.0]]"
llm_openai_gpt_5_5,11,Toyota Prius Hybrids,"[[""Toyota Prius Hybrids"", 1.0]]"
llm_openai_gpt_5_5,12,"LLM label unavailable: infiniti, q50, infinity, the, to, and, brand, new, we, of","[[""LLM label unavailable: infiniti, q50, infinity, the, to, and, brand, new, we, of"", 1.0]]"
llm_openai_gpt_5_5,13,Ford Mustang Mach-E,"[[""Ford Mustang Mach-E"", 1.0]]"
llm_openai_gpt_5_5,14,Mercedes EQ Electric Models,"[[""Mercedes EQ Electric Models"", 1.0]]"
llm_openai_gpt_5_5,15,Press Event Introductions,"[[""Press Event Introductions"", 1.0]]"
llm_openai_gpt_5_5,16,Toyota Corolla Hybrid Grades,"[[""Toyota Corolla Hybrid Grades"", 1.0]]"
llm_openai_gpt_5_5,17,Hands-Free Tailgate Operation,"[[""Hands-Free Tailgate Operation"", 1.0]]"
llm_openai_gpt_5_5,18,Toyota Crown Sedan,"[[""Toyota Crown Sedan"", 1.0]]"
llm_openai_gpt_5_5,19,Toyota Multimedia Connectivity,"[[""Toyota Multimedia Connectivity"", 1.0]]"
llm_openai_gpt_5_5,20,"LLM label unavailable: amg, gt, the, on, door, with, and, wheel, is, for","[[""LLM label unavailable: amg, gt, the, on, door, with, and, wheel, is, for"", 1.0]]"
llm_openai_gpt_5_5,21,Porsche Taycan Electric Sports Car,"[[""Porsche Taycan Electric Sports Car"", 1.0]]"
llm_openai_gpt_5_5,22,Lithium-Ion Battery Packs,"[[""Lithium-Ion Battery Packs"", 1.0]]"
llm_openai_gpt_5_5,23,Toyota Highlander Hybrid Grades,"[[""Toyota Highlander Hybrid Grades"", 1.0]]"
llm_openai_gpt_5_5,24,Kandi America Affordable EVs,"[[""Kandi America Affordable EVs"", 1.0]]"
llm_openai_gpt_5_5,25,Vehicle Color Options,"[[""Vehicle Color Options"", 1.0]]"
llm_openai_gpt_5_5,26,Acura Hybrid Performance,"[[""Acura Hybrid Performance"", 1.0]]"
llm_openai_gpt_5_5,27,EV Cabin Quietness,"[[""EV Cabin Quietness"", 1.0]]"
llm_openai_gpt_5_5,28,"LLM label unavailable: buick, regal, brand, lacrosse, in, we, and, sportback, the, our","[[""LLM label unavailable: buick, regal, brand, lacrosse, in, we, and, sportback, the, our"", 1.0]]"
llm_openai_gpt_5_5,29,Honda Clarity Electrified Vehicles,"[[""Honda Clarity Electrified Vehicles"", 1.0]]"
llm_openai_gpt_5_5,30,Regenerative One-Pedal Braking,"[[""Regenerative One-Pedal Braking"", 1.0]]"
llm_openai_gpt_5_5,31,Cabin Climate Control,"[[""Cabin Climate Control"", 1.0]]"
llm_openai_gpt_5_5,32,Porsche Panamera Gran Turismo,"[[""Porsche Panamera Gran Turismo"", 1.0]]"
llm_openai_gpt_5_5,33,Chrysler Pacifica Minivan,"[[""Chrysler Pacifica Minivan"", 1.0]]"
