Topic,Count,Name,Representation,Representative_Docs
-1,3312,-1_Advanced,['Advanced'],"[""In either case, it's easy to tap into the latest generation Toyota Audio Multimedia platform that includes standard wireless compatibility for Apple CarPlay. which connects drivers to the apps on their iPhone, including Maps, Messages, Podcasts, and Music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music, Google Maps, and Google Assistant."", 'It also packs intuitive technologies that keep everyone connected. Every Grand Highlander comes standard with the Toyota Audio Multimedia Platform with a 12.3-inch touchscreen and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', ""In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. Plus, there's a standard three-month SiriusXM trial subscription that includes over 165 channels available in cabin and even more on the SiriusXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more.""]"
0,374,0_Convers,['Convers'],"['We do want to answer your questions and we will get back to you after this broadcast. For those of you on live, connect that question box is to the left of your screen.', ""So this is the end of the video. If you liked it, feel free to subscribe to the channel. Don't forget to like, share and subscribe to my channel."", ""If you didn't enjoy the show, feel free to like and subscribe, it's really good. If you're not too big, if you're in sport, you're going to have a lot of fun, and if you're going to do a lot of work in sport, you're going to have a lot of fun, then you're going to have a lot of fun. I'm a bit of an anabekom, and that's why you're going to have a lot of fun.""]"
1,245,1_BMW,['BMW'],"[""We didn't think about making a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of One of the most important things is to produce an aviancata with this particular form, which is particularly important."", 'The new four. Ladies and gentlemen, hello and welcome to BMW. The 4, the all-new BMW 4 Series coupe.', ""The 6 Series GT is also new and benefits from most of the innovation we've spoken about. So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series.""]"
2,221,2_Advanced,['Advanced'],"[""Available blind spot detection is designed to alert you when there's a vehicle in your blind spot before you change lanes. An available rear cross traffic alert helps warn you if cars are approaching from the side when reversing out of a parking space. Available automatic emergency braking with pedestrian detection can warn the driver of a potential collision ahead."", 'Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.', ""These active safety suites include advanced features like a Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. Plus, available features like Blind Spot Monitor with Rear Cross-Traffic Alert, front and rear parking assist with automatic braking, and a panoramic view monitor helps see what's surrounding the vehicle, especially in tight spaces. Thanks to its expansive lineup, RAV4 has mass appeal.""]"
3,220,3_Advanced,['Advanced'],"[""And we're doing it the Honda way with balanced sales of award-winning cars and trucks brought to market the Honda way. That means a focus on retail business and a disciplined approach to marketing that aims at long-term sustainable growth while protecting the value of our brand and our products in the hands of our customers."", ""And we're doing it the Honda way with balanced sales of award-winning cars and trucks brought to market the Honda way. That means a focus on retail business and a disciplined approach to marketing that aims at long-term sustainable growth while protecting the value of our brand and our products in the hands of our customers."", 'We are now at our prototype assembly line where we are building the last pre-series cars before we start customer car production. The story of production of the prototypes is kind of a story of our company as well, because as we are building the product, we are also building the company, the team, the processes and everything together. The first three experimental prototypes were built at our headquarters in Svetanelya on like just a workshop.']"
4,219,4_Hyundai,['Hyundai'],"[""As a critical pillar in Hyundai's electrification strategy, IONIQ 5 introduces our first dedicated battery electric platform, the eGMP, or Electric Global Modular Platform. We are thrilled to introduce you to Hyundai's first ever IONIQ 5. Our design mission with IONIQ 5 was to create a new mobility experience for the next generation."", ""Rather, it's a challenge in search of a novel solution. Ladies and gentlemen, this is why it's my great pleasure to introduce the 2017 Hyundai IONIQ model lineup. Introducing the 2017 Hyundai IONIQ Plug-in Hybrid, the Hyundai IONIQ Hybrid, and the IONIQ Electric."", ""Let's just say it. Let's put it out there. What makes Hyundai IONIQ stand out?""]"
5,218,5_Kia,['Kia'],"[""And on behalf of KIA India, I'm absolutely thrilled and honored to welcome you this afternoon. Today, I will take you to a futuristic world that has innovation leading us to a sustainable future, a world that we are all extremely proud of, a world of the KIA EV6. Now, before we deep dive into the Kia EV6, it's important to understand Kia's plan for a sustainable future."", ""I'm pleased to announce that with the Kia EV6, we will demonstrate and provide a new level of experience through our engineering strength. We truly believe that the Kia EV6 is an embodiment of the new Kia. Now, I would like to go over some of the finer nuances of the Kia EV6, beginning with the most important one, the electrifying performance on offer."", 'Kia India is developing an India-centric EV in Albi home ground up to be launched by 2025. We are starting our EV journey in India by launching nothing but the best from Kia, the EV6. Our globally-awarded EV6 is the most exciting and sophisticated product from Kia yet.']"
6,204,6_Nissan,['Nissan'],"['This concludes the presentations of the new Nissan LEAF. We will start launching the new Nissan LEAF globally. towards the latter half of this year.', 'It is my honor to officially announce the launch of the new Nissan LEAF in Japan with all of you here. Nissan takes pride in being an EV pioneer along with the owners of the current Nissan LEAF. The launch of the new Nissan LEAF comes when the entire world is shifting toward era of EV.', 'The new Nissan LEAF represents technological Nissan or Nissan of Technology, which is a traditional term associated with Nissan in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company. The new Nissan Leaf will drive the Nissan Intelligent Mobility forward.']"
7,203,7_Premium,['Premium'],"[""Here we're showing the club sports seat, single piece lightweight back shell with adjustability. But you can also option the comfort seat which has multi-way adjustability. Once you've chosen your seat, then think about the overall look and feel for the interior, and there's three key specifications you can choose from."", 'Everyone can enjoy generous legroom and headroom, even in the rear seat. The interior design adds to a sporty, in-command driving experience. with the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor.', ""What you can see here are the sport seats in high quality perforated Sensortec. It's comfortable and provides a leather free option. Of course there is Merino and Vanasker leather upholstery available, like this Vanasker Takora Red for instance.""]"
8,188,8_Smartphone,['Smartphone'],"[""And the new ES comes with Android Auto, Apple CarPlay, and Amazon Alexa compatibility. Alexa, who's the best driver you ever saw? You are."", 'First, the audio multimedia systems feature Apple CarPlay compatibility, which allows drivers to connect an iPhone and access Apple Music, Maps, Messages, and other favorite apps. Additionally, Android Auto compatibility lets drivers connect mobile devices with ease, while Amazon Alexa functionality is also offered on every model, as well as a complimentary three-month all-access trial to SiriusXM. Plus, most grades come complete with an eight-inch touchscreen.', ""We have a wireless charger in the center console area, and you can put your phone on the charger, you can pair it with the Apple CarPlay or Android Auto system, and no wires required have access to the Android Auto or Apple CarPlay environments. Alright, so these roads have been extremely fun, but I'm ready to get back to the track and really put this car to the test. It sounds great.""]"
9,185,9_Inf,['Inf'],"[""Inside, there's an evolution of the famous operating system MBUX. It now allows you to control the vehicle functions even easier and more intuitively. All in all, you can control MBUX not only by this touchscreen, but by the touch control buttons and via voice control."", ""We've removed 40% of the buttons from the center console and transferred these functions to a menu on the large screen above the center console, where these functions can now be accessed. Of course, supplemented with options for controlling the new functions. The instrument cluster features two 7-inch displays coupled with the traditional mechanical rev speed indicator in the center."", 'The Mercedes-Benz User Experience, or MBUX for short, is amazing in that it comes with four different control options. The touchpad in the center console, the touch screen in the middle display, touch control buttons on the steering wheel, or simply by voice. Hey Mercedes.']"
10,183,"10_LLM label unavailable: drive, it, car, do, you, driving, me, this, my, let","['LLM label unavailable: drive, it, car, do, you, driving, me, this, my, let']","[""That's my car."", 'You should let me drive the car. How was his driving? The car is incredible.', 'When do I get to drive it? How about right now?']"
