Topic,Count,Name,LLM,KeyBERT,POS,MMR
-1,3476,-1_car_new_driving_experience,Noise / Outlier,"hybrid, vehicle, car, driving, drive, experience, warranty","car, new, standard, technology","car, new"
0,1351,0_bmw_car_mercedes_benz,,"bmw, mercedes, cars, car, vehicles, vehicle, driving, benz, drive, electric","car, class, electric, new, series, cars, driving, vehicle, vehicles","bmw, car, mercedes, benz, class, electric, cars, driving"
1,623,1_assist_parking_lane_traffic,,"blind, monitor, safety, parking, detection, driver, driving, view, steering, radar","assist, parking, lane, traffic, view, car, spot, blind, driver","assist, parking, lane, monitor, blind, driver, driving, alert, navigation"
2,533,2_led_rear_headlights_grille,,"headlights, lighting, taillights, led, lights, distinctive, style","rear, headlights, grille, light, lights, design, look, lighting","headlights, grille, design, lighting, black, hood, roof, car"
3,503,3_horsepower_torque_drive_engine,,"horsepower, motors, torque, motor, drive, engines, hybrid, engine","horsepower, torque, drive, engine, range, electric, motor, power, transmission","horsepower, torque, engine, range, electric, motor, transmission, kilometers, liter"
4,502,4_charging_charge_battery_charger,,"charging, charge, charger, charged, recharge, chargers, battery, level, plug, volt","charging, charge, battery, charger, fast, level, volt, minutes, home, stations","charging, charge, charger, fast, level, volt, dc, home, stations, plug"
5,338,5_seats_seat_space_rear seats,,"seats, seating, passengers, seat, cargo, spacious, occupants, trunk, rear, passenger","seats, seat, space, rear, heated, cargo, passengers, trunk, comfort","seats, space, rear, heated, cargo, passengers, trunk, comfortable, cubic, seating"
6,284,6_interior_leather_materials_seats,,"interior, inside, design, architecture, luxurious, environment, luxury, upholstery, comfort","interior, leather, materials, seats, trim, design, upholstery, material, new, luxury","interior, leather, materials, seats, trim, design, upholstery, material, luxury, stitching"
7,273,7_ride_hello_happy_world,,"excited, happy","ride, event",filtered_topic_terms_unavailable
8,271,8_kia_ev6_india_ev,,"ev6, kia, ev, hyundai, ev9, ev4, e6, evs, vehicles, vehicle","new, sales, vehicles, performance, vehicle, edition","kia, ev6, ev, india, hyundai, ev9, evs, ev4, sales"
9,269,9_amg_eqs_eqe_mercedes,,"mercedes, eqs, eqe, amg, eq, car, vehicles, benz, coupe, luxury","new, hyperscreen, door, electric, performance, car, luxury, coupe, air","amg, eqs, eqe, mercedes, gt, eq, sl, hyperscreen, door, performance"
10,257,10_customers_product_brand_customer,,"hire, leader, culture, customers","customers, product, new, products",customers
11,212,11_elantra_sonata_hyundai_accord,,"hybrid, hyundai, elantra, sonata, sedan, trims, accord, vehicles, trim, 2021","hybrid, new, design, steel, strength, advanced, technology, vehicles, look","elantra, sonata, hyundai, accord, hybrid, camry, mirai, design, 2021, steel"
12,210,12_steering_rear_car_aerodynamics,,"steering, rear, steer, axle, turning, traction, vehicle, turn","steering, rear, car, aerodynamics, axle, aerodynamic, stability, speeds","steering, rear, car, axle, aerodynamic, stability, speeds, efficiency"
13,195,13_rav4_rav4 prime_prime_hybrid,,"rav4, toyota, hybrid, ev, suv, standard, prime, rear","hybrid, available, road, standard, edition, grade, plug, black","rav4, hybrid, trd, toyota, standard, black, nightshade, woodland"
14,186,14_camry_highlander_toyota_grand highlander,,"toyota, camry, highlander, suv, drive, hybrid, traction, drivers, road","camry, drive, available, hybrid, convenience, performance, drivers","camry, highlander, toyota, drive, hybrid, convenience, performance, trd, suv"
