dataset_row,title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,word_count,char_count,topic,document,sentence
0,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,1,1,1,1,26,150,0,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling.","Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling."
1,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,2,2,3,2,16,81,0,It'll help you stand out when you're ready to step up. Ready to see for yourself?,It'll help you stand out when you're ready to step up. Ready to see for yourself?
2,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,3,4,5,2,24,127,0,"Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill.","Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill."
3,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,4,6,6,1,15,87,0,And it only gets better on the inside with paddle shifters and redesigned sports seats.,And it only gets better on the inside with paddle shifters and redesigned sports seats.
4,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,5,7,7,1,36,191,0,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat.","And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat."
5,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,6,8,8,1,13,71,0,And you can really tell that the car's been designed around the driver.,And you can really tell that the car's been designed around the driver.
6,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,7,9,9,1,40,220,0,You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays.,You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays.
7,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,8,10,11,2,75,497,0,"Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims.","Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims."
8,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,9,12,12,1,19,107,0,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine.","The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine."
9,Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p 24fps H264 128kbit AAC),1,10,13,13,1,32,197,0,"The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.","The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too."
10,Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p 30fps H264 128kbit AAC),2,1,1,1,1,21,105,0,Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid.,Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid.
