Topic,Count,Name,Representation,Representative_Docs
-1,2676,-1_car_vehicle_design_hybrid,"['car', 'vehicle', 'design', 'hybrid', 'new', 'drive', 'technology', 'driving', 'so', 'what']","[""The real star of the show, however, is Toyota Safety Sense 2.5 Plus. This active safety system includes a pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, and road sign assist. For added visibility from the driver's seat, blind spot monitor with rear cross traffic alert is standard on the LE grade and above."", ""Wireless Android Auto compatibility makes it easy to stay connected to Android devices. Plus, there's a standard three month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad free music, but also sports comedy and more. Drivers looking for even more audio enhancements will appreciate that Prius Limited features a JBL premium audio system."", ""In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices. Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more.""]"
0,4697,0_vehicle_car_cars_hybrid,"['vehicle', 'car', 'cars', 'hybrid', 'design', 'bmw', 'drive', 'kia', 'engine', 'driving']","['The plug-in hybrid models are expected to have an electric driving range of up to a hundred and two kilometers according to WLTP and the new digital hybrid drive settings menu and BMW operating system 8.5 offers intelligent automatic regulation and easy individual switch between drive modes so the combination of reliable long-distance traveling and efficient city driving reaches new heights of convenience and sustainability and then there are the all-new BMW i5 models with cutting-edge holistically sustainable all-electric drive and high-voltage technology.', 'The new four. Ladies and gentlemen, hello and welcome to BMW. The 4, the all-new BMW 4 Series coupe.', ""This year, we'll be also launching the all-electric BMW iX3, our first pure electric sports activity vehicle, and the trailblazer for our all-new fifth-generation BMW eDrive technology. We will also be launching further plug-in hybrids during the course of 2020. For example, the new BMW X1 plug-in hybrid and the BMW X2 and the electrified BMW 3 Series Touring will be attractive additions to our wide range.""]"
1,876,1_steering_navigation_driving_driver,"['steering', 'navigation', 'driving', 'driver', 'mode', 'view', 'drive', 'auto', 'vehicle', 'carplay']","[""Plus you're going to get a host of advanced driving aids like lane keeping assist, lane following assist, driver attention warning, and smart cruise control with stop and go. Additional available safety features and driving tech include highway driving assist two, forward collision avoidance assist with junction turning, surround view monitor, and blind spot view monitor."", 'Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.', ""These active safety suites include advanced features like a Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. Plus, available features like Blind Spot Monitor with Rear Cross-Traffic Alert, front and rear parking assist with automatic braking, and a panoramic view monitor helps see what's surrounding the vehicle, especially in tight spaces. Thanks to its expansive lineup, RAV4 has mass appeal.""]"
2,620,2_happy_you_go,"['happy', 'you', 'go']","[""This is, we love the auto show season and New York's the official end of the auto show season so it's been a great run. The shows themselves are incredibly important in terms of getting our brand out in front of a lot of people both media and consumers. This show in and of itself is very important because It is IONIQ."", ""But we're going to show you what the Auto Show looks like the day before the show. Let's take a look at that video. Hi, I'm Kristin Burt for Hyundai Motor America and we're at the 2015 Los Angeles Auto Show in downtown LA."", ""Hello, everyone, and thank you for joining us this afternoon. I know it's been a long day. It's great to be kicking off yet another auto show season right here in Los Angeles.""]"
3,203,3_ioniq_hybrid_hyundai_ev,"['ioniq', 'hybrid', 'hyundai', 'ev', 'electric', 'id4', 'powertrains', 'vehicle', 'vehicles', 'egmp']","[""Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. And to me, it's the perfect example of Hyundai's electric innovations. Let's start by taking a look at an exterior design that's unlike anything Hyundai has put on the road before."", ""As a critical pillar in Hyundai's electrification strategy, IONIQ 5 introduces our first dedicated battery electric platform, the eGMP, or Electric Global Modular Platform. We are thrilled to introduce you to Hyundai's first ever IONIQ 5. Our design mission with IONIQ 5 was to create a new mobility experience for the next generation."", ""Let's just say it. Let's put it out there. What makes Hyundai IONIQ stand out?""]"
4,200,4_sonata_hyundai_sedan_hybrid,"['sonata', 'hyundai', 'sedan', 'hybrid', 'accord', 'car', 'honda', 'engine', 'performance', 'turbo']","['The 2018 Hyundai Sonata.', 'The 2018 Hyundai Sonata, our best Sonata ever.', 'The 2018 Hyundai Sonata, our best Sonata ever.']"
5,187,5_charging_charge_charger_charged,"['charging', 'charge', 'charger', 'charged', 'i3', 'bmw', 'chargers', 'level', 'outlet', 'battery']","['There are several ways you can charge your BMW i3 at home. BMW recommends Level 2 charging using the wall-mounted BMW i-charging station designed to complement your BMW i-vehicle, which reduces charging time for the BMW i3 to around three and a half hours. Now this station and other Level 2 home charging stations charge your BMW i3 at 240 volts from the convenience of your own home.', ""There are several ways to charge your BMW i3's high voltage battery, giving you a variety of convenient home and public charging options. Level 2 charging from a Level 2 home or public charging station, Level 1 charging from the occasional use cable, which comes with every BMW i3 vehicle, or DC charging from a DC charging station. Let's take a closer look at each of these."", 'For BMW i3 vehicles equipped with the DC fast charging, SAE option, a DC public charging station will charge the BMW i3 to an 80% state of charge in 20 to 30 minutes depending on the charging station. Level 2 charging stations are currently the most common public charging stations available. The network of DC public charging stations will expand in the near future.']"
6,153,6_drive_driving_driver_driven,"['drive', 'driving', 'driver', 'driven', 'car', 'road', 'ride', 'roads', 'truck', 'brake']","['You should let me drive the car. How was his driving? The car is incredible.', 'Can I drive it? I just want to drive it. Really?', 'When do I get to drive it? How about right now?']"
7,137,7_polestar_volvo_electric_factory,"['polestar', 'volvo', 'electric', 'factory', 'brand', 'car', 'cars', 'performance', 'battery', 'design']","['Polestar stands for pure, progressive performance. And this is our first product, Polestar 1.', ""So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute. But there's another reason why this is a truly exciting day for us here today, because Polestar 2 is our first pure electric Polestar, a true battery electric car. Now, Polestar is dedicated to electric mobility."", 'Bye-bye, Dumbo. Next, let me show you around inside Polestar 2. Now, how do we get in?']"
8,132,8_prius_hybrid_toyota_toyotacare,"['prius', 'hybrid', 'toyota', 'toyotacare', 'prime', 'efficiency', 'mileage', 'vehicle', 'per', 'convenience']","[""Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius. The latest Prius generation offers six distinct takes on the hybrid experience. First, L-Eco boasts the best fuel efficiency of the entire Prius lineup, while also having the lowest starting price."", ""And whether you prefer Prius LE AWD E's off-road utility or Prius Prime's electric capabilities, there's no shortage of reasons why the Prius family is home to the world's most iconic hybrids. Both Prius and Prius Prime are offered at an approachable starting price, with a strong track record for long-term cost estimates and overall resale value. Factor in the two-year, 25,000-mile ToyotaCare no-cost maintenance plan with enhanced three-year roadside assistance, as well as exceptional hybrid warranty coverage."", ""Add in that every new Prius Prime includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, along with enhanced 3-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile Hybrid Battery Warranty. And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.""]"
