Topic,Count,Name,Representation,Representative_Docs
-1,1331,-1_car_new_design_performance,"['car', 'new', 'design', 'performance', 'vehicle', 'drive', 'engine', 'driving', 'technology', 'crown']","['In terms of basic concepts, this engine is largely similar to the eight-cylinder engine. In other words, a turbocharged engine in which the exhaust gas turbo technology is housed in the front of the engine and brings together a number of character traits from the eight-cylinder engine. The transmission of the new Panamera is a completely new development.', ""Artura uses high-performance hybrid technology to improve the driving experience, but without the weight penalty you'd normally associate with adding battery technology. And we've done so while staying true to McLaren's DNA of technical design, outstanding performance, and unparalleled driving dynamics. Now let's hear from our Design Director, Rob Melville, on the first of those pillars, technical design."", ""Artura uses high-performance hybrid technology to improve the driving experience, but without the weight penalty you'd normally associate with adding battery technology. And we've done so while staying true to McLaren's DNA of technical design, outstanding performance and unparalleled driving dynamics. Now let's hear from our design director, Rob Melville, on the first of those pillars, technical design.""]"
0,595,0_kia_electric_ev_ev6,"['kia', 'electric', 'ev', 'ev6', 'drive', 'range', 'battery', 'power', 'hybrid', 'car']","[""Kia is driving towards a future with EVs that raise the bar and invite more customers to begin their electrification journey with us. In the meantime, customers have shown that they appreciate Kia's innovation to go electric their own way. And with the addition of our first ever Carnival Hybrid, Kia now offers 10 electrified models."", ""And our guest is Mr. Mark Howlett, Fleet Sales Manager, Kia Motors Europe. He will explain why Kia can be the perfect choice for your corporate fleet program by presenting the all-new Kia Optima range, composed among others of the Kia Optima Sport Wagon and the Optima PH EV, Kia's first plug-in hybrid model. Enjoy your virtual fleet lounge."", 'Kia India is developing an India-centric EV in Albi home ground up to be launched by 2025. We are starting our EV journey in India by launching nothing but the best from Kia, the EV6. Our globally-awarded EV6 is the most exciting and sophisticated product from Kia yet.']"
1,450,1_rear_interior_seats_car,"['rear', 'interior', 'seats', 'car', 'design', 'seat', 'look', 'door', 'leather', 'cargo']","[""Answer, well for the four cylinder engines we will use the S tronic transmission with seven speeds and for a six-cylinder engines we will use the already known tip tronic with eight speed transmission just for the guests S tronic and tip tronic that's a different technology isn't it yes the tip tronic is an automatic transmission while the S tronic is a dual clutch transmission now what we haven't mentioned either is the luggage compartment so question to you Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you can shift the seats in the length so extend your clearance for the knees and also of course the inclination of the seats can be adjusted that means you can adjust the comfort for those sitting in the rear for longer trips or if you need extra space in your trunk compartment you can also extend your trunk and luggage compartment with this movable rear seat bench."", 'Everyone can enjoy generous legroom and headroom, even in the rear seat. The interior design adds to a sporty, in-command driving experience. With the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor, it creates one of the four interior themes.', ""With this loading position, trunk space is maximized while still allowing for rear seat passengers. The 3 Series Gran Turismo's rear seats can also be folded flat, either separately or together, thanks to their 40-20-40 design. This can be accomplished either using the adjustment handles on the rear seats or via these handles in the cargo compartment.""]"
2,322,2_president_auto_vice_ladies,"['president', 'auto', 'vice', 'ladies', 'vice president', 'conference', 'press', 'press conference', 'fun', 'tell']","['Ladies and gentlemen, please welcome Jeff Conrad, senior vice president, automobile division of American Honda. Good morning, everyone. whether live here in Detroit or for a good many more of you joining us via live stream.', ""Ladies and gentlemen, please welcome Senior Vice President of the Automobile Division at American Honda, Jeff Conrad. Good morning, everyone. It's great to be with you for the last major auto show of the season."", 'Ladies and gentlemen, the Senior Vice President and General Manager of the Acura Division, Mr. Mike Accovetti. Good morning. Hi, everyone.']"
3,309,3_bmw_class_mercedes_benz,"['bmw', 'class', 'mercedes', 'benz', 'mercedes benz', 'new', 'series', 'benz class', 'bmw series', 'new bmw']","[""And if I decelerate now, you can see the recuperation. Well, as I told you, the new Mercedes-Benz S-Class Hybrid is more electric than ever before. Alright, Dierks, so what else is there you'd like to tell me about the all-new Mercedes-Benz S-Class?"", ""I can't wait for our customers to realize just how much of a coming-home feeling this new Mercedes-Benz S-Class is. When designing a Mercedes-Benz, we always focus on the desires of our customers. And this applies especially to the Mercedes-Benz S-Class."", 'Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz.']"
4,211,4_toyota_corolla_pacifica_minivan,"['toyota', 'corolla', 'pacifica', 'minivan', 'prius', 'new', 'car', 'rav4', 'chrysler', 'cars']","[""I'll let that sink in. the most popular car in the world right here and Corolla was introduced more than 50 years ago and we have sold more than 46 million Corollas around the globe that's pretty outstanding and to all of you on live stream I hope you're sitting down because we're ready to knock your socks off so you ready have some fun because today is truly unique right now right now our friends across the world at Toyota China are hosting the world premiere of the 12th generation Corolla 12 generations and now we thought about taking all of you to China to see it but decided well we might make it a little easier for everyone to get you as close as we could without leaving the continental US so here we are on the edge of the Pacific Ocean and we're here to bring you the North American reveal of this exciting new Corolla And to all of you in the room and out there in the interwebs, you are the first people right now in North America to get your eyes on the all-new 2020 Toyota Corolla."", ""Well you do! but it's fun to have that back out there and you know there's just not that many offering them anymore but you can get one in a Corolla and just like we made Corolla hatchback greater than ever we're doing the same with the all-new Corolla sedan but before we unveil this car I want to share some important features that you're not going to see when we pull back the silks and they're all focused on safety the new Corolla comes standard with second generation Toyota Safety Sense or TSS Okay, I know."", 'We have the U.S. first-ever Corolla Hybrid. We have the amazing 2019 Toyota Prius. And then we have the exciting TRD Camry and TRD Avalon.']"
5,170,5_karma_products_need_brand,"['karma', 'products', 'need', 'brand', 'designers', 'culture', 'future', 'change', 'product', 'customers']","[""You are the persona. Karma is merely the shadow. If you've paid attention to anything that karma has done over the past few months, what you hear in our communications is that we don't spend a whole lot of time talking about how great karma is."", 'But when we think about what does aspiration look like in an automobile, our eyes almost wholly go to Europe. We at Karma believe that we have the ability to change that. Our goal is to move in a direction of showing products that celebrate the extremely powerful presence of American culture.', ""At Karma Automotive, we're intending to design a brand that reflects the strength, the ingenuity, the entrepreneurial spirit of the American culture. It's an interesting thing that in this country, where you have so much inspiration, so much innovation where we have created market segments, we've created sports, we've created enterprises, we've created technologies, where you have icons like Michael Jordan and Bill Gates and Warren Buffett, where we sit as the model for aspiration for all of the world.""]"
6,157,6_assist_lane_parking_safety,"['assist', 'lane', 'parking', 'safety', 'collision', 'traffic', 'driver', 'road', 'camera', 'car']","[""That's why every grade comes standard with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."", 'This updated bundle includes Pre-Collision System with Pedestrian Detection, now with Intersection Support Enhancement and a Driver Initiated Emergency Steering Assist Enhancement, Lane Departure Alert with Steering Assist, automatic high beams, full-speed range dynamic radar cruise control, now with curved speed management, lane tracing assist, and road sign assist.', ""The real star of the show, however, is Toyota Safety Sense 2.5 Plus. This active safety system includes a pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, and road sign assist. For added visibility from the driver's seat, blind spot monitor with rear cross traffic alert is standard on the LE grade and above.""]"
7,134,7_mbux_display_screen_functions,"['mbux', 'display', 'screen', 'functions', 'center', 'navigation', 'control', 'console', 'displays', 'information']","[""Inside, there's an evolution of the famous operating system MBUX. It now allows you to control the vehicle functions even easier and more intuitively. All in all, you can control MBUX not only by this touchscreen, but by the touch control buttons and via voice control."", ""We've removed 40% of the buttons from the center console and transferred these functions to a menu on the large screen above the center console, where these functions can now be accessed. Of course, supplemented with options for controlling the new functions. The instrument cluster features two 7-inch displays coupled with the traditional mechanical rev speed indicator in the center."", 'The Mercedes-Benz User Experience, or MBUX for short, is amazing in that it comes with four different control options. The touchpad in the center console, the touch screen in the middle display, touch control buttons on the steering wheel, or simply by voice. Hey Mercedes.']"
8,133,8_charging_charge_route_mercedes,"['charging', 'charge', 'route', 'mercedes', 'charger', 'home', 'stations', 'minutes', 'charging stations', 'fast']","[""Yeah, so the EQS lineup is able to charge, it's actually the largest charging network in America with Electrify America. The EQS comes with two years of charging sessions, 30 minute charging sessions, that are complimentary so you can pull up to an Electrify America station And using the Mercedes me and the me charge app, you're able to activate the chargers and get 30 minutes of high speed charging per session. That's using DC fast charging capabilities."", 'The Mercedes me Charge functions accessible via MBUX and smartphone support you when charging on the go by finding charging points and making the payment process easier. Thanks Mercedes! Besides DC charging at public stations, you can also charge your B-Class conveniently at your own private Mercedes-Benz Warbox.', 'Green charging is also included in Mercedes me Charge and this charge really is green. Mercedes-Benz ensures that electricity from renewable sources will subsequently be fed back into the grid for all quantities charged via Mercedes me Charge. You can find plug-and-charge capable charging stations via the filtering function I mentioned earlier.']"
