Topic,Count,Name,Representation,Representative_Docs
-1,2758,-1_car_new_vehicle_driving,"['car', 'new', 'vehicle', 'driving', 'design', 'warranty', 'drive', 'hybrid', 'available', 'technology']","[""Wireless Android Auto compatibility makes it easy to stay connected to Android devices. Plus, there's a standard three month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad free music, but also sports comedy and more. Drivers looking for even more audio enhancements will appreciate that Prius Limited features a JBL premium audio system."", ""In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."", ""That's my car.""]"
0,2459,0_bmw_new_car_design,"['bmw', 'new', 'car', 'design', 'rear', 'interior', 'lexus', 'volvo', 'class', 'seat']","[""Let's check out the sleek exterior design of the new Mercedes-Benz S-Class. The front is dominated by this mighty radiator grille. The flanks look clean and strong, what I personally think is key to the prestige of any Mercedes-Benz S-Class."", 'while the BMW 5 Series Touring gives function and performance a new stylish edge. Now let me introduce you to the sedan here next to me. What we have here is the 530e plug-in hybrid with M Sport package in photonic blue, which is just one of five new striking exterior colours.', 'The precise refinement of the exterior design ensures that the new BMW 3 Series now expresses its drive-in pleasure-oriented character even more clearly. What we see here is the new BMW 330i with M Sport package. Newly available is this Brooklyn grey body colour, which emphasises the new design approach.']"
1,1272,1_charging_electric_kia_charge,"['charging', 'electric', 'kia', 'charge', 'battery', 'power', 'ev', 'range', 'vehicle', 'car']","['It will be available as a hybrid with class-leading fuel economy, a plug-in hybrid that could travel more than 25 miles on electric power, and also provide the efficiency of a conventional hybrid, and an electric vehicle that has a range of 110 miles, which is the highest of any compact electric vehicle that is currently in the marketplace.', ""Yeah, so the EQS lineup is able to charge, it's actually the largest charging network in America with Electrify America. The EQS comes with two years of charging sessions, 30 minute charging sessions, that are complimentary so you can pull up to an Electrify America station And using the Mercedes me and the me charge app, you're able to activate the chargers and get 30 minutes of high speed charging per session. That's using DC fast charging capabilities."", ""The top socket is for level 2 or level 1 charging and for i3 vehicles that are equipped with a DC fast charging or SAE the lower port is for DC charging. Next insert the plug into the vehicle connector and push it in until it latches. You'll notice that the white light around the charging port flap will turn to yellow indicating that charging is initializing.""]"
2,959,2_steering_control_car_display,"['steering', 'control', 'car', 'display', 'driver', 'assist', 'navigation', 'driving', 'parking', 'screen']","['This updated bundle includes Pre-Collision System with Pedestrian Detection, now with Intersection Support Enhancement and a Driver Initiated Emergency Steering Assist Enhancement, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, now with Curve Speed Management, Lane Tracing Assist, and Road Sign Assist.', ""A rear view camera gives you better visibility when in reverse, while a rear cross traffic alert can help warn you if cars are approaching from the side when reversing out of a parking space. To help you stay within your lane, there's available lane keep assist. The available automatic emergency braking with pedestrian detection can help warn the driver of a potential collision ahead."", ""Available blind spot detection is designed to alert you when there's a vehicle in your blind spot before you change lanes. An available rear cross traffic alert helps warn you if cars are approaching from the side when reversing out of a parking space. Available automatic emergency braking with pedestrian detection can warn the driver of a potential collision ahead.""]"
3,616,3_auto_episode_season_press,"['auto', 'episode', 'season', 'press', 'fun', 'got', 'enjoy', 'absolutely', 'hello', 'new']","[""This is, we love the auto show season and New York's the official end of the auto show season so it's been a great run. The shows themselves are incredibly important in terms of getting our brand out in front of a lot of people both media and consumers. This show in and of itself is very important because It is IONIQ."", ""But we're going to show you what the Auto Show looks like the day before the show. Let's take a look at that video. Hi, I'm Kristin Burt for Hyundai Motor America and we're at the 2015 Los Angeles Auto Show in downtown LA."", ""Hello, everyone, and thank you for joining us this afternoon. I know it's been a long day. It's great to be kicking off yet another auto show season right here in Los Angeles.""]"
4,204,4_ioniq_hyundai_charging_electric,"['ioniq', 'hyundai', 'charging', 'electric', 'platform', 'vehicle', 'rear', 'ev', 'limited', 'xrt']","[""Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. And to me, it's the perfect example of Hyundai's electric innovations. Let's start by taking a look at an exterior design that's unlike anything Hyundai has put on the road before."", ""As a critical pillar in Hyundai's electrification strategy, IONIQ 5 introduces our first dedicated battery electric platform, the eGMP, or Electric Global Modular Platform. We are thrilled to introduce you to Hyundai's first ever IONIQ 5. Our design mission with IONIQ 5 was to create a new mobility experience for the next generation."", ""Rather, it's a challenge in search of a novel solution. Ladies and gentlemen, this is why it's my great pleasure to introduce the 2017 Hyundai IONIQ model lineup. Introducing the 2017 Hyundai IONIQ Plug-in Hybrid, the Hyundai IONIQ Hybrid, and the IONIQ Electric.""]"
5,200,5_sonata_accord_hyundai sonata_hyundai,"['sonata', 'accord', 'hyundai sonata', 'hyundai', 'camry', '2018', '2018 hyundai', 'honda', 'gian', '2020']","['The 2018 Hyundai Sonata.', 'The 2018 Hyundai Sonata, our best Sonata ever.', 'The 2018 Hyundai Sonata, our best Sonata ever.']"
6,198,6_nissan_leaf_aria_nissan leaf,"['nissan', 'leaf', 'aria', 'nissan leaf', 'new nissan', 'altima', 'new', 'propilot', 'nissan intelligent', 'ev']","['He will talk about the expectations of the new Nissan LEAF and explain what Nissan Intelligent Mobility is all about. Ladies and gentlemen, good morning and welcome. Let me start by making one thing clear.', 'The new Nissan LEAF represents technological Nissan or Nissan of Technology, which is a traditional term associated with Nissan in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company. The new Nissan Leaf will drive the Nissan Intelligent Mobility forward.', 'It is my honor to officially announce the launch of the new Nissan LEAF in Japan with all of you here. Nissan takes pride in being an EV pioneer along with the owners of the current Nissan LEAF. The launch of the new Nissan LEAF comes when the entire world is shifting toward era of EV.']"
7,193,7_audi_tron_quattro_q8,"['audi', 'tron', 'quattro', 'q8', 'audi tron', 'a7', 'a3', 'light', 'q5', 'q8 tron']","['In 10 years from now, we will talk about e-tron the same we talk about Quattro. It will be in the heart, in the essence, in the DNA of Audi. I think at Audi we are obsessed with making things perfect.', ""Doing them right when the time is right. And the time is right for electric to go Audi. I assure you, with the Audi e-tron you won't miss a thing."", 'The Audi Q8 e-tron SUV and Sportback.']"
8,169,8_elantra_hyundai_new elantra_elr,"['elantra', 'hyundai', 'new elantra', 'elr', 'hyundai elantra', 'new', 'cadillac', 'design', 'features', 'generation']","[""That's a lot more. The 2018 Hyundai Elantra."", ""But let's just say it'll be the most powerful Elantra ever. You know, it's such a huge story with the Elantra and so much excitement around the brand. Congratulations."", ""This is the all-new, completely redesigned 2021 Hyundai Elantra. Elantra is our popular compact sedan, and in its seventh generation, as you'll see, the upgrades and enhancements are everywhere. Now, the Elantra won't be available on dealership lots until late fall this year.""]"
