representation_model,topic,words,weighted_words
llm_anthropic_claude_opus_4_7,-1,Vehicle Features and Driver Assistance,"[[""Vehicle Features and Driver Assistance"", 1.0]]"
llm_anthropic_claude_opus_4_7,0,Casual Conversation Filler,"[[""Casual Conversation Filler"", 1.0]]"
llm_anthropic_claude_opus_4_7,1,BMW Vehicle Features and Design,"[[""BMW Vehicle Features and Design"", 1.0]]"
llm_anthropic_claude_opus_4_7,2,Driver Assistance and Parking Features,"[[""Driver Assistance and Parking Features"", 1.0]]"
llm_anthropic_claude_opus_4_7,3,Driving Experience and Enjoyment,"[[""Driving Experience and Enjoyment"", 1.0]]"
llm_anthropic_claude_opus_4_7,4,Hyundai IONIQ EV Lineup,"[[""Hyundai IONIQ EV Lineup"", 1.0]]"
llm_anthropic_claude_opus_4_7,5,Kia and BYD EV Models,"[[""Kia and BYD EV Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,6,Nissan Leaf and ProPilot,"[[""Nissan Leaf and ProPilot"", 1.0]]"
llm_anthropic_claude_opus_4_7,7,EV Interior Seats and Materials,"[[""EV Interior Seats and Materials"", 1.0]]"
llm_anthropic_claude_opus_4_7,8,Smartphone Integration and Infotainment,"[[""Smartphone Integration and Infotainment"", 1.0]]"
llm_anthropic_claude_opus_4_7,9,MBUX Hyperscreen Infotainment Display,"[[""MBUX Hyperscreen Infotainment Display"", 1.0]]"
llm_anthropic_claude_opus_4_7,10,Test Drive Experience,"[[""Test Drive Experience"", 1.0]]"
llm_anthropic_claude_opus_4_7,11,Acura and Lexus Hybrid Models,"[[""Acura and Lexus Hybrid Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,12,Premium Electric Vehicle Identity,"[[""Premium Electric Vehicle Identity"", 1.0]]"
llm_anthropic_claude_opus_4_7,13,Hyundai Elantra Product Updates,"[[""Hyundai Elantra Product Updates"", 1.0]]"
llm_anthropic_claude_opus_4_7,14,Hybrid Powertrain Motor Torque,"[[""Hybrid Powertrain Motor Torque"", 1.0]]"
llm_anthropic_claude_opus_4_7,15,Mercedes-Benz EV Models,"[[""Mercedes-Benz EV Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,16,Home and Fast Charging Options,"[[""Home and Fast Charging Options"", 1.0]]"
