topic,keywords,representative_snippets,prompt_hash,prompt_system,prompt_user,prompt_json
0,"car, driving, steering, drive, air, suspension, vehicle, cars, rear, road",Well it's a pleasure to drive a car which drives itself because you can relax while driving. || And I want to have cars that reinvigorate that love of driving. || This is kind of a culmination of several years of this car being built. || This is completely new in the RS Q8 and this also gives the car this changeable character from driving really sporty to driving really comfortable and this is reflected in our suspension offer as well. || So we have in the RS Q8 a standard air suspension and this allows the customer to adapt the car to the surface and the driving style. || It is a challenge to make a real RS out of this huge body style and huge car but in the end we were trying to do so and we successfully did.,bf0eb29cd2a4f69a,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 0
Keywords: car, driving, steering, drive, air, suspension, vehicle, cars, rear, road
Representative snippets:
- Well it's a pleasure to drive a car which drives itself because you can relax while driving.
- And I want to have cars that reinvigorate that love of driving.
- This is kind of a culmination of several years of this car being built.
- This is completely new in the RS Q8 and this also gives the car this changeable character from driving really sporty to driving really comfortable and this is reflected in our suspension offer as well.
- So we have in the RS Q8 a standard air suspension and this allows the customer to adapt the car to the surface and the driving style.
- It is a challenge to make a real RS out of this huge body style and huge car but in the end we were trying to do so and we successfully did.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 0\nKeywords: car, driving, steering, drive, air, suspension, vehicle, cars, rear, road\nRepresentative snippets:\n- Well it's a pleasure to drive a car which drives itself because you can relax while driving.\n- And I want to have cars that reinvigorate that love of driving.\n- This is kind of a culmination of several years of this car being built.\n- This is completely new in the RS Q8 and this also gives the car this changeable character from driving really sporty to driving really comfortable and this is reflected in our suspension offer as well.\n- So we have in the RS Q8 a standard air suspension and this allows the customer to adapt the car to the surface and the driving style.\n- It is a challenge to make a real RS out of this huge body style and huge car but in the end we were trying to do so and we successfully did.\n\nTopic label:""}]"
1,"design, world, new, designers, need, product, future, happy, bit, sure","Well, I know what we need you to do, and I'm here to make sure you see why. || And that's a little bit what I want to tell you here today. || to make good products and therefore also I don't like also that you know when people are always saying yeah but it was my design and I say hey don't worry you know we are looking for the best result and everybody is inspiring. || And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you. || But this is not going to be a one-way communication. No, we want to engage in a dialogue with you. || Together, we're all All available after the presentation for your Q&As.",4f4e1763123e2618,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 1
Keywords: design, world, new, designers, need, product, future, happy, bit, sure
Representative snippets:
- Well, I know what we need you to do, and I'm here to make sure you see why.
- And that's a little bit what I want to tell you here today.
- to make good products and therefore also I don't like also that you know when people are always saying yeah but it was my design and I say hey don't worry you know we are looking for the best result and everybody is inspiring.
- And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you.
- But this is not going to be a one-way communication. No, we want to engage in a dialogue with you.
- Together, we're all All available after the presentation for your Q&As.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 1\nKeywords: design, world, new, designers, need, product, future, happy, bit, sure\nRepresentative snippets:\n- Well, I know what we need you to do, and I'm here to make sure you see why.\n- And that's a little bit what I want to tell you here today.\n- to make good products and therefore also I don't like also that you know when people are always saying yeah but it was my design and I say hey don't worry you know we are looking for the best result and everybody is inspiring.\n- And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you.\n- But this is not going to be a one-way communication. No, we want to engage in a dialogue with you.\n- Together, we're all All available after the presentation for your Q&As.\n\nTopic label:""}]"
2,"display, key, android, digital, screen, apple, carplay, navigation, apple carplay, android auto","Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone. || Featuring an 8-inch or a newly available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. || Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away. || So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person. || You're going to kick underneath the bumper and immediately back up and the hatch will open up for you. || And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.",5118fbfcdba7d395,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 2
Keywords: display, key, android, digital, screen, apple, carplay, navigation, apple carplay, android auto
Representative snippets:
- Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone.
- Featuring an 8-inch or a newly available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions.
- Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away.
- So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person.
- You're going to kick underneath the bumper and immediately back up and the hatch will open up for you.
- And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 2\nKeywords: display, key, android, digital, screen, apple, carplay, navigation, apple carplay, android auto\nRepresentative snippets:\n- Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone.\n- Featuring an 8-inch or a newly available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions.\n- Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away.\n- So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person.\n- You're going to kick underneath the bumper and immediately back up and the hatch will open up for you.\n- And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.\n\nTopic label:""}]"
3,"seats, interior, seat, heated, space, leather, rear, rear seats, materials, comfortable","Features like standard heated front seats, available ventilated front seats, an available heated steering wheel, and available heated rear outboard seats keep occupants comfortable regardless of the weather conditions. || I like it a lot. And also the seats are new, right? || Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips. || You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well. || First time ever in the RS Q8 we offer our typical known RS super sport seats with the honeycomb stitching for the first time with the massage and the cooling function. || Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you can",7489630eb6695e3a,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 3
Keywords: seats, interior, seat, heated, space, leather, rear, rear seats, materials, comfortable
Representative snippets:
- Features like standard heated front seats, available ventilated front seats, an available heated steering wheel, and available heated rear outboard seats keep occupants comfortable regardless of the weather conditions.
- I like it a lot. And also the seats are new, right?
- Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips.
- You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well.
- First time ever in the RS Q8 we offer our typical known RS super sport seats with the honeycomb stitching for the first time with the massage and the cooling function.
- Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you 

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 3\nKeywords: seats, interior, seat, heated, space, leather, rear, rear seats, materials, comfortable\nRepresentative snippets:\n- Features like standard heated front seats, available ventilated front seats, an available heated steering wheel, and available heated rear outboard seats keep occupants comfortable regardless of the weather conditions.\n- I like it a lot. And also the seats are new, right?\n- Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips.\n- You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well.\n- First time ever in the RS Q8 we offer our typical known RS super sport seats with the honeycomb stitching for the first time with the massage and the cooling function.\n- Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you \n\nTopic label:""}]"
4,"horsepower, torque, drive, hybrid, engine, electric, range, battery, motor, power","Powered by the fifth-generation Toyota Hybrid System, this Plug-in Hybrid powertrain produces 220 net combined horsepower with a two-liter engine, two electric motors, and a newly developed lithium-ion battery with greater capacity than prior generations. || This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque. || Both trims offer plenty of power and torque. The Limited rear-wheel drive gets 225 horsepower with 258 pound-feet of torque, while the all-wheel drive for either the XRT or Limited gives you 320 horsepower with 446 pound-feet of torque. || We want to, of course, ensure these performance figures. We implemented a V8 4-liter bi-turbo engine. || we have actually the engine from the Lamborghini Urus and we have a bigger transmission with massive 800 Nm of torque and with this power output we are able to accelerate the car from 0 to 100 kmph in less than 4 seconds. || Now, I guess we have not yet said a word about engines.",0323ede9f15ed801,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 4
Keywords: horsepower, torque, drive, hybrid, engine, electric, range, battery, motor, power
Representative snippets:
- Powered by the fifth-generation Toyota Hybrid System, this Plug-in Hybrid powertrain produces 220 net combined horsepower with a two-liter engine, two electric motors, and a newly developed lithium-ion battery with greater capacity than prior generations.
- This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.
- Both trims offer plenty of power and torque. The Limited rear-wheel drive gets 225 horsepower with 258 pound-feet of torque, while the all-wheel drive for either the XRT or Limited gives you 320 horsepower with 446 pound-feet of torque.
- We want to, of course, ensure these performance figures. We implemented a V8 4-liter bi-turbo engine.
- we have actually the engine from the Lamborghini Urus and we have a bigger transmission with massive 800 Nm of torque and with this power output we are able to accelerate the car from 0 to 100 kmph in less than 4 seconds.
- Now, I guess we have not yet said a word about engines.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 4\nKeywords: horsepower, torque, drive, hybrid, engine, electric, range, battery, motor, power\nRepresentative snippets:\n- Powered by the fifth-generation Toyota Hybrid System, this Plug-in Hybrid powertrain produces 220 net combined horsepower with a two-liter engine, two electric motors, and a newly developed lithium-ion battery with greater capacity than prior generations.\n- This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.\n- Both trims offer plenty of power and torque. The Limited rear-wheel drive gets 225 horsepower with 258 pound-feet of torque, while the all-wheel drive for either the XRT or Limited gives you 320 horsepower with 446 pound-feet of torque.\n- We want to, of course, ensure these performance figures. We implemented a V8 4-liter bi-turbo engine.\n- we have actually the engine from the Lamborghini Urus and we have a bigger transmission with massive 800 Nm of torque and with this power output we are able to accelerate the car from 0 to 100 kmph in less than 4 seconds.\n- Now, I guess we have not yet said a word about engines.\n\nTopic label:""}]"
5,"charging, charge, level, charger, battery, fast, dc, minutes, stations, fast charging","Use the MyMazda app to sort public charging stations by Level 2 and DC fast charging stations so you can easily find the right station for your Mazda electrified vehicle. || If you choose to charge your Mazda plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging. || So I see all the charging stations here. I know where to charge based off that. || The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this? || Weird. and there are many home charging options to fit your needs. || But how do we ensure that you can actually get there? Public high-speed charging has finally matured to the point where major corridors in the U.S. are now covered, and the infrastructure continues to grow.",9f4f0ac5bf303964,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 5
Keywords: charging, charge, level, charger, battery, fast, dc, minutes, stations, fast charging
Representative snippets:
- Use the MyMazda app to sort public charging stations by Level 2 and DC fast charging stations so you can easily find the right station for your Mazda electrified vehicle.
- If you choose to charge your Mazda plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging.
- So I see all the charging stations here. I know where to charge based off that.
- The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this?
- Weird. and there are many home charging options to fit your needs.
- But how do we ensure that you can actually get there? Public high-speed charging has finally matured to the point where major corridors in the U.S. are now covered, and the infrastructure continues to grow.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 5\nKeywords: charging, charge, level, charger, battery, fast, dc, minutes, stations, fast charging\nRepresentative snippets:\n- Use the MyMazda app to sort public charging stations by Level 2 and DC fast charging stations so you can easily find the right station for your Mazda electrified vehicle.\n- If you choose to charge your Mazda plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging.\n- So I see all the charging stations here. I know where to charge based off that.\n- The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this?\n- Weird. and there are many home charging options to fit your needs.\n- But how do we ensure that you can actually get there? Public high-speed charging has finally matured to the point where major corridors in the U.S. are now covered, and the infrastructure continues to grow.\n\nTopic label:""}]"
6,"led, black, grille, rear, headlights, lights, light, design, lighting, look","You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance. || Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen. || Regardless of grade, all models also feature standard LED exterior lighting, including headlights, tail lights, and daytime running lights. || One new addition is going to be the dynamic matrix design LED headlights. || There's also going to be a laser headlight option available. Now this vehicle is equipped with the black optic package so the surround of the hexagonal single frame grille is going to be blacked out along with the roof rails as well. || If you think about Audi Light we've been introducing innovation constantly, actually thinking out of the box and we thought with digitalization it's time to design out of the box.",ade4b02b5675c129,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 6
Keywords: led, black, grille, rear, headlights, lights, light, design, lighting, look
Representative snippets:
- You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance.
- Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen.
- Regardless of grade, all models also feature standard LED exterior lighting, including headlights, tail lights, and daytime running lights.
- One new addition is going to be the dynamic matrix design LED headlights.
- There's also going to be a laser headlight option available. Now this vehicle is equipped with the black optic package so the surround of the hexagonal single frame grille is going to be blacked out along with the roof rails as well.
- If you think about Audi Light we've been introducing innovation constantly, actually thinking out of the box and we thought with digitalization it's time to design out of the box.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 6\nKeywords: led, black, grille, rear, headlights, lights, light, design, lighting, look\nRepresentative snippets:\n- You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance.\n- Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen.\n- Regardless of grade, all models also feature standard LED exterior lighting, including headlights, tail lights, and daytime running lights.\n- One new addition is going to be the dynamic matrix design LED headlights.\n- There's also going to be a laser headlight option available. Now this vehicle is equipped with the black optic package so the surround of the hexagonal single frame grille is going to be blacked out along with the roof rails as well.\n- If you think about Audi Light we've been introducing innovation constantly, actually thinking out of the box and we thought with digitalization it's time to design out of the box.\n\nTopic label:""}]"
7,"bmw, series, bmw series, new bmw, grand tour, tour, grand, new, i5, i4","One day driving a BMW, one day working at BMW, one day developing a BMW of the future. || This is what the BMW 5 Series is all about. This is the new BMW 5 Series. || So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series. || I'll just show you here by entering a navigation command. So I'm saying, take me to Munich into a Leopold Strazer 25. || And if you are on a longer trip, like in this case to Munich, you sometimes have human needs cropping up. || and welcome for the next big product news from BMW and BMW i.",870b4de7881a737e,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 7
Keywords: bmw, series, bmw series, new bmw, grand tour, tour, grand, new, i5, i4
Representative snippets:
- One day driving a BMW, one day working at BMW, one day developing a BMW of the future.
- This is what the BMW 5 Series is all about. This is the new BMW 5 Series.
- So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series.
- I'll just show you here by entering a navigation command. So I'm saying, take me to Munich into a Leopold Strazer 25.
- And if you are on a longer trip, like in this case to Munich, you sometimes have human needs cropping up.
- and welcome for the next big product news from BMW and BMW i.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 7\nKeywords: bmw, series, bmw series, new bmw, grand tour, tour, grand, new, i5, i4\nRepresentative snippets:\n- One day driving a BMW, one day working at BMW, one day developing a BMW of the future.\n- This is what the BMW 5 Series is all about. This is the new BMW 5 Series.\n- So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series.\n- I'll just show you here by entering a navigation command. So I'm saying, take me to Munich into a Leopold Strazer 25.\n- And if you are on a longer trip, like in this case to Munich, you sometimes have human needs cropping up.\n- and welcome for the next big product news from BMW and BMW i.\n\nTopic label:""}]"
8,"assist, parking, monitor, lane, view, spot, blind spot, blind, alert, traffic","Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces. || Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces. || Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces. || In this particular case, if you're somebody, you've got a closed lane in a construction site. || You can see from that symbol to the top left there. Parking information will now also indicate the probability of finding a parking space along the road. || It will show the driver the remaining time until the next green phase if he's waiting, for example, at a red traffic light.",023e79ab92272007,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 8
Keywords: assist, parking, monitor, lane, view, spot, blind spot, blind, alert, traffic
Representative snippets:
- Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.
- Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces.
- Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.
- In this particular case, if you're somebody, you've got a closed lane in a construction site.
- You can see from that symbol to the top left there. Parking information will now also indicate the probability of finding a parking space along the road.
- It will show the driver the remaining time until the next green phase if he's waiting, for example, at a red traffic light.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 8\nKeywords: assist, parking, monitor, lane, view, spot, blind spot, blind, alert, traffic\nRepresentative snippets:\n- Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.\n- Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces.\n- Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.\n- In this particular case, if you're somebody, you've got a closed lane in a construction site.\n- You can see from that symbol to the top left there. Parking information will now also indicate the probability of finding a parking space along the road.\n- It will show the driver the remaining time until the next green phase if he's waiting, for example, at a red traffic light.\n\nTopic label:""}]"
9,"electric, ev, bolt, vehicles, bolt ev, euv, bolt euv, electric vehicles, cars, evs","We really appreciate it. There really are a lot of benefits to owning the Bolt EV or the Bolt EUV, both expected and unexpected. || So to start us off, you literally brake every time you're in any car, but here on the Bolt EUV and on the Bolt EV, there's something a little different going on. || And the best part about it is between the Bolt EUV or Bolt EV and the My Chevrolet app, it does all the hard work for me. || The decision to name it just e-tron was to demonstrate how important EV was to our future. || While the benefits of EV ownership can be found all around, sometimes it's the simple things that make the biggest daily impact, like preconditioning. || That only begins to tell the story of why EV ownership is simply better, and the reasons extend everywhere.",4c560abe4bb53052,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: 9
Keywords: electric, ev, bolt, vehicles, bolt ev, euv, bolt euv, electric vehicles, cars, evs
Representative snippets:
- We really appreciate it. There really are a lot of benefits to owning the Bolt EV or the Bolt EUV, both expected and unexpected.
- So to start us off, you literally brake every time you're in any car, but here on the Bolt EUV and on the Bolt EV, there's something a little different going on.
- And the best part about it is between the Bolt EUV or Bolt EV and the My Chevrolet app, it does all the hard work for me.
- The decision to name it just e-tron was to demonstrate how important EV was to our future.
- While the benefits of EV ownership can be found all around, sometimes it's the simple things that make the biggest daily impact, like preconditioning.
- That only begins to tell the story of why EV ownership is simply better, and the reasons extend everywhere.

Topic label:","[{""role"": ""system"", ""content"": ""You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.""}, {""role"": ""user"", ""content"": ""Topic ID: 9\nKeywords: electric, ev, bolt, vehicles, bolt ev, euv, bolt euv, electric vehicles, cars, evs\nRepresentative snippets:\n- We really appreciate it. There really are a lot of benefits to owning the Bolt EV or the Bolt EUV, both expected and unexpected.\n- So to start us off, you literally brake every time you're in any car, but here on the Bolt EUV and on the Bolt EV, there's something a little different going on.\n- And the best part about it is between the Bolt EUV or Bolt EV and the My Chevrolet app, it does all the hard work for me.\n- The decision to name it just e-tron was to demonstrate how important EV was to our future.\n- While the benefits of EV ownership can be found all around, sometimes it's the simple things that make the biggest daily impact, like preconditioning.\n- That only begins to tell the story of why EV ownership is simply better, and the reasons extend everywhere.\n\nTopic label:""}]"
