Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
-1,1331,-1_car_new_design_performance,未使用（本次停用 LLM 主題命名）,"vehicle, car, cars, driving, design, features, engine, electric, lexus, drive","car, new, design, vehicle, performance, experience, power, cars, driver","is, car, new","In terms of basic concepts, this engine is largely similar to the eight-cylinder engine. In other words, a turbocharged engine in which the exhaust gas turbo technology is housed in the front of the engine and brings together a number of character traits from the eight-cylinder engine. The transmission of the new Panamera is a completely new development. || Artura uses high-performance hybrid technology to improve the driving experience, but without the weight penalty you'd normally associate with adding battery technology. And we've done so while staying true to McLaren's DNA of technical design, outstanding performance, and unparalleled driving dynamics. Now let's hear from our Design Director, Rob Melville, on the first of those pillars, technical design. || Artura uses high-performance hybrid technology to improve the driving experience, but without the weight penalty you'd normally associate with adding battery technology. And we've done so while staying true to McLaren's DNA of technical design, outstanding performance and unparalleled driving dynamics. Now let's hear from our design director, Rob Melville, on the first of those pillars, technical design. || We're here today for the exciting world debut of the new NSX, a vehicle that reflects Acura's American roots. The NSX makes a powerful statement about the strong role being played by our North American operations in envisioning and building the future of Acura. Starting today, you will see Acura focus even more strongly on our core values and DNA as a challenger brand, breaking some rules and doing the unexpected to create new value for luxury buyers. || Looking forward, you can expect premium products that place even greater emphasis on dynamic design, premium content, and exhilarating performance. Three years ago, we announced that we were creating a next-generation NSX supercar, but we didn't stop there. We also announced that a U.S. R&D team would lead the development and that America would be the exclusive global production home for NSX. || Today we're here to deliver on that promise, but the all-new NSX represents more than just a real supercar. It heralds a sharpened focus on our sports heritage and is a vehicle that achieves precision-crafted performance and incredible joy-inducing synergy between the driver and machine. For the Acura brand, it all starts now."
0,595,0_kia_electric_ev_ev6,未使用（本次停用 LLM 主題命名）,"ev, ev6, kia, hybrid, evs, electric, vehicle, car, vehicles, cars","electric, drive, range, car, power, battery, hybrid, new, driving","kia, electric, ev, ev6, drive, range, power, battery","Kia is driving towards a future with EVs that raise the bar and invite more customers to begin their electrification journey with us. In the meantime, customers have shown that they appreciate Kia's innovation to go electric their own way. And with the addition of our first ever Carnival Hybrid, Kia now offers 10 electrified models. || And our guest is Mr. Mark Howlett, Fleet Sales Manager, Kia Motors Europe. He will explain why Kia can be the perfect choice for your corporate fleet program by presenting the all-new Kia Optima range, composed among others of the Kia Optima Sport Wagon and the Optima PH EV, Kia's first plug-in hybrid model. Enjoy your virtual fleet lounge. || Kia India is developing an India-centric EV in Albi home ground up to be launched by 2025. We are starting our EV journey in India by launching nothing but the best from Kia, the EV6. Our globally-awarded EV6 is the most exciting and sophisticated product from Kia yet. || It's nestled down low in the chassis, and our power unit will respond to all drivers' demands, acceleration, braking, as well as cornering. Now our engine is mated with an all-new nine-speed dual-clutch transmission of our own design, which houses a electric motor at the rear, directly driving the rear wheels. Twin electric motors in the front provide instant torque, but also dynamic torque vectoring. || In these three motors, one aft and two up front, together they comprise the sport hybrid system. The combination of a twin turbocharged engine, together with our electric motors, delivers instantaneous and yet broad torque. || Pricing hasn't been set yet but I can tell you our expectation is that the NSX will start in the mid $150,000 range. There will be more than one spec because we know this customer wants to be able to configure, customize and build their own vehicle. But again, we will announce these details in the days ahead."
1,450,1_rear_interior_seats_car,未使用（本次停用 LLM 主題命名）,"design, interior, car, vehicle, rear, shape, looks","rear, interior, car, design, seats, seat, look","rear, interior, car, design, seats, also, seat, look","Answer, well for the four cylinder engines we will use the S tronic transmission with seven speeds and for a six-cylinder engines we will use the already known tip tronic with eight speed transmission just for the guests S tronic and tip tronic that's a different technology isn't it yes the tip tronic is an automatic transmission while the S tronic is a dual clutch transmission now what we haven't mentioned either is the luggage compartment so question to you Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you can shift the seats in the length so extend your clearance for the knees and also of course the inclination of the seats can be adjusted that means you can adjust the comfort for those sitting in the rear for longer trips or if you need extra space in your trunk compartment you can also extend your trunk and luggage compartment with this movable rear seat bench. || Everyone can enjoy generous legroom and headroom, even in the rear seat. The interior design adds to a sporty, in-command driving experience. With the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor, it creates one of the four interior themes. || With this loading position, trunk space is maximized while still allowing for rear seat passengers. The 3 Series Gran Turismo's rear seats can also be folded flat, either separately or together, thanks to their 40-20-40 design. This can be accomplished either using the adjustment handles on the rear seats or via these handles in the cargo compartment. || Now when we began development, the notion of a hybrid supercar was still a very new idea. So let me explain a bit more holistically what our sport hybrid technology helps us accomplish. The layout actually lowers down the center of gravity and thus it improves the fundamental vehicle dynamics. || My team had the incredible challenge of delivering on the stunning show car concept we debuted here three years ago, while at the same time translating it to a production car that houses the larger, more powerful, and now longitudinally mounted power unit. Every design element has a purpose, and that is to enhance performance. The more muscular exterior appearance evolved from the functional pursuit of total airflow management. || Air which flows through the front of the vehicle to cool the power unit, as well as the brakes, exits out the hood vent, as well as the fender vent, providing necessary front downforce. Now the air is managed so that it stays attached to the side of the vehicle, the same air being reintroduced to feed the mid-mounted twin-turbocharged V6."
2,322,2_president_auto_vice_ladies,未使用（本次停用 LLM 主題命名）,"excited, you","show, auto",show,"Ladies and gentlemen, please welcome Jeff Conrad, senior vice president, automobile division of American Honda. Good morning, everyone. whether live here in Detroit or for a good many more of you joining us via live stream. || Ladies and gentlemen, please welcome Senior Vice President of the Automobile Division at American Honda, Jeff Conrad. Good morning, everyone. It's great to be with you for the last major auto show of the season. || Ladies and gentlemen, the Senior Vice President and General Manager of the Acura Division, Mr. Mike Accovetti. Good morning. Hi, everyone. || Ladies and gentlemen, Executive Vice President of the Acura Business Planning Office, Mr. Eric Berkman. Well, good morning, folks, and thanks for joining us today. This is a big day for the Acura brand. || So thank you again for your attention. Now I'd like to give it back to Mike for some closing comments. Thank you, Ted. || Given the currently difficult conditions for traveling and events, we've decided to opt for a static vehicle presentation and do so on a purely digital platform. But this is not going to be a one-way communication. No, we want to engage in a dialogue with you."
3,309,3_bmw_class_mercedes_benz,未使用（本次停用 LLM 主題命名）,"mercedes, bmw, benz, sedan, car, models, model, brand, coupe, class","class, new, series, car, design, kidney, driving, look, sedan","bmw, class, mercedes, benz, new, series, car, design, kidney","And if I decelerate now, you can see the recuperation. Well, as I told you, the new Mercedes-Benz S-Class Hybrid is more electric than ever before. Alright, Dierks, so what else is there you'd like to tell me about the all-new Mercedes-Benz S-Class? || I can't wait for our customers to realize just how much of a coming-home feeling this new Mercedes-Benz S-Class is. When designing a Mercedes-Benz, we always focus on the desires of our customers. And this applies especially to the Mercedes-Benz S-Class. || Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz. || So with that I'll give you back over to Mike and he can tell you more about the tail lights. Thanks a lot Ashley for your explanations. Well I must say I do like this fresh look very much and I'm quite convinced that, well, design will remain the key purchase argument for the Q5 from the customers buying the Q5. || The basic fitting with the Q5 are now at the front LED headlights and as an option you can also have matrix LED headlights. And once you've arrived at your destination and you close the Q5 you have a so-called coming home light function being processed. And here again each of the signatures has its very own and distinct light signature. || What we can see here is the light signature 134. Now, the latest infotainment generation, the MIB3, is now also deployed in the Q5. A joint demonstration of some of the features have in the cabin been done due to corona and therefore been pre-recorded in this following clip."
4,211,4_toyota_corolla_pacifica_minivan,未使用（本次停用 LLM 主題命名）,"toyota, corolla, chrysler, vehicle, car, cars, minivan, hybrid, rav4, drive","new, minivan, car, cars, first, vehicle, production","toyota, corolla, pacifica, new, minivan, car, prius, have, rav4","I'll let that sink in. the most popular car in the world right here and Corolla was introduced more than 50 years ago and we have sold more than 46 million Corollas around the globe that's pretty outstanding and to all of you on live stream I hope you're sitting down because we're ready to knock your socks off so you ready have some fun because today is truly unique right now right now our friends across the world at Toyota China are hosting the world premiere of the 12th generation Corolla 12 generations and now we thought about taking all of you to China to see it but decided well we might make it a little easier for everyone to get you as close as we could without leaving the continental US so here we are on the edge of the Pacific Ocean and we're here to bring you the North American reveal of this exciting new Corolla And to all of you in the room and out there in the interwebs, you are the first people right now in North America to get your eyes on the all-new 2020 Toyota Corolla. || Well you do! but it's fun to have that back out there and you know there's just not that many offering them anymore but you can get one in a Corolla and just like we made Corolla hatchback greater than ever we're doing the same with the all-new Corolla sedan but before we unveil this car I want to share some important features that you're not going to see when we pull back the silks and they're all focused on safety the new Corolla comes standard with second generation Toyota Safety Sense or TSS Okay, I know. || We have the U.S. first-ever Corolla Hybrid. We have the amazing 2019 Toyota Prius. And then we have the exciting TRD Camry and TRD Avalon. || We will also be conducting media drives. I'm telling you what, when you get behind the wheel of this car, as Ted said, it's an experience that you're going to remember. The first customer deliveries, First off, we're going to start production at the PMC this fall and first customer deliveries will take place later this year and some customers have been more anxious than others. || It's an amazing feeling if you see the car first time driving outside and see all the reflections and the little things are going on and it makes the thing alive and that's what we're all dreaming about. We're creating a living sculpture and that's the best thing in the world. How can a car model this young already be a classic? || No, mom sell. Number three, mom's work. Number four, not me."
5,170,5_karma_products_need_brand,未使用（本次停用 LLM 主題命名）,"designers, hire, innovation, customers, brand, passion, design","karma, products, brand, designers","have, karma, because, them, products","You are the persona. Karma is merely the shadow. If you've paid attention to anything that karma has done over the past few months, what you hear in our communications is that we don't spend a whole lot of time talking about how great karma is. || But when we think about what does aspiration look like in an automobile, our eyes almost wholly go to Europe. We at Karma believe that we have the ability to change that. Our goal is to move in a direction of showing products that celebrate the extremely powerful presence of American culture. || At Karma Automotive, we're intending to design a brand that reflects the strength, the ingenuity, the entrepreneurial spirit of the American culture. It's an interesting thing that in this country, where you have so much inspiration, so much innovation where we have created market segments, we've created sports, we've created enterprises, we've created technologies, where you have icons like Michael Jordan and Bill Gates and Warren Buffett, where we sit as the model for aspiration for all of the world. || You work as a team, but of course there's also a designer who, so to say, is in charge for that product upgrade. How can we imagine how this works? How has the team work done. || Is everybody responsible for one particular segment or have you got a democratic vote at the end? || There are those who are content within the boundaries they've created in their lives. Then there are those always asking themselves, what else is out there, waiting to be discovered? We built our entire legacy on offering vehicles that could answer that question."
6,157,6_assist_lane_parking_safety,未使用（本次停用 LLM 主題命名）,"safety, steering, driver, vehicle, driving, detects, lane, assist, sensors, radar","assist, lane, parking, safety, car, system, road, driver, traffic, collision","assist, lane, parking, safety, car, driver, traffic, collision, camera, steering","That's why every grade comes standard with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist. || This updated bundle includes Pre-Collision System with Pedestrian Detection, now with Intersection Support Enhancement and a Driver Initiated Emergency Steering Assist Enhancement, Lane Departure Alert with Steering Assist, automatic high beams, full-speed range dynamic radar cruise control, now with curved speed management, lane tracing assist, and road sign assist. || The real star of the show, however, is Toyota Safety Sense 2.5 Plus. This active safety system includes a pre-collision system with pedestrian detection, lane departure alert with steering assist, automatic high beams, full speed range dynamic radar cruise control, lane tracing assist, and road sign assist. For added visibility from the driver's seat, blind spot monitor with rear cross traffic alert is standard on the LE grade and above. || Parking information will now also indicate the probability of finding a parking space along the road. Another service of the swarm intelligence is the traffic light information in select cities. It will show the driver the remaining time until the next green phase if he's waiting, for example, at a red traffic light. || Drive it like a normal car, no adjustments needed. Audi uses intelligence through map data and front-facing cameras to maximize the amount of coasting possible before engaging recuperation when the brake pedal is pressed or slowing traffic is detected. This is more efficient than always engaging maximum recuperation. || Adaptive Cruise Assist eases the stress of the road at normal highway speeds with active lane sensing, stop and go, and steering guidance. The Audi PreSense 360 system can help detect collision hazards around the car and can initiate specific preventive measures ranging from a full brake application to seat adjustments and pre-tensioning of the safety belts."
7,134,7_mbux_display_screen_functions,未使用（本次停用 LLM 主題命名）,"touchscreen, controls, screen, menus, menu, displays, buttons, display, navigation, mbux","display, screen, functions, center, navigation, control, console, information, displays, touchscreen","display, mbux, screen, functions, center, navigation, control, console, displays","Inside, there's an evolution of the famous operating system MBUX. It now allows you to control the vehicle functions even easier and more intuitively. All in all, you can control MBUX not only by this touchscreen, but by the touch control buttons and via voice control. || We've removed 40% of the buttons from the center console and transferred these functions to a menu on the large screen above the center console, where these functions can now be accessed. Of course, supplemented with options for controlling the new functions. The instrument cluster features two 7-inch displays coupled with the traditional mechanical rev speed indicator in the center. || The Mercedes-Benz User Experience, or MBUX for short, is amazing in that it comes with four different control options. The touchpad in the center console, the touch screen in the middle display, touch control buttons on the steering wheel, or simply by voice. Hey Mercedes. || Back to the touch operation, you will find that the previous rotary switch in the center control can be omitted. The content of the screen can be split up now. That means you can have the screen split up as requested to three preview windows, for example the navigation, the radio and the phone menu. || As an alternative, of course, you can also go back to the classic view with all the menu cantons in freely configurable tile configuration. The voice dialog system will evaluate your voice input also online, which means it becomes so co-varied and can understand you a lot better. I'll just show you here by entering a navigation command. || The traffic flow in real time is now displayed exactly the lane that you're driving in unpredictably. In this particular case, if you're somebody, you've got a closed lane in a construction site. You can see from that symbol to the top left there."
8,133,8_charging_charge_route_mercedes,未使用（本次停用 LLM 主題命名）,"charging, charge, charger, superchargers, battery, convenient, mercedes, tesla, plug, fordpass","charging, charge, route, charger, home, stations, minutes, fast, plug","charging, charge, route, mercedes, charger, stations, minutes, fast, plug","Yeah, so the EQS lineup is able to charge, it's actually the largest charging network in America with Electrify America. The EQS comes with two years of charging sessions, 30 minute charging sessions, that are complimentary so you can pull up to an Electrify America station And using the Mercedes me and the me charge app, you're able to activate the chargers and get 30 minutes of high speed charging per session. That's using DC fast charging capabilities. || The Mercedes me Charge functions accessible via MBUX and smartphone support you when charging on the go by finding charging points and making the payment process easier. Thanks Mercedes! Besides DC charging at public stations, you can also charge your B-Class conveniently at your own private Mercedes-Benz Warbox. || Green charging is also included in Mercedes me Charge and this charge really is green. Mercedes-Benz ensures that electricity from renewable sources will subsequently be fed back into the grid for all quantities charged via Mercedes me Charge. You can find plug-and-charge capable charging stations via the filtering function I mentioned earlier. || The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this? Weird. and there are many home charging options to fit your needs. || With the standard 120-volt household outlet, the battery can be fully charged in 3.5 hours, but with BMW's 220-volt charging station, time is significantly reduced to just 1.5 hours. When operating in the car's default comfort mode, the battery is allowed to drop to 20 percent capacity before the engine kicks in to help maintain charge. This reserve keeps enough juice flowing to maintain EV mode when stopping and initial acceleration. || And not to mention vehicle settings where you can customize departure time settings and charging. Scrolling down to Auto E-Drive, it'll show you the state of charge and how much rain do you have left. You can hold that state of charge so the vehicle will continuously hold, for example, 11 miles until you turn it off and will begin using the electric power once more."
