Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
-1,2894,-1_car_new_drive_infiniti,Noise / Outlier,"toyota, vehicle, car, cars, vehicles, driver, infiniti, driving, drive","car, new, vehicle, cars, performance, system, fuel","of, car, new","And it starts right here today with this new Infiniti Q50. Not only is this new car the first to bear our new nomenclature, it is also the first to completely crystallize our future design, performance and technology direction. || Today we introduce the Honda Clarity line. We have a fuel cell powered Clarity, a pure battery electric Clarity, and a plug-in hybrid. || That makes it the most fuel-efficient, all-wheel drive hybrid in America. The new Prius with all-wheel drive E will be available this January, and with its new styling, outstanding cargo capacity, and of course, amazing fuel efficiency, this new Prius is a perfect example of Accio Toyota's pledge to make ever better cars. || It'll help you stand out when you're ready to step up. Ready to see for yourself? || And you can really tell that the car's been designed around the driver. || The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too."
0,3894,0_car_new_electric_hybrid,Hybrid Vehicle Design and Performance,"vehicle, car, driving, vehicles, cars, lexus, hyundai, drive, volvo, bmw","car, new, electric, vehicle, hybrid, engine, drive, first","new, electric, vehicle, hybrid","So power to the front wheels comes from an electric motor with a two-speed transmission and power to the rear wheels is from a three-cylinder turbocharged gas motor made into an automatic six-speed transmission. || The new Hyundai Sonata isn't just another car, it's a better car. || Doing them right when the time is right. And the time is right for electric to go Audi. || Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. || Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims. || The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine."
1,824,1_president_auto_ladies_vice,EV Technology Showcase,"about, you, please, technology","show, president, auto, much, vice, new","for, show, please, president, auto","Ladies and gentlemen, please welcome group vice president and general manager Toyota division Jack Hollis Well, good afternoon everybody. || Ladies and gentlemen, please welcome Group Vice President, General Manager of Lexus, Mark Templin. || Ladies and gentlemen, please welcome Thomas Ingenlatt, Senior Vice President Design. Good morning, ladies and gentlemen. || My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end. || He was having far too much fun. All the technology is easy to use. || First, it will have advanced technology that enhances fun-to-drive handling and performance."
2,640,2_display_navigation_screen_voice,Infotainment Displays and Controls,"navigation, menu, settings, screen, displays, display, smartphone, android, buttons, audio","display, navigation, screen, voice, information, phone, system, available, control, car","display, navigation, screen, voice, information, button, phone, control","Through the multi-information display, the available navigation screen which is positioned back at the top of the dash to improve the driver's sight lines or through an optional heads-up display. || Most of the functions are controlled via the steering wheel, displayed in the digital driver display, or in the optional head-up display. || It's that cool folks. And of course it's loaded with technology, things like a huge, like TV screen size touch screen, embedded modem, of course Apple CarPlay and Android Auto, wireless charging of the phones, heads up display. || You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays. || No, you are. He gets to drive? They just switched he gets to drive after all that no You know what? || You don't get to drive it anymore, at all. That's, but if you take the keys, they might not notice."
3,535,3_interior_carbon_fiber_leather,Interior Materials Design,"interior, inside, wood, design, structural, materials, structure, material, craftsmanship","interior, carbon, leather, fiber, design, materials, panel, high","interior, in, carbon, leather, fiber, design, materials, panel","So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels. || Interior color combinations. The interior is made of leather upholsteries and decor of carbon fiber, walnut, birch, metal, and aluminum. || So, let's see. In the interior, no, not in the interior. You can see the interior when we're here. || And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. || And then when you go to the interior it only gets better. || Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel."
4,520,4_buick_customers_market_brand,Buick China Market Strategy,"products, industry, market, sales, customers, markets, product, buick, business","in, customers, market, brand, sales, products, new, model, product","buick, customers, brand, sales, products, model","And with Buick, they get it. So, how did Buick get to our current standing in the marketplace and with our customers? || These models amount to more than 700,000 sales a year, or half of our total Buick brand volume. || Thanks for being here, Bob. Well, thank you, Susan. The new Buick Regal is The next step in transforming the Buick brand into what many of us at General Motors over the last 10 years have hoped that we could make the Buick brand be. || Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice. || What about this one over here? Yep. What we think is going to be our most popular model. || Yet, many global changes have affected the automobile industry since that time."
5,344,5_lane_assist_blind_traffic,Driver Assistance Safety Systems,"safety, alerts, detection, vehicle, detect, driver, alert, traffic, radar, steering","lane, assist, blind, traffic, braking, spot, collision, system, brake, camera","lane, assist, traffic, braking, collision, camera, detection, alert, safety, parking","It's blind spot detection system with rear cross traffic alert. Yes. I'm going to give you that one. || Automatic emergency braking with pedestrian detection, main departure warning system. along with blind spot detection and rear cross-traffic alert are offered on the vehicle. || I like that. You also get advanced safety technology. It offers standard blind spot detection with rear cross traffic alert and available automatic emergency braking, lane keep assist, and rear parking assistance system. || This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims. || Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation. || I'll just walk. I never have before. So you brake going into the turn."
6,225,6_seats_seat_cargo_space,Interior Space and Seating,"seats, seating, seat, passengers, passenger, cabin, spacious, sit, rear","seats, seat, cargo, space, rear, room, passenger, trunk, seating","seats, cargo, space, rear, four, trunk, seating, passengers, legroom, door","Now, it's not just about having a back seat. It's about the ability to fold down the back seat and have some actual cargo space. || The cabin provides ample legroom, rear seat room, both for rear seat passengers as well as great headroom in the front for front seat passengers. || The rear seat offers room for three and split-folding seatbacks for added luggage space. || And it only gets better on the inside with paddle shifters and redesigned sports seats. || Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers. || It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back."
7,209,7_led_light_lights_grille,Exterior Lighting Design,"headlights, taillights, taillight, leds, lighting, led, lights","light, lights, grille, headlights, lighting, design","led, lights, grille, headlights, design, signature, tail, look","Elements like that elongated wide sporty front grille, that elegant swooping hood and those stunning full LED headlights that include daytime running lights that I love this, seamlessly integrate into the main vehicle body. || We started with our hallmark LED lighting and leapt light years ahead to create these available HD matrix design LED headlights featuring high beam assist which can automatically shift from high beams to low beams when oncoming traffic is detected. || The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood. || Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. || I went and put them on brights. it was like full moon. || A lot more angular single frame grille in a lot more horizontal look."
8,182,8_design_explain_studio_art,Vehicle Design Aesthetics,"designs, design, designers, designer, inspired, prototype, studio, engineering, art, model","design, studio, sketch, beautiful, end, new, own","design, how, they, about, studio","We visited with both of them recently in our Waco design studio and asked them to share some perspectives on the new design. || There's so much to talk about. We have the best design. We have a very advanced design, led by Peter Schreier as a design team. || It is a beautiful design. Yes. John and Kate and his design team did an excellent job. || I think a lot of people probably don't realize that almost one year out that design gets locked in. || Many things have changed in our industry and in the marketplace since 1989, maybe more than just my hairstyle. || Every design element has a purpose, and that is to enhance performance."
9,166,9_polestar_electric_car_electric car,Polestar Electric Car Brand,"polestar, pole, brand, electric, volvo, performance, progressive, customers, design, customer","electric, car, brand, subscription, battery, performance, customer, plant, pure, heart","polestar, this, electric, car, brand, volvo, subscription, battery, performance","So the Polestar customers will also have access to what we call Polestar On Demand. || Polestar. So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute. || Now, looking at the lineup of Polestar 1, Polestar 2 and Polestar 3, you get a very good idea of the scope of our brand. || This plant, you may or may not know, was a 2011 JD Power Platinum Award winner. || So there are very, very few plants anywhere in the world that can achieve that level of significance. || I want to acknowledge the individual who has been leading the creation of this plant, Mr. Clement D'Souza."
