selection_label,topic,words,weighted_words
lowest_noise,0,"model, brand, car, new, like, just, vehicle, electric, design, drive","[[""model"", 0.13767127753519207], [""brand"", 0.12725613498804592], [""car"", 0.09546747680410864], [""new"", 0.08834171560746783], [""like"", 0.05998607211249955], [""just"", 0.05641330501346865], [""vehicle"", 0.05276217228424887], [""electric"", 0.04988496796978402], [""design"", 0.048342587004326025], [""drive"", 0.047637428035837696]]"
lowest_noise,1,"000, warranty, 000 mile, year, mile, whichever comes, whichever, 000 miles, hybrid, years","[[""000"", 0.14937903396680702], [""warranty"", 0.14826574357784042], [""000 mile"", 0.10921708646573255], [""year"", 0.10672741959792174], [""mile"", 0.10182557281227912], [""whichever comes"", 0.09380566684195447], [""whichever"", 0.09285708060806226], [""000 miles"", 0.07924153242313538], [""hybrid"", 0.075936320920127], [""years"", 0.07355325436265123]]"
most_topics,-1,"brand, model, car, new, like, just, vehicle, really, electric, design","[[""brand"", 0.012148700848943494], [""model"", 0.012025975448833319], [""car"", 0.010302403416999355], [""new"", 0.009846295168695516], [""like"", 0.008278212598614316], [""just"", 0.008262662977961445], [""vehicle"", 0.007579674537013356], [""really"", 0.007176788226550083], [""electric"", 0.006710713714712048], [""design"", 0.006669710788098868]]"
most_topics,0,"thank, good, bye, joining, today, doing, thanks, hope, welcome, questions","[[""thank"", 0.10986337122360723], [""good"", 0.04852080850179029], [""bye"", 0.036851675262532066], [""joining"", 0.03582537527993739], [""today"", 0.03551801109200783], [""doing"", 0.0321764081390409], [""thanks"", 0.030086584316712302], [""hope"", 0.028730639675474262], [""welcome"", 0.027859717238378295], [""questions"", 0.027142199451869624]]"
most_topics,1,"audio, apple, carplay, wireless, apple carplay, android, inch, touchscreen, android auto, available","[[""audio"", 0.03358232991234098], [""apple"", 0.033571568834737206], [""carplay"", 0.0323122416434993], [""wireless"", 0.030361224227997304], [""apple carplay"", 0.030217465672942957], [""android"", 0.029474263109041384], [""inch"", 0.026835408129134847], [""touchscreen"", 0.026542174587461526], [""android auto"", 0.02449150598802813], [""available"", 0.022413194257044848]]"
most_topics,2,"engine, horsepower, liter, cylinder, torque, transmission, motor, turbo, electric, speed","[[""engine"", 0.052487530555848275], [""horsepower"", 0.04621820528286113], [""liter"", 0.03853899192196504], [""cylinder"", 0.03253899662900741], [""torque"", 0.03150594455967587], [""transmission"", 0.021174895039163644], [""motor"", 0.02019821204746831], [""turbo"", 0.01804077177418965], [""electric"", 0.01735239126689354], [""speed"", 0.01729862183786884]]"
most_topics,3,"sedan, coupe, model, brand, car, new, brand model, cars, midsize, segment","[[""sedan"", 0.030602935877874618], [""coupe"", 0.026483635443944695], [""model"", 0.024367526428467522], [""brand"", 0.020399671342557373], [""car"", 0.02034816719079425], [""new"", 0.017640414621098013], [""brand model"", 0.015426653344824556], [""cars"", 0.01294361002907283], [""midsize"", 0.012083317977252222], [""segment"", 0.011675288585443913]]"
most_topics,4,"hybrid, model hybrid, plug, plug hybrid, model, fuel, brand, hybrids, new, gas","[[""hybrid"", 0.06607144910364393], [""model hybrid"", 0.028552284129239408], [""plug"", 0.025816152348500637], [""plug hybrid"", 0.022953573137560992], [""model"", 0.022650377790174543], [""fuel"", 0.01630735141217749], [""brand"", 0.014062431510934031], [""hybrids"", 0.013475337379119946], [""new"", 0.013214437535056566], [""gas"", 0.012329109160382658]]"
most_topics,5,"light, led, headlights, rear, lights, signature, laser, tail, beam, design","[[""light"", 0.050501997702865474], [""led"", 0.03989466912239543], [""headlights"", 0.034905238241383904], [""rear"", 0.03204957205470915], [""lights"", 0.03196631961653171], [""signature"", 0.02676630347897569], [""laser"", 0.022565455851228364], [""tail"", 0.01867244098963234], [""beam"", 0.017187213193156026], [""design"", 0.01684801853919175]]"
most_topics,6,"brand model, model, brand, new, new brand, new model, thank, let, welcome, gentlemen","[[""brand model"", 0.037542307755914515], [""model"", 0.03471096416441304], [""brand"", 0.034063154905660545], [""new"", 0.03078402188841164], [""new brand"", 0.028768197963001726], [""new model"", 0.025190858687858857], [""thank"", 0.020720368806946256], [""let"", 0.01895184725198273], [""welcome"", 0.017315194483118142], [""gentlemen"", 0.015010885100068113]]"
most_topics,7,"range, miles, electric, kilometers, battery, hour, kilowatt, hybrid, ev, plug","[[""range"", 0.04884093815332376], [""miles"", 0.03785316013933678], [""electric"", 0.03427089863609524], [""kilometers"", 0.030910176694491066], [""battery"", 0.028021865298041213], [""hour"", 0.025962114946133975], [""kilowatt"", 0.020552831302334235], [""hybrid"", 0.019381011051817745], [""ev"", 0.01864148203877322], [""plug"", 0.018453945336696864]]"
most_topics,8,"door, temperature, tailgate, button, open, press, turn, right, release, cover","[[""door"", 0.03387212324490945], [""temperature"", 0.029500342972156264], [""tailgate"", 0.029486463708644137], [""button"", 0.02874807805178671], [""open"", 0.027143026520078294], [""press"", 0.024683227845506233], [""turn"", 0.024115189577050083], [""right"", 0.02369573819621655], [""release"", 0.023395870808782023], [""cover"", 0.022769626055039873]]"
most_topics,9,"charging, charge, volt, hours, fast, charger, minutes, dc, kilowatt, range","[[""charging"", 0.05020337839209732], [""charge"", 0.047825196855508186], [""volt"", 0.03384382752955247], [""hours"", 0.0331587111278991], [""fast"", 0.03212858694411116], [""charger"", 0.03126227444062668], [""minutes"", 0.030135928521548717], [""dc"", 0.02956908668409295], [""kilowatt"", 0.02676023572104149], [""range"", 0.026184928547587954]]"
most_topics,10,"electric, electrification, vehicles, electrified, electrified vehicles, electric cars, brand, cars, electric car, electric vehicles","[[""electric"", 0.047213666854691666], [""electrification"", 0.04034717948026167], [""vehicles"", 0.03345906798194881], [""electrified"", 0.03118250252107499], [""electrified vehicles"", 0.024713476300965747], [""electric cars"", 0.020073192979687283], [""brand"", 0.01869837195694638], [""cars"", 0.01793422437259716], [""electric car"", 0.017863247624727626], [""electric vehicles"", 0.017794699820598583]]"
most_topics,11,"car, design, beautiful, really, thank, brand, robin, like, model, looking car","[[""car"", 0.0393405741016967], [""design"", 0.026129712423856408], [""beautiful"", 0.01988992291008269], [""really"", 0.018128065069411572], [""thank"", 0.016452459330168638], [""brand"", 0.015627123645087098], [""robin"", 0.014709248709502779], [""like"", 0.01335849738328225], [""model"", 0.01327026544125076], [""looking car"", 0.012607927465288098]]"
most_topics,12,"know don, don know, don, know, said, right, okay, yeah, let, going","[[""know don"", 0.09239243062944312], [""don know"", 0.09039597674105805], [""don"", 0.06655345671954128], [""know"", 0.0643051488615062], [""said"", 0.048451879929556185], [""right"", 0.045498660443052924], [""okay"", 0.04393350014892519], [""yeah"", 0.0435774035491402], [""let"", 0.03960380836167509], [""going"", 0.036942149270569595]]"
most_topics,13,"assist, lane, cruise, distance, braking, cruise control, driver, road, control, traffic","[[""assist"", 0.044464472808685415], [""lane"", 0.04171767819702361], [""cruise"", 0.026180360927378372], [""distance"", 0.0253406678388757], [""braking"", 0.02235748318735904], [""cruise control"", 0.022033921946480572], [""driver"", 0.021539351779174154], [""road"", 0.020985359612122546], [""control"", 0.020506152373444754], [""traffic"", 0.020216128642821143]]"
most_topics,14,"brand, china, brand brand, market, products, global, product, customer, world, markets","[[""brand"", 0.037320007877450136], [""china"", 0.03713200099402241], [""brand brand"", 0.030153705302398037], [""market"", 0.025666696864525895], [""products"", 0.023291410804769114], [""global"", 0.019007804874352406], [""product"", 0.01781242229331999], [""customer"", 0.015280380731496403], [""world"", 0.014951728275230586], [""markets"", 0.014364192668676291]]"
most_topics,15,"seats, seat, leather, comfort, interior, massage, driver seat, comfort seat, trimmed, seating","[[""seats"", 0.0700043583243176], [""seat"", 0.06228976941377333], [""leather"", 0.03998852734047479], [""comfort"", 0.020072967999061494], [""interior"", 0.019040302761447768], [""massage"", 0.01856772896905481], [""driver seat"", 0.016296514643183668], [""comfort seat"", 0.01604091865985189], [""trimmed"", 0.016018382744252293], [""seating"", 0.015732803346040516]]"
most_topics,16,"charging, stations, charge, charging stations, route, station, app, card, brand charge, charging station","[[""charging"", 0.09163950338805606], [""stations"", 0.05536397459617129], [""charge"", 0.05108810542433544], [""charging stations"", 0.04495168665081622], [""route"", 0.02602466069257781], [""station"", 0.025257058155180704], [""app"", 0.02348106554791759], [""card"", 0.022704609287422635], [""brand charge"", 0.020889168179362663], [""charging station"", 0.020673041198118965]]"
most_topics,17,"suv, model, brand model, brand, fleet, luxury, new, design, new brand, segment","[[""suv"", 0.03048137904405742], [""model"", 0.02837312595484657], [""brand model"", 0.022469489707068965], [""brand"", 0.021983001869698336], [""fleet"", 0.01682896938180131], [""luxury"", 0.016212500175901555], [""new"", 0.015701836745614078], [""design"", 0.013408291643567062], [""new brand"", 0.012313541137471216], [""segment"", 0.01079194465168971]]"
most_topics,18,"line, lines, car, rear, design, kind, shape, stance, sort, hood","[[""line"", 0.03208225183368826], [""lines"", 0.031287924232629764], [""car"", 0.029639154724187683], [""rear"", 0.02218703076062458], [""design"", 0.02206718390369847], [""kind"", 0.019681507352681565], [""shape"", 0.019299097653499863], [""stance"", 0.01836615196049943], [""sort"", 0.0163154136735141], [""hood"", 0.016306807315517764]]"
most_topics,19,"space, cubic, cubic feet, room, cargo, seats, feet, luggage, row, seat","[[""space"", 0.050199597548097864], [""cubic"", 0.0383819717156544], [""cubic feet"", 0.0383819717156544], [""room"", 0.03815217541356957], [""cargo"", 0.037667702538680965], [""seats"", 0.03718724042183925], [""feet"", 0.03180225528571483], [""luggage"", 0.02940083242549855], [""row"", 0.02769195896785012], [""seat"", 0.02634941166980761]]"
most_topics,20,"display, information, head display, navigation, screen, functions, head, driver, center, displays","[[""display"", 0.058367625120031456], [""information"", 0.03588363634094867], [""head display"", 0.02716961262394359], [""navigation"", 0.026191110425852284], [""screen"", 0.026062937334017138], [""functions"", 0.0216690062337308], [""head"", 0.02096235643775033], [""driver"", 0.020263150982030423], [""center"", 0.01833562131292656], [""displays"", 0.017867119555432142]]"
most_topics,21,"blue link, link, google, profile, car, connected, blue, smartphone, remote, phone","[[""blue link"", 0.03461190807121063], [""link"", 0.03004911828651199], [""google"", 0.029622251401785555], [""profile"", 0.027742215251722564], [""car"", 0.02729026139829409], [""connected"", 0.027048321272708512], [""blue"", 0.026236034122205307], [""smartphone"", 0.02598015508454146], [""remote"", 0.02084438199570552], [""phone"", 0.020685846764609925]]"
most_topics,22,"candy, price, k23, america, 000, auto evolution, cost, affordable, electric, buy","[[""candy"", 0.13306746945537895], [""price"", 0.0338373398966358], [""k23"", 0.033785939236215305], [""america"", 0.021118513327166678], [""000"", 0.02108140022234412], [""auto evolution"", 0.020913971245099593], [""cost"", 0.018699480146567405], [""affordable"", 0.017889286278254], [""electric"", 0.01762166874395982], [""buy"", 0.017611681278703245]]"
most_topics,23,"design, sketch, clay, sketches, really, model, chris, just, designers, started","[[""design"", 0.03879889626782153], [""sketch"", 0.03256993628990237], [""clay"", 0.02946076655584997], [""sketches"", 0.020431366063021678], [""really"", 0.020238040761344316], [""model"", 0.020150437072265343], [""chris"", 0.01814049906407525], [""just"", 0.017509532392154442], [""designers"", 0.017193222221939378], [""started"", 0.016639250269432738]]"
most_topics,24,"interior, blue, inside, materials, material, color, trim, design, ve, elements","[[""interior"", 0.07086536926041004], [""blue"", 0.0237114609291595], [""inside"", 0.023205468171328993], [""materials"", 0.02129117089396338], [""material"", 0.018546417293213872], [""color"", 0.018481771871961636], [""trim"", 0.018419687746229256], [""design"", 0.018129757748632656], [""ve"", 0.01642275323001922], [""elements"", 0.01641824622309748]]"
most_topics,25,"safety, assist, brand safety, lane, safety sense, detection, collision, pre collision, dynamic radar, pedestrian","[[""safety"", 0.0672287649739394], [""assist"", 0.053254451760359665], [""brand safety"", 0.038073713927745605], [""lane"", 0.03719035883199094], [""safety sense"", 0.03294711312483222], [""detection"", 0.03073132636721588], [""collision"", 0.02982353488541657], [""pre collision"", 0.029761166423840055], [""dynamic radar"", 0.028662494545294438], [""pedestrian"", 0.02844189469005831]]"
most_topics,26,"carbon, carbon fiber, fiber, air, weight, body, wheelbase, roof, structure, rear","[[""carbon"", 0.05695460209011694], [""carbon fiber"", 0.04606128187941939], [""fiber"", 0.045266268770304915], [""air"", 0.03559756404736572], [""weight"", 0.02250168325148297], [""body"", 0.02165365268292133], [""wheelbase"", 0.020018871552417515], [""roof"", 0.019344568498185694], [""structure"", 0.018380021205106036], [""rear"", 0.016087484667018467]]"
most_topics,27,"charging, level, charge, home, level charging, cable, plug, dc, public, 240","[[""charging"", 0.12022395791338014], [""level"", 0.06582928486181729], [""charge"", 0.05108298571612839], [""home"", 0.04460814017656074], [""level charging"", 0.042411978858385366], [""cable"", 0.0295245123728285], [""plug"", 0.028185170173354587], [""dc"", 0.02610755227671226], [""public"", 0.023362095810428224], [""240"", 0.022622718122820563]]"
most_topics,28,"thank, car, excited, today, new, brand, welcome, great, day, customers","[[""thank"", 0.0301705698926883], [""car"", 0.030097733285303113], [""excited"", 0.02584439120704045], [""today"", 0.02491294146019855], [""new"", 0.019164784734746868], [""brand"", 0.018142887812663638], [""welcome"", 0.017480565841106275], [""great"", 0.01536790575660688], [""day"", 0.01469011764340053], [""customers"", 0.013942571292433368]]"
most_topics,29,"blind, parking, blind spot, spot, view, monitor, camera, alert, assist, view monitor","[[""blind"", 0.05273033897504295], [""parking"", 0.051864786070552386], [""blind spot"", 0.05032665245019612], [""spot"", 0.04821809787663511], [""view"", 0.04627452058696828], [""monitor"", 0.04153430452946218], [""camera"", 0.03470061288455585], [""alert"", 0.033052886500259976], [""assist"", 0.030762421788760756], [""view monitor"", 0.02977113067804685]]"
most_topics,30,"black, wheels, xse, alloy, se, grades, alloy wheels, inch, xle, edition","[[""black"", 0.04263072616207263], [""wheels"", 0.03936742637943823], [""xse"", 0.03826917577787398], [""alloy"", 0.0343066519809117], [""se"", 0.034210480559127336], [""grades"", 0.0340106979331737], [""alloy wheels"", 0.03373845391770256], [""inch"", 0.033096427092209425], [""xle"", 0.031491197825568897], [""edition"", 0.02385264165764827]]"
most_topics,31,"brand, general motors, car, general, customers, motors, cars, ve, market, business","[[""brand"", 0.030295065218165402], [""general motors"", 0.025296092613945668], [""car"", 0.023055386485954083], [""general"", 0.022984609885657977], [""customers"", 0.01902803479589144], [""motors"", 0.017567570173799542], [""cars"", 0.017295401070193603], [""ve"", 0.01659600425310514], [""market"", 0.0165049010754577], [""business"", 0.016051205185341155]]"
most_topics,32,"pedal, braking, regenerative, energy, brake, regenerative braking, accelerator, regen, brakes, recuperation","[[""pedal"", 0.08782523212070736], [""braking"", 0.052653506042316466], [""regenerative"", 0.03936145421898529], [""energy"", 0.038618190001827146], [""brake"", 0.03849100098880657], [""regenerative braking"", 0.03612595694420534], [""accelerator"", 0.03370271702593024], [""regen"", 0.02612583602427109], [""brakes"", 0.024796517618309696], [""recuperation"", 0.024712262236565488]]"
most_topics,33,"battery, lithium, cells, lithium ion, ion, cooling, battery pack, pack, batteries, iron","[[""battery"", 0.09681517671815293], [""lithium"", 0.051432946816676234], [""cells"", 0.03557668444394969], [""lithium ion"", 0.034939971233110115], [""ion"", 0.034939971233110115], [""cooling"", 0.03022627583956244], [""battery pack"", 0.02899901157816733], [""pack"", 0.02882706838817905], [""batteries"", 0.027637089365648234], [""iron"", 0.024282863131105406]]"
