topic,rank,representative_text
-1,1,"Plus, there's a standard 3-month SiriusXM trial subscription that includes over 165 channels available in Cabin and even more on the SiriusXM app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. Select grades also include trials for 's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect. For an immersive listening experience, the available 8-speaker JBL Premium Audio System pumps out tunes in stunning."
-1,2,The all-new.
-1,3,"Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. All grades also come with trials to 's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect."
-1,4,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 with incredible standard features and bold new styling. It'll help you stand out when you're ready to step up. Ready to see for yourself?"
-1,5,"And if you really want to up the ante, opt for the -inspired ultra-suede-trimmed sport seat on the A-Spec package, engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver."
-1,6,"Hey, I'm Bradley Hasenmaier, and I am thrilled to give you a quick look at the 2020 Sport Hybrid. With its refined styling, accelerated performance capabilities, and premium features, the Sport Hybrid delivers the perfect balance of sophistication and muscle. Ready to see for yourself?"
0,1,"Now, if we talk just a little bit about the interior. Our interior team had the same kind of theme that we did where they wanted to create a new car, not just a scaled version of our 1960 cars."
0,2,"The low stance and dynamic proportions, with a strong character line leading into the shoulder of the car and the brand-defining question-cut C-pillar. The new rear design now features the unique rear light graphics that make this car unmistakably an. The new, our flagship sedan, will be offered with various grades catering to the preferences of our customers, differentiating clearly between the Sport and the Premium version, which are shown here today."
0,3,To me the is an epiphany. This car is awesome.
0,4,"Let's go. When you get to the, you really see some style with these sharp LED headlights and that bold pentagon grill. And it only gets better on the inside with paddle shifters and redesigned sports seats."
0,5,"Bold, sophisticated styling. really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the Jewel Eye LED lights, 19-inch wheels, and all of this greatness comes standard."
0,6,"And then when you go to the interior, it only gets better. You're greeted with this premium cabin and precision craftsmanship. I mean, take for instance the steering wheel."
1,1,"And because it's a plug-in hybrid, it also has an EV-only mode with an EPA-estimated 42-mile range rating. To leverage that range, just charge it up. This can be done using the standard Level 1 charging cable connected to a regular wall outlet, or via an available 240-volt Level 2 charging solution, which brings the estimated charge time down to around 2.5 hours."
1,2,"The rear wheel drive model is equipped with a 168 kilowatt electric motor that produces 225 horsepower and 258 pound-feet of torque. In contrast, the all-wheel drive version features a more potent dual motor system, delivering a combined output of 429 horsepower and 446 pound-feet of torque. With a high capacity 77.4 kilowatt-hour battery, the offers an estimated driving range of up to 300 miles on a single charge, depending on the chosen configuration."
1,3,"On the other hand, Platinum prioritizes maximum performance thanks to its hybrid max powertrain. It features a 2.4-liter turbocharged four-cylinder engine coupled with a conventional six-speed automatic transmission and an electric motor. This performance hybrid electric system generates a hearty 340 net combined horsepower and 400 pound-feet of torque for instantaneous response and incredible acceleration every time the driver pushes the accelerator pedal."
1,4,"It comes standard. Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation. So it seems like one of the most compelling reasons to put the Sport Hybrid on your shopping list is the fact that it comes loaded with so many of these cool standard features."
1,5,"This isn't your basic boring hybrid. It utilizes the same kind of technology found in the. And this Sport Hybrid isn't just some cushy, sophisticated piece of machinery."
1,6,Now this thing is fun to drive. It has a whopping 377 total system horsepower.
2,1,"For 2023, the entire lineup features Safety Sense 3.0, a standard safety suite that takes the TSS platform to an even higher level. Enhancing systems like its Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and the new Proactive Driving Assist. And naturally, also features 's signature Star Safety System and 10 airbags throughout the cabin for peace of mind."
