representation_model,topic,words,weighted_words
llm_openai_gpt_5_5,-1,General Automotive Marketing,"[[""General Automotive Marketing"", 1.0]]"
llm_openai_gpt_5_5,0,Acura Vehicle Features,"[[""Acura Vehicle Features"", 1.0]]"
llm_openai_gpt_5_5,1,"LLM label unavailable: to, you, we, and, it, of, for, that, the, thank","[[""LLM label unavailable: to, you, we, and, it, of, for, that, the, thank"", 1.0]]"
llm_openai_gpt_5_5,2,Infotainment Display Controls,"[[""Infotainment Display Controls"", 1.0]]"
llm_openai_gpt_5_5,3,Premium Vehicle Interiors,"[[""Premium Vehicle Interiors"", 1.0]]"
llm_openai_gpt_5_5,4,"LLM label unavailable: our, we, and, the, in, to, of, buick, that, it","[[""LLM label unavailable: our, we, and, the, in, to, of, buick, that, it"", 1.0]]"
llm_openai_gpt_5_5,5,Driver Assistance Safety Systems,"[[""Driver Assistance Safety Systems"", 1.0]]"
llm_openai_gpt_5_5,6,Interior Seating and Cargo,"[[""Interior Seating and Cargo"", 1.0]]"
llm_openai_gpt_5_5,7,LED Headlights and Grilles,"[[""LED Headlights and Grilles"", 1.0]]"
llm_openai_gpt_5_5,8,Vehicle Design Philosophy,"[[""Vehicle Design Philosophy"", 1.0]]"
llm_openai_gpt_5_5,9,Polestar Vehicle Manufacturing,"[[""Polestar Vehicle Manufacturing"", 1.0]]"
llm_openai_gpt_5_5,10,Interior and Tailgate,"[[""Interior and Tailgate"", 1.0]]"
llm_openai_gpt_5_5,11,EV Home Charging,"[[""EV Home Charging"", 1.0]]"
llm_openai_gpt_5_5,12,EV Range and Performance,"[[""EV Range and Performance"", 1.0]]"
llm_openai_gpt_5_5,13,Nissan Leaf EV,"[[""Nissan Leaf EV"", 1.0]]"
llm_openai_gpt_5_5,14,BMW i3 Charging Features,"[[""BMW i3 Charging Features"", 1.0]]"
llm_openai_gpt_5_5,15,Interior Seating and Storage,"[[""Interior Seating and Storage"", 1.0]]"
