Topic,Count,Name,Representation,Representative_Docs
-1,2894,-1_toyota_vehicle_car_cars,"['toyota', 'vehicle', 'car', 'cars', 'vehicles', 'driver', 'infiniti', 'driving', 'drive']","['And it starts right here today with this new Infiniti Q50. Not only is this new car the first to bear our new nomenclature, it is also the first to completely crystallize our future design, performance and technology direction.', 'Today we introduce the Honda Clarity line. We have a fuel cell powered Clarity, a pure battery electric Clarity, and a plug-in hybrid.', ""That makes it the most fuel-efficient, all-wheel drive hybrid in America. The new Prius with all-wheel drive E will be available this January, and with its new styling, outstanding cargo capacity, and of course, amazing fuel efficiency, this new Prius is a perfect example of Accio Toyota's pledge to make ever better cars.""]"
0,3894,0_vehicle_car_driving_vehicles,"['vehicle', 'car', 'driving', 'vehicles', 'cars', 'lexus', 'hyundai', 'drive', 'volvo', 'bmw']","['So power to the front wheels comes from an electric motor with a two-speed transmission and power to the rear wheels is from a three-cylinder turbocharged gas motor made into an automatic six-speed transmission.', ""The new Hyundai Sonata isn't just another car, it's a better car."", 'Doing them right when the time is right. And the time is right for electric to go Audi.']"
1,824,1_about_you_please_technology,"['about', 'you', 'please', 'technology']","['Ladies and gentlemen, please welcome group vice president and general manager Toyota division Jack Hollis Well, good afternoon everybody.', 'Ladies and gentlemen, please welcome Group Vice President, General Manager of Lexus, Mark Templin.', 'Ladies and gentlemen, please welcome Thomas Ingenlatt, Senior Vice President Design. Good morning, ladies and gentlemen.']"
2,640,2_navigation_menu_settings_screen,"['navigation', 'menu', 'settings', 'screen', 'displays', 'display', 'smartphone', 'android', 'buttons', 'audio']","[""Through the multi-information display, the available navigation screen which is positioned back at the top of the dash to improve the driver's sight lines or through an optional heads-up display."", 'Most of the functions are controlled via the steering wheel, displayed in the digital driver display, or in the optional head-up display.', ""It's that cool folks. And of course it's loaded with technology, things like a huge, like TV screen size touch screen, embedded modem, of course Apple CarPlay and Android Auto, wireless charging of the phones, heads up display.""]"
3,535,3_interior_inside_wood_design,"['interior', 'inside', 'wood', 'design', 'structural', 'materials', 'structure', 'material', 'craftsmanship']","['So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels.', 'Interior color combinations. The interior is made of leather upholsteries and decor of carbon fiber, walnut, birch, metal, and aluminum.', ""So, let's see. In the interior, no, not in the interior. You can see the interior when we're here.""]"
4,520,4_products_industry_market_sales,"['products', 'industry', 'market', 'sales', 'customers', 'markets', 'product', 'buick', 'business']","['And with Buick, they get it. So, how did Buick get to our current standing in the marketplace and with our customers?', 'These models amount to more than 700,000 sales a year, or half of our total Buick brand volume.', 'Thanks for being here, Bob. Well, thank you, Susan. The new Buick Regal is The next step in transforming the Buick brand into what many of us at General Motors over the last 10 years have hoped that we could make the Buick brand be.']"
5,344,5_safety_alerts_detection_vehicle,"['safety', 'alerts', 'detection', 'vehicle', 'detect', 'driver', 'alert', 'traffic', 'radar', 'steering']","[""It's blind spot detection system with rear cross traffic alert. Yes. I'm going to give you that one."", 'Automatic emergency braking with pedestrian detection, main departure warning system. along with blind spot detection and rear cross-traffic alert are offered on the vehicle.', 'I like that. You also get advanced safety technology. It offers standard blind spot detection with rear cross traffic alert and available automatic emergency braking, lane keep assist, and rear parking assistance system.']"
6,225,6_seats_seating_seat_passengers,"['seats', 'seating', 'seat', 'passengers', 'passenger', 'cabin', 'spacious', 'sit', 'rear']","[""Now, it's not just about having a back seat. It's about the ability to fold down the back seat and have some actual cargo space."", 'The cabin provides ample legroom, rear seat room, both for rear seat passengers as well as great headroom in the front for front seat passengers.', 'The rear seat offers room for three and split-folding seatbacks for added luggage space.']"
7,209,7_headlights_taillights_taillight_leds,"['headlights', 'taillights', 'taillight', 'leds', 'lighting', 'led', 'lights']","['Elements like that elongated wide sporty front grille, that elegant swooping hood and those stunning full LED headlights that include daytime running lights that I love this, seamlessly integrate into the main vehicle body.', 'We started with our hallmark LED lighting and leapt light years ahead to create these available HD matrix design LED headlights featuring high beam assist which can automatically shift from high beams to low beams when oncoming traffic is detected.', 'The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood.']"
8,182,8_designs_design_designers_designer,"['designs', 'design', 'designers', 'designer', 'inspired', 'prototype', 'studio', 'engineering', 'art', 'model']","['We visited with both of them recently in our Waco design studio and asked them to share some perspectives on the new design.', ""There's so much to talk about. We have the best design. We have a very advanced design, led by Peter Schreier as a design team."", 'It is a beautiful design. Yes. John and Kate and his design team did an excellent job.']"
9,166,9_polestar_pole_brand_electric,"['polestar', 'pole', 'brand', 'electric', 'volvo', 'performance', 'progressive', 'customers', 'design', 'customer']","['So the Polestar customers will also have access to what we call Polestar On Demand.', ""Polestar. So, this great awesome design became our Polestar 2, and we're going to show it to you in a minute."", 'Now, looking at the lineup of Polestar 1, Polestar 2 and Polestar 3, you get a very good idea of the scope of our brand.']"
