title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,sentence,word_count,char_count,dataset_row,document,topic
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p_24fps_H264-128kbit_AAC),1,1,1,3,3,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. It'll help you stand out when you're ready to step up. Ready to see for yourself?",42,232,0,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. It'll help you stand out when you're ready to step up. Ready to see for yourself?",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p_24fps_H264-128kbit_AAC),1,2,4,6,3,"Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. And it only gets better on the inside with paddle shifters and redesigned sports seats.",39,215,1,"Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. And it only gets better on the inside with paddle shifters and redesigned sports seats.",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p_24fps_H264-128kbit_AAC),1,3,7,8,2,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver.",49,263,2,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver.",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p_24fps_H264-128kbit_AAC),1,4,9,10,2,"You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays. Oh, this is great.",44,239,3,"You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays. Oh, this is great.",0
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p_24fps_H264-128kbit_AAC),1,5,11,11,1,start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims.,71,478,4,start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims.,6
Acura 2020 Acura ILX; Exterior & Interior Design Walkaround (1080p_24fps_H264-128kbit_AAC),1,6,12,13,2,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.",51,305,5,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p_30fps_H264-128kbit_AAC),2,1,1,3,3,"Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid. With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle. Ready to see for yourself?",48,298,6,"Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid. With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle. Ready to see for yourself?",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p_30fps_H264-128kbit_AAC),2,2,4,6,3,"Let's go. I need my car to look great. I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.",37,165,7,"Let's go. I need my car to look great. I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p_30fps_H264-128kbit_AAC),2,3,7,9,3,"Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard. And then when you go to the interior it only gets better.",49,283,8,"Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard. And then when you go to the interior it only gets better.",0
Acura 2020 Acura RLX; Exterior & Interior Design Walkaround (1080p_30fps_H264-128kbit_AAC),2,4,10,12,3,"Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel. Beautifully stitched, beautiful leather.",22,159,9,"Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel. Beautifully stitched, beautiful leather.",0
