topic,model,runs_requested,successful_runs,error_runs,unique_normalized_labels,mode_label,mode_normalized_label,mode_count,mode_ratio,avg_jaccard_to_mode,stable,keywords,all_labels
0,openai/gpt-5.5,30,30,0,13,Hybrid Vehicle Design,hybrid vehicle design,7,0.23333333333333334,0.6816666666666668,True,"new, car, design, electric, bmw, rear, drive, vehicle, hybrid, power",Hybrid Vehicle Design Features || Hybrid Vehicle Design || Electric Hybrid Car Design || EV Design and Performance || Hybrid Vehicle Design Features || Hybrid Car Design || Hybrid Vehicle Design || Hybrid Vehicle Design Features || Hybrid Vehicle Design || Hybrid Vehicle Design || Hybrid Vehicle Design and Performance || Hybrid Vehicle || Hybrid Car Design and Performance || Electric and Hybrid Vehicle Design || Electric Hybrid Vehicle Design || Electric and Hybrid Vehicle || Electric Hybrid Vehicle Design || Hybrid Vehicle Design || Hybrid Vehicle Design Features || Hybrid Vehicle Design || Electric Hybrid Car Design || Electric and Hybrid Vehicle Design || Hybrid Vehicle Design || Electric and Hybrid Car Design || Electric and Hybrid Vehicle Design || Electric Hybrid Vehicle Design || Hybrid Vehicle Design Performance || Hybrid Vehicle Design and Performance || Hybrid Car Design || Electric Hybrid Vehicle Design
1,openai/gpt-5.5,30,30,0,10,Driver Assistance and Infotainment,driver assistance and infotainment,15,0.5,0.7733333333333333,True,"display, control, car, navigation, assist, driver, driving, parking, screen, traffic",Infotainment and Driver Assistance || Driver Assist and Displays || Driver Assistance and Infotainment || Driver Assistance and Infotainment || Driver Assistance Displays || Driver Assistance Infotainment || Driver Assistance and Infotainment || Driver Assistance Infotainment || Driver Assist and Infotainment || Driver Assistance and Displays || Driver Assistance and Infotainment || Driver Assistance and Infotainment || Driver Assistance and Infotainment || Driver Assist Displays || In-Car Displays and Driver Assistance || Driver Assistance Displays || Driver Assistance and Infotainment || Driver Assistance and Infotainment || Driver Assistance Displays || Driver Assistance and Infotainment || Driver Assistance Displays || Driver Assistance and Infotainment || Driver Assistance and Infotainment || Driver Assistance and Infotainment || In-Vehicle Displays and Driver Assistance || Infotainment and Driver Assistance || Driver Assistance and Infotainment || Driver Assistance & Displays || Driver Assistance and Infotainment || Driver Assistance and Infotainment
2,openai/gpt-5.5,30,30,0,15,Automotive Test Drive Episodes,automotive test drive episodes,10,0.3333333333333333,0.6369841269841269,False,"auto, happy, episode, season, press, fun, got, absolutely, hello, enjoy",Automotive Test Drive Episode || Automotive Test Drive Episodes || Automotive Test Drive Episodes || Automotive Test Drive Episodes || EV Test Drive Episode || Automotive Test Drive Episodes || Car Test Drive Fun || EV Test Drive Entertainment || Automotive Test Drive Episodes || Automotive Entertainment Episodes || Automotive Test Drive Episodes || EV Test Drive || EV Test Drive Episodes || EV Test Drive Episodes || Car Test Drive Episodes || Car Test Drive || Automotive Test Drive Fun || Car Test Drive Episodes || Car || EV Test Drive Episodes || Automotive Test Drive Chat || Car Test Drive Episodes || Automotive Test Drive Fun || Automotive Test Drive Episodes || Car Test Drive Episodes || Automotive Test Drive Episodes || Automotive Test Drive Episodes || Fun Auto Test Drives || Automotive Test Drive Episodes || Automotive Show Banter
3,openai/gpt-5.5,30,30,0,2,Hyundai IONIQ EV Lineup,hyundai ioniq ev lineup,27,0.9,0.975,True,"ioniq, hyundai, charging, electric, vehicle, platform, rear, ev, new, interior",Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ EV Lineup || Hyundai IONIQ Lineup
4,openai/gpt-5.5,30,30,0,7,Midsize Sedan Market,midsize sedan market,12,0.4,0.65,True,"sonata, accord, hyundai sonata, hyundai, camry, 2018, features, new, honda, 2020",Midsize Sedan Comparisons || Midsize Sedan Competition || Midsize Sedan Market || Honda Accord and Sedans || Midsize Sedan Models || Midsize Sedan Comparisons || Midsize Sedan Market || Midsize Sedan Market || Midsize Sedan Market || Midsize Sedan Market || Midsize Sedan Market || Midsize || Midsize Sedan Models || Honda Accord and Sedans || Midsize Sedan Comparisons || Midsize Sedan Models || Midsize Sedan Market || Midsize Sedan Comparisons || Midsize Sedan Market || Midsize Sedan Market || Midsize Sedan Models || Midsize Sedans and Features || Midsize Sedan Market || Midsize Sedan Market || Midsize Sedan Market || Midsize Sedan Comparisons || Midsize Sedan Models || Midsize Sedan Comparisons || Midsize Sedan Models || Midsize Sedan Models
5,openai/gpt-5.5,30,30,0,3,EV Charging Infrastructure,ev charging infrastructure,20,0.6666666666666666,0.83,True,"charging, charge, level, stations, plug, home, charging stations, cable, level charging, station",EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Stations || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Home Charging Stations || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Stations || EV Charging Stations || EV Charging Stations || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Infrastructure || EV Charging Stations || EV Charging Infrastructure || EV Charging Stations || EV Charging Stations || EV Charging Stations || EV Charging Stations || EV Charging Infrastructure
6,openai/gpt-5.5,30,30,0,10,EV Test Drives,ev test drives,10,0.3333333333333333,0.58,False,"drive, driving, car, ride, truck, drive car, fun, driver, driven, roads",Test Drive Experience || EV Test Driving Experience || EV Driving Experience || EV Test Drives || EV Test Driving || EV Test Drives || Test Driving Experience || EV Test Drives || EV Test Driving || Test Driving EVs || EV Test Drives || EV Test Drives || EV Test Driving || EV Test Drives || Test Driving Experience || EV Test Drives || EV Test Drives || EV Driving Experience || EV Test Drives || Test Drives and Driving Experience || EV Test Driving || EV Test Driving || EV Test || Test Driving Experience || EV Test Drives || EV Test || EV Driving Experience || Test Drives and Driving || Test Drives and Driving Experience || EV Test Driving
7,openai/gpt-5.5,30,30,0,10,Polestar Electric Car Brand,polestar electric car brand,7,0.23333333333333334,0.5352380952380952,False,"polestar, car, electric, brand, volvo, china, electric car, customer, powerful, cars",Polestar Electric Cars || Polestar EV Brand China || Polestar Electric Car Brand || Polestar Electric Brand in China || Polestar Electric Car Brand || Polestar Electric Car Brand || Polestar EV Brand Launch || Polestar Electric Cars China || Polestar Electric Brand in China || Polestar EV Brand in China || Polestar Electric Cars China || Polestar Electric Brand in China || Polestar EV Brand Launch || Polestar EV Brand China || Polestar EV Brand in China || Polestar Electric Car Brand || Polestar Electric Car Brand || Polestar Electric Cars China || Polestar EV Brand Launch || Polestar EV Brand Launch || Polestar EV Brand China || Polestar Electric Car Brand || Polestar Electric Cars China || Polestar Electric Cars China || Polestar Electric Cars in China || Polestar Electric Brand Launch || Polestar Electric Car Brand || Polestar Electric Brand in China || Polestar Electric Brand China || Polestar Electric Brand Launch
8,openai/gpt-5.5,30,30,0,7,Toyota Prius Plug-In Hybrid,toyota prius plug-in hybrid,9,0.3,0.7066666666666667,True,"prius, prius prime, hybrid, prime, toyota, efficiency, plug, seats, drive, available",Toyota Prius Hybrid/Plug-In || Toyota Prius Plug-In Hybrid || Toyota Prius Hybrids || Toyota Prius Hybrid Models || Toyota Prius Plug-In Hybrid || Toyota Prius Hybrid Efficiency || Toyota Prius Hybrid Efficiency || Toyota Prius Hybrid Efficiency || Toyota Prius Plug-in Hybrid || Toyota Prius Hybrids || Toyota Prius Plug-In Hybrid || Toyota Prius Hybrid Efficiency || Toyota Prius Hybrids || Toyota Prius Hybrids || Toyota Prius Plug-in Hybrid || Toyota Prius Hybrid Models || Toyota Prius Hybrids || Toyota Prius Plug-In Hybrid || Toyota Prius Hybrid/Plug-in || Toyota Prius Plug-in Hybrids || Toyota Prius Hybrids || Toyota Prius Hybrid Efficiency || Toyota Prius Hybrid Vehicles || Toyota Prius Hybrids || Toyota Prius Hybrid/Plug-in || Toyota Prius Plug-in Hybrid || Toyota Prius Plug-In Hybrid || Toyota Prius Hybrids || Toyota Prius Plug-in Hybrid || Toyota Prius Hybrid Efficiency
9,openai/gpt-5.5,30,30,0,11,EV Chassis Dynamics Control,ev chassis dynamics control,5,0.16666666666666666,0.6583333333333333,True,"steering, suspension, car, control, rear, rear axle, feel, axle, axle steering, chassis",EV Chassis Dynamics Control || EV Chassis Dynamics || EV Chassis Steering Control || Chassis Steering Control || EV Chassis Dynamics Control || Chassis Steering Dynamics || EV Chassis Steering Control || Chassis Steering Control || EV Chassis Dynamics || EV Chassis Dynamics Control || EV Chassis Dynamics Control || EV Chassis || EV Chassis Handling Control || EV Chassis Handling Control || EV Chassis Control || EV Chassis Dynamics Control || EV Chassis Dynamics || EV Chassis Steering Dynamics || EV Chassis and Steering Control || EV Chassis Control || EV Chassis Dynamics || Chassis Steering Control || EV || Chassis Steering Dynamics || EV Chassis Control || EV Chassis Control || EV Chassis Control || EV Chassis Steering Control || EV Chassis Dynamics || Chassis Steering Control
