topic,rank,representative_text
-1,1,"Select grades also include trials for Toyota's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect."
-1,2,"Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."
-1,3,"and two years unlimited mileage of 24-hour roadside assistance. Furthermore, Highlander's hybrid EV grades have an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making it a strong choice for long-term ownership."
-1,4,Hi my name is Sterling Brown and I'm the Audi Technologist with Audi Minneapolis and today I'm going to be showing you a quick look at the 2020 Audi Q7.
-1,5,So here in the front of the 2020 Q7 you'll notice that the entire front fascia has been redesigned.
-1,6,"So here on the side of the 2020 Q7, you'll notice that the overall silhouette has remained unchanged from the 2019 model except for the side skirt has been redesigned to make it a little bit more chiseled, a little bit more sporty."
0,1,Well it's a pleasure to drive a car which drives itself because you can relax while driving.
0,2,And I want to have cars that reinvigorate that love of driving.
0,3,This is kind of a culmination of several years of this car being built.
0,4,This is completely new in the RS Q8 and this also gives the car this changeable character from driving really sporty to driving really comfortable and this is reflected in our suspension offer as well.
0,5,So we have in the RS Q8 a standard air suspension and this allows the customer to adapt the car to the surface and the driving style.
0,6,It is a challenge to make a real RS out of this huge body style and huge car but in the end we were trying to do so and we successfully did.
1,1,"Well, I know what we need you to do, and I'm here to make sure you see why."
1,2,And that's a little bit what I want to tell you here today.
1,3,to make good products and therefore also I don't like also that you know when people are always saying yeah but it was my design and I say hey don't worry you know we are looking for the best result and everybody is inspiring.
1,4,And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you.
1,5,"But this is not going to be a one-way communication. No, we want to engage in a dialogue with you."
1,6,"Together, we're all All available after the presentation for your Q&As."
2,1,"Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone."
2,2,"Featuring an 8-inch or a newly available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions."
2,3,"Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away."
2,4,So to use the kick to open function you're going to make sure that the vehicle is locked and once it is locked you're going to have the key on your person.
2,5,You're going to kick underneath the bumper and immediately back up and the hatch will open up for you.
2,6,And as with all of our SUVs you can reset the height for the tailgate as well and whenever you're done doing that you can just kick underneath the bumper again and it'll close for you.
3,1,"Features like standard heated front seats, available ventilated front seats, an available heated steering wheel, and available heated rear outboard seats keep occupants comfortable regardless of the weather conditions."
3,2,"I like it a lot. And also the seats are new, right?"
3,3,"Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips."
3,4,You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well.
3,5,First time ever in the RS Q8 we offer our typical known RS super sport seats with the honeycomb stitching for the first time with the massage and the cooling function.
3,6,"Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you can"
4,1,"Powered by the fifth-generation Toyota Hybrid System, this Plug-in Hybrid powertrain produces 220 net combined horsepower with a two-liter engine, two electric motors, and a newly developed lithium-ion battery with greater capacity than prior generations."
4,2,This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.
4,3,"Both trims offer plenty of power and torque. The Limited rear-wheel drive gets 225 horsepower with 258 pound-feet of torque, while the all-wheel drive for either the XRT or Limited gives you 320 horsepower with 446 pound-feet of torque."
4,4,"We want to, of course, ensure these performance figures. We implemented a V8 4-liter bi-turbo engine."
4,5,we have actually the engine from the Lamborghini Urus and we have a bigger transmission with massive 800 Nm of torque and with this power output we are able to accelerate the car from 0 to 100 kmph in less than 4 seconds.
4,6,"Now, I guess we have not yet said a word about engines."
5,1,Use the MyMazda app to sort public charging stations by Level 2 and DC fast charging stations so you can easily find the right station for your Mazda electrified vehicle.
5,2,"If you choose to charge your Mazda plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging."
5,3,So I see all the charging stations here. I know where to charge based off that.
5,4,"The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this?"
5,5,Weird. and there are many home charging options to fit your needs.
5,6,"But how do we ensure that you can actually get there? Public high-speed charging has finally matured to the point where major corridors in the U.S. are now covered, and the infrastructure continues to grow."
6,1,"You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance."
