Topic,Count,Name,LLM,KeyBERT,POS,MMR,model,temperature,max_tokens,runs_requested,successful_runs,error_runs,unique_normalized_labels,mode_label,mode_ratio,avg_jaccard_to_mode,stable,keywords,prompt
-1,2894,-1_car_new_drive_infiniti,Noise / Outlier,"toyota, vehicle, car, cars, vehicles, driver, infiniti, driving, drive","car, new, vehicle, cars, performance, system, fuel","of, car, new",openai/gpt-5.5,0.0,64,50,50,0,26,Infiniti Driving Performance,0.2,0.4033333333333334,False,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
0,3894,0_car_new_electric_hybrid,Hybrid Vehicle Design and Performance,"vehicle, car, driving, vehicles, cars, lexus, hyundai, drive, volvo, bmw","car, new, electric, vehicle, hybrid, engine, drive, first","new, electric, vehicle, hybrid",openai/gpt-5.5,0.0,64,50,50,0,8,Hybrid Vehicle Design and Performance,0.58,0.8343809523809524,True,"car, new, electric, hybrid, vehicle, engine, audi, drive, design, power","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 0
Keywords: car, new, electric, hybrid, vehicle, engine, audi, drive, design, power
Representative snippets:
- Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling.
- Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist roa
- The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine.
- Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid.
- With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle.
- Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard.

Topic label:"
1,824,1_president_auto_ladies_vice,EV Technology Showcase,"about, you, please, technology","show, president, auto, much, vice, new","for, show, please, president, auto",openai/gpt-5.5,0.0,64,50,50,0,22,EV Technology Showcase,0.14,0.4556666666666667,False,"president, auto, ladies, vice, vice president, new, safety, la, future, technology","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 1
Keywords: president, auto, ladies, vice, vice president, new, safety, la, future, technology
Representative snippets:
- My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.
- He was having far too much fun. All the technology is easy to use.
- First, it will have advanced technology that enhances fun-to-drive handling and performance.
- Second, it will express our own core values to create and sustain a world where people can enjoy life.
- This is a sponsored video, by the way. I'm just super excited.
- They're gonna want to film later at night, so they can show off some LED lights 118 and we have to wait till sunset even have the show started We're out near Edwards Air Force Base Which is where Will Smith went in Independence Day and go see it and maybe even drive it An expensive car, but because of that it's really cool And I'm on board with this because it means I get to go check out all

Topic label:"
2,640,2_display_navigation_screen_voice,Infotainment Displays and Controls,"navigation, menu, settings, screen, displays, display, smartphone, android, buttons, audio","display, navigation, screen, voice, information, phone, system, available, control, car","display, navigation, screen, voice, information, button, phone, control",openai/gpt-5.5,0.0,64,50,50,0,3,Infotainment Displays and Controls,0.72,0.8360000000000001,True,"display, navigation, screen, voice, information, phone, button, control, available, select","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 2
Keywords: display, navigation, screen, voice, information, phone, button, control, available, select
Representative snippets:
- You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays.
- No, you are. He gets to drive? They just switched he gets to drive after all that no You know what?
- You don't get to drive it anymore, at all. That's, but if you take the keys, they might not notice.
- This one places the touch pad right on top of the center knob right here.
- Since most of the buttons and controls have been replaced with two large displays, the feature adds simplicity and minimalism to functionality.
- The available Audi virtual cockpit with 12.3-inch high-resolution display offers two viewing modes, classic and infotainment, while the available head-up display projects relevant information onto the windscreen.

Topic label:"
3,535,3_interior_carbon_fiber_leather,Interior Materials Design,"interior, inside, wood, design, structural, materials, structure, material, craftsmanship","interior, carbon, leather, fiber, design, materials, panel, high","interior, in, carbon, leather, fiber, design, materials, panel",openai/gpt-5.5,0.0,64,50,50,0,7,Interior Materials Design,0.4,0.6859999999999999,True,"interior, carbon, fiber, leather, carbon fiber, materials, design, panel, high, beautiful","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 3
Keywords: interior, carbon, fiber, leather, carbon fiber, materials, design, panel, high, beautiful
Representative snippets:
- And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat.
- And then when you go to the interior it only gets better.
- Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel.
- Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather.
- the cool features of this car It's got like several different electric motors and all that dude Dude, this is a carbon, this is an indestructible roof. Dude, they got a carbon fiber engine? Wow.
- That sounds like magic The floor plates under your feet are made out of carbon fiber I it I've never in my life heard of a car that's even remotely similar to this. Can I drive it? I just want to drive it.

Topic label:"
4,520,4_buick_customers_market_brand,Buick China Market Strategy,"products, industry, market, sales, customers, markets, product, buick, business","in, customers, market, brand, sales, products, new, model, product","buick, customers, brand, sales, products, model",openai/gpt-5.5,0.0,64,50,50,0,9,Buick China Market Strategy,0.46,0.7706666666666666,True,"buick, customers, market, brand, sales, products, model, product, new, china","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 4
Keywords: buick, customers, market, brand, sales, products, model, product, new, china
Representative snippets:
- Yes, we have three models, which we think are the perfect blend of performance and efficiency. Nice.
- What about this one over here? Yep. What we think is going to be our most popular model.
- Yet, many global changes have affected the automobile industry since that time.
- When they get to hit that button and it rolls off the end of the line, that's got to be amazing.
- Then the people in the quality evaluation at the end of the line are making sure all that came together just perfectly.
- And that's what it's all about. The fact that you can interface with people from executive level, sales, marketing, R&D, product planning.

Topic label:"
5,344,5_lane_assist_blind_traffic,Driver Assistance Safety Systems,"safety, alerts, detection, vehicle, detect, driver, alert, traffic, radar, steering","lane, assist, blind, traffic, braking, spot, collision, system, brake, camera","lane, assist, traffic, braking, collision, camera, detection, alert, safety, parking",openai/gpt-5.5,0.0,64,50,50,0,6,Driver Assistance Safety Systems,0.36,0.7193333333333334,True,"lane, assist, blind, traffic, braking, spot, blind spot, collision, brake, camera","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 5
Keywords: lane, assist, blind, traffic, braking, spot, blind spot, collision, brake, camera
Representative snippets:
- This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims.
- Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation.
- I'll just walk. I never have before. So you brake going into the turn.
- The available Adaptive Cruise Assist can help ease the stress of the road at normal highway speeds with active lane sensing, stop and go, and lane centering steering guidance.
- The available Audi PreSense 360 Safety System helps detect collision hazards all around the car and can initiate specific preventive measures ranging from a full brake application to seat adjustments and pretensioning of the safety belts.
- Intersection Assist brings the functionality of rear cross traffic to the front of the car and can provide warnings and braking if a hazard is detected when entering an intersection.

Topic label:"
6,225,6_seats_seat_cargo_space,Interior Space and Seating,"seats, seating, seat, passengers, passenger, cabin, spacious, sit, rear","seats, seat, cargo, space, rear, room, passenger, trunk, seating","seats, cargo, space, rear, four, trunk, seating, passengers, legroom, door",openai/gpt-5.5,0.0,64,50,50,0,8,Interior Space and Seating,0.6,0.8780000000000001,True,"seats, seat, cargo, space, rear, room, trunk, seating, passenger, comfortable","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 6
Keywords: seats, seat, cargo, space, rear, room, trunk, seating, passenger, comfortable
Representative snippets:
- And it only gets better on the inside with paddle shifters and redesigned sports seats.
- Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers.
- It's intuitive. Well, frankly, one of the best features is all the extra leg room in the back.
- That was, I will be thinking about that ride for months. Thank you.
- I think it would be a good fit for the test driver position. Can I sign up for that?
- Your body is supported in the form-fitting seats, your hands a glove fit with the steering wheel, and the very thin A-pillar contributes to a clear view out the front as the interior just kind of disappears while you engage in the task of enjoying your drive.

Topic label:"
7,209,7_led_light_lights_grille,Exterior Lighting Design,"headlights, taillights, taillight, leds, lighting, led, lights","light, lights, grille, headlights, lighting, design","led, lights, grille, headlights, design, signature, tail, look",openai/gpt-5.5,0.0,64,50,50,0,10,Exterior Lighting Design,0.36,0.5192380952380953,False,"led, light, lights, grille, headlights, lighting, signature, shape, tail, design","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 7
Keywords: led, light, lights, grille, headlights, lighting, signature, shape, tail, design
Representative snippets:
- Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill.
- I went and put them on brights. it was like full moon.
- A lot more angular single frame grille in a lot more horizontal look.
- You can also see the new LED headlights that are optional and also they portray a lot more angular and modern look.
- Up front are standard automatic Xenon Plus headlights with LED daytime running lights.
- The unmistakable low-slung single-frame grille with chrome trim, along with the focused headlights and powerfully contoured air inlets, exude both grace and strength.

Topic label:"
8,182,8_design_explain_studio_art,Vehicle Design Aesthetics,"designs, design, designers, designer, inspired, prototype, studio, engineering, art, model","design, studio, sketch, beautiful, end, new, own","design, how, they, about, studio",openai/gpt-5.5,0.0,64,50,50,0,11,Vehicle Design Aesthetics,0.3,0.5716666666666668,False,"design, explain, studio, art, designers, beautiful design, sketch, modern, look, engineering","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: 8
Keywords: design, explain, studio, art, designers, beautiful design, sketch, modern, look, engineering
Representative snippets:
- It is a beautiful design. Yes. John and Kate and his design team did an excellent job.
- I think a lot of people probably don't realize that almost one year out that design gets locked in.
- Many things have changed in our industry and in the marketplace since 1989, maybe more than just my hairstyle.
- Every design element has a purpose, and that is to enhance performance.
- So you read it as a really small object, but in the end it's a big one.
- We're creating a living sculpture and that's the best thing in the world.

Topic label:"
