topic,run,model,temperature,max_tokens,keywords,label,normalized_label,error,system_prompt,user_prompt,prompt
-1,1,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Driver-Focused Electric Cars,driver-focused electric cars,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,2,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Luxury Electric Vehicle Performance,luxury electric vehicle performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,3,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Infiniti Vehicle Performance,infiniti vehicle performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,4,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Infiniti Driving Performance,infiniti driving performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,5,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Electric Vehicle Driving Experience,electric vehicle driving experience,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,6,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Infiniti EV Driving Experience,infiniti ev driving experience,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,7,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Luxury Car Driving Performance,luxury car driving performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,8,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Infiniti Driving Performance,infiniti driving performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,9,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Luxury Vehicle Performance,luxury vehicle performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
-1,10,openai/gpt-5.5,0.0,64,"car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric",Infiniti Vehicle Performance,infiniti vehicle performance,,"You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.","Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:","SYSTEM:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

USER:
Topic ID: -1
Keywords: car, new, drive, infiniti, driving, vehicle, cars, performance, clarity, electric
Representative snippets:
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- Ready to see for yourself? Let's go. I need my car to look great.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures.

Topic label:"
