topic,rank,representative_text
-1,1,"In terms of basic concepts, this engine is largely similar to the eight-cylinder engine. In other words, a turbocharged engine in which the exhaust gas turbo technology is housed in the front of the engine and brings together a number of character traits from the eight-cylinder engine. The transmission of the new Panamera is a completely new development."
-1,2,"Artura uses high-performance hybrid technology to improve the driving experience, but without the weight penalty you'd normally associate with adding battery technology. And we've done so while staying true to McLaren's DNA of technical design, outstanding performance, and unparalleled driving dynamics. Now let's hear from our Design Director, Rob Melville, on the first of those pillars, technical design."
-1,3,"Artura uses high-performance hybrid technology to improve the driving experience, but without the weight penalty you'd normally associate with adding battery technology. And we've done so while staying true to McLaren's DNA of technical design, outstanding performance and unparalleled driving dynamics. Now let's hear from our design director, Rob Melville, on the first of those pillars, technical design."
-1,4,"We're here today for the exciting world debut of the new NSX, a vehicle that reflects Acura's American roots. The NSX makes a powerful statement about the strong role being played by our North American operations in envisioning and building the future of Acura. Starting today, you will see Acura focus even more strongly on our core values and DNA as a challenger brand, breaking some rules and doing the unexpected to create new value for luxury buyers."
-1,5,"Looking forward, you can expect premium products that place even greater emphasis on dynamic design, premium content, and exhilarating performance. Three years ago, we announced that we were creating a next-generation NSX supercar, but we didn't stop there. We also announced that a U.S. R&D team would lead the development and that America would be the exclusive global production home for NSX."
-1,6,"Today we're here to deliver on that promise, but the all-new NSX represents more than just a real supercar. It heralds a sharpened focus on our sports heritage and is a vehicle that achieves precision-crafted performance and incredible joy-inducing synergy between the driver and machine. For the Acura brand, it all starts now."
0,1,"Kia is driving towards a future with EVs that raise the bar and invite more customers to begin their electrification journey with us. In the meantime, customers have shown that they appreciate Kia's innovation to go electric their own way. And with the addition of our first ever Carnival Hybrid, Kia now offers 10 electrified models."
0,2,"And our guest is Mr. Mark Howlett, Fleet Sales Manager, Kia Motors Europe. He will explain why Kia can be the perfect choice for your corporate fleet program by presenting the all-new Kia Optima range, composed among others of the Kia Optima Sport Wagon and the Optima PH EV, Kia's first plug-in hybrid model. Enjoy your virtual fleet lounge."
0,3,"Kia India is developing an India-centric EV in Albi home ground up to be launched by 2025. We are starting our EV journey in India by launching nothing but the best from Kia, the EV6. Our globally-awarded EV6 is the most exciting and sophisticated product from Kia yet."
0,4,"It's nestled down low in the chassis, and our power unit will respond to all drivers' demands, acceleration, braking, as well as cornering. Now our engine is mated with an all-new nine-speed dual-clutch transmission of our own design, which houses a electric motor at the rear, directly driving the rear wheels. Twin electric motors in the front provide instant torque, but also dynamic torque vectoring."
