representation_model,topic,words,weighted_words
llm_openai_gpt_5_5,-1,"LLM label unavailable: the, and, to, it, of, you, in, that, we, is","[[""LLM label unavailable: the, and, to, it, of, you, in, that, we, is"", 1.0]]"
llm_openai_gpt_5_5,0,"LLM label unavailable: the, and, of, to, in, we, is, it, that, you","[[""LLM label unavailable: the, and, of, to, in, we, is, it, that, you"", 1.0]]"
llm_openai_gpt_5_5,1,Vehicle Infotainment and Driver Assistance,"[[""Vehicle Infotainment and Driver Assistance"", 1.0]]"
llm_openai_gpt_5_5,2,EV Test Drive Conversations,"[[""EV Test Drive Conversations"", 1.0]]"
llm_openai_gpt_5_5,3,Hyundai IONIQ Lineup,"[[""Hyundai IONIQ Lineup"", 1.0]]"
llm_openai_gpt_5_5,4,Honda Accord Sedan History,"[[""Honda Accord Sedan History"", 1.0]]"
llm_openai_gpt_5_5,5,EV Charging Solutions,"[[""EV Charging Solutions"", 1.0]]"
llm_openai_gpt_5_5,6,Test Driving Experience,"[[""Test Driving Experience"", 1.0]]"
llm_openai_gpt_5_5,7,Polestar EV,"[[""Polestar EV"", 1.0]]"
llm_openai_gpt_5_5,8,Toyota Prius Hybrids,"[[""Toyota Prius Hybrids"", 1.0]]"
llm_openai_gpt_5_5,9,EV Handling and Suspension,"[[""EV Handling and Suspension"", 1.0]]"
llm_openai_gpt_5_5,10,"LLM fallback: infiniti, q50, infinity, the","[[""LLM fallback: infiniti, q50, infinity, the"", 1.0]]"
llm_openai_gpt_5_5,11,Mercedes EQ Electric Models,"[[""Mercedes EQ Electric Models"", 1.0]]"
llm_openai_gpt_5_5,12,Executive Event Introductions,"[[""Executive Event Introductions"", 1.0]]"
llm_openai_gpt_5_5,13,Toyota Corolla Hybrid Trims,"[[""Toyota Corolla Hybrid Trims"", 1.0]]"
llm_openai_gpt_5_5,14,Toyota Crown Sedan History,"[[""Toyota Crown Sedan History"", 1.0]]"
llm_openai_gpt_5_5,15,Hands-Free Tailgate Operation,"[[""Hands-Free Tailgate Operation"", 1.0]]"
llm_openai_gpt_5_5,16,"LLM label unavailable: amg, gt, the, on, and, with, is, for, so, door","[[""LLM label unavailable: amg, gt, the, on, and, with, is, for, so, door"", 1.0]]"
llm_openai_gpt_5_5,17,In-Car Connectivity Features,"[[""In-Car Connectivity Features"", 1.0]]"
llm_openai_gpt_5_5,18,Toyota Highlander Hybrid Features,"[[""Toyota Highlander Hybrid Features"", 1.0]]"
llm_openai_gpt_5_5,19,Lithium-Ion Battery Systems,"[[""Lithium-Ion Battery Systems"", 1.0]]"
llm_openai_gpt_5_5,20,Kandi America Affordable EVs,"[[""Kandi America Affordable EVs"", 1.0]]"
llm_openai_gpt_5_5,21,EV Cabin Quietness,"[[""EV Cabin Quietness"", 1.0]]"
llm_openai_gpt_5_5,22,Cabin Climate Control,"[[""Cabin Climate Control"", 1.0]]"
llm_openai_gpt_5_5,23,Honda Clarity Electrified Lineup,"[[""Honda Clarity Electrified Lineup"", 1.0]]"
