representation_model,topic,words,weighted_words
llm_openai_gpt_5_5,-1,"LLM label unavailable: the, and, to, it, of, in, you, is, we, that","[[""LLM label unavailable: the, and, to, it, of, in, you, is, we, that"", 1.0]]"
llm_openai_gpt_5_5,0,"LLM label unavailable: thank, you, much, good, don, to, see, for, come, going","[[""LLM label unavailable: thank, you, much, good, don, to, see, for, come, going"", 1.0]]"
llm_openai_gpt_5_5,1,"LLM label unavailable: bmw, series, tour, grand, of, the, new, kidney, and, is","[[""LLM label unavailable: bmw, series, tour, grand, of, the, new, kidney, and, is"", 1.0]]"
llm_openai_gpt_5_5,2,"LLM label unavailable: assist, parking, lane, spot, blind, alert, traffic, driver, you, braking","[[""LLM label unavailable: assist, parking, lane, spot, blind, alert, traffic, driver, you, braking"", 1.0]]"
llm_openai_gpt_5_5,3,"LLM label unavailable: we, car, that, our, it, this, of, to, and, the","[[""LLM label unavailable: we, car, that, our, it, this, of, to, and, the"", 1.0]]"
llm_openai_gpt_5_5,4,"LLM label unavailable: ioniq, hyundai, and, charging, with, to, the, for, of, electric","[[""LLM label unavailable: ioniq, hyundai, and, charging, with, to, the, for, of, electric"", 1.0]]"
llm_openai_gpt_5_5,5,"LLM label unavailable: kia, ev6, ev, our, gt, india, of, niro, the, in","[[""LLM label unavailable: kia, ev6, ev, our, gt, india, of, niro, the, in"", 1.0]]"
llm_openai_gpt_5_5,6,"LLM label unavailable: nissan, leaf, aria, altima, propilot, new, you, your, to, the","[[""LLM label unavailable: nissan, leaf, aria, altima, propilot, new, you, your, to, the"", 1.0]]"
llm_openai_gpt_5_5,7,"LLM label unavailable: seat, seats, leather, interior, and, the, materials, in, of, very","[[""LLM label unavailable: seat, seats, leather, interior, and, the, materials, in, of, very"", 1.0]]"
llm_openai_gpt_5_5,8,"LLM fallback: apple, carplay, your, android","[[""LLM fallback: apple, carplay, your, android"", 1.0]]"
llm_openai_gpt_5_5,9,"LLM fallback: mbux, screen, display, console","[[""LLM fallback: mbux, screen, display, console"", 1.0]]"
llm_openai_gpt_5_5,10,"LLM label unavailable: drive, it, car, do, you, driving, me, this, my, let","[[""LLM label unavailable: drive, it, car, do, you, driving, me, this, my, let"", 1.0]]"
llm_openai_gpt_5_5,11,"LLM label unavailable: lexus, nx, the, and, new, ux, ls, ct, to, of","[[""LLM label unavailable: lexus, nx, the, and, new, ux, ls, ct, to, of"", 1.0]]"
llm_openai_gpt_5_5,12,"LLM label unavailable: electric, cars, to, ev, we, our, be, that, car, are","[[""LLM label unavailable: electric, cars, to, ev, we, our, be, that, car, are"", 1.0]]"
