Topic,Count,Name,Representation,Representative_Docs
-1,3145,-1_car_new_crown_vehicle,"['car', 'new', 'crown', 'vehicle', 'design', 'warranty', 'toyota', 'performance', 'drive', 'hybrid']","[""Select grades also include trials for Toyota's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect."", ""Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."", ""and two years unlimited mileage of 24-hour roadside assistance. Furthermore, Highlander's hybrid EV grades have an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making it a strong choice for long-term ownership.""]"
0,994,0_car_driving_steering_drive,"['car', 'driving', 'steering', 'drive', 'air', 'suspension', 'vehicle', 'cars', 'rear', 'road']","[""Well it's a pleasure to drive a car which drives itself because you can relax while driving."", 'And I want to have cars that reinvigorate that love of driving.', 'This is kind of a culmination of several years of this car being built.']"
1,775,1_design_world_new_designers,"['design', 'world', 'new', 'designers', 'need', 'product', 'future', 'happy', 'bit', 'sure']","[""Well, I know what we need you to do, and I'm here to make sure you see why."", ""And that's a little bit what I want to tell you here today."", ""to make good products and therefore also I don't like also that you know when people are always saying yeah but it was my design and I say hey don't worry you know we are looking for the best result and everybody is inspiring.""]"
2,686,2_display_key_android_digital,"['display', 'key', 'android', 'digital', 'screen', 'apple', 'carplay', 'navigation', 'apple carplay', 'android auto']","['Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone.', 'Featuring an 8-inch or a newly available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions.', ""Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away.""]"
3,566,3_seats_interior_seat_heated,"['seats', 'interior', 'seat', 'heated', 'space', 'leather', 'rear', 'rear seats', 'materials', 'comfortable']","['Features like standard heated front seats, available ventilated front seats, an available heated steering wheel, and available heated rear outboard seats keep occupants comfortable regardless of the weather conditions.', 'I like it a lot. And also the seats are new, right?', 'Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips.']"
4,558,4_horsepower_torque_drive_hybrid,"['horsepower', 'torque', 'drive', 'hybrid', 'engine', 'electric', 'range', 'battery', 'motor', 'power']","['Powered by the fifth-generation Toyota Hybrid System, this Plug-in Hybrid powertrain produces 220 net combined horsepower with a two-liter engine, two electric motors, and a newly developed lithium-ion battery with greater capacity than prior generations.', 'This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.', 'Both trims offer plenty of power and torque. The Limited rear-wheel drive gets 225 horsepower with 258 pound-feet of torque, while the all-wheel drive for either the XRT or Limited gives you 320 horsepower with 446 pound-feet of torque.']"
5,451,5_charging_charge_level_charger,"['charging', 'charge', 'level', 'charger', 'battery', 'fast', 'dc', 'minutes', 'stations', 'fast charging']","['Use the MyMazda app to sort public charging stations by Level 2 and DC fast charging stations so you can easily find the right station for your Mazda electrified vehicle.', 'If you choose to charge your Mazda plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging.', 'So I see all the charging stations here. I know where to charge based off that.']"
6,418,6_led_black_grille_rear,"['led', 'black', 'grille', 'rear', 'headlights', 'lights', 'light', 'design', 'lighting', 'look']","[""You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance."", 'Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen.', 'Regardless of grade, all models also feature standard LED exterior lighting, including headlights, tail lights, and daytime running lights.']"
7,332,7_bmw_series_bmw series_new bmw,"['bmw', 'series', 'bmw series', 'new bmw', 'grand tour', 'tour', 'grand', 'new', 'i5', 'i4']","['One day driving a BMW, one day working at BMW, one day developing a BMW of the future.', 'This is what the BMW 5 Series is all about. This is the new BMW 5 Series.', 'So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series.']"
8,327,8_assist_parking_monitor_lane,"['assist', 'parking', 'monitor', 'lane', 'view', 'spot', 'blind spot', 'blind', 'alert', 'traffic']","['Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.', 'Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces.', 'Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.']"
