Topic,Count,Name,Representation,Representative_Docs
-1,3894,-1_car_new_drive_available,"['car', 'new', 'drive', 'available', 'safety', 'control', 'standard', 'electric']","['In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', 'In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', ""Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist.""]"
0,4852,0_car_new_vehicle_electric,"['car', 'new', 'vehicle', 'electric', 'features', 'cars', 'available', 'driver', 'performance']","['But the Mercedes-Benz S-Class was always ahead with time. One more thing I really love about this car.', 'Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.', 'Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.']"
1,970,1_filtered_topic_terms_unavailable,['filtered_topic_terms_unavailable'],"['And we need to trust the people we hire and let them do the best work they can do.', ""Well, I know what we need you to do, and I'm here to make sure you see why."", ""We work a lot with freelancers, but... that is even make us a little bit more sometimes working with freelancers make a little bit more hard because you need to make they feel part of the company and understand the you know the culture of the company and your goals as a leader as well when is your team you're working.""]"
2,756,2_charging_charge_battery_range,"['charging', 'charge', 'battery', 'range', 'fast', 'charger', 'minutes', 'level', 'kilowatt']","['It will go 0 to 60 in just over seven seconds. After all that spirited driving, you can recharge to a 100-mile range in only 30 minutes, or climb back up to 80% charge in as little as 75 minutes using a DC fast charger, giving you the range and the charging speed you need where you want, when you want it.', ""But a new charging feature that's standard on Bolt EUV is a dual-level charge cord that offers both 120 volt and 240 volt options for fast and convenient charging without the need to buy a separate charging unit."", 'While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed.']"
3,481,3_interior_design_beautiful_modern,"['interior', 'design', 'beautiful', 'modern', 'materials', 'designers', 'look', 'luxury', 'sculpture']","['Now as we head into the interior, I want you to really take a look at the driver-oriented structure of this interior design.', 'You know, of course I want to go on about the interior.', ""I like the side view here from the front. Let's talk about the interior design.""]"
4,411,4_seats_seat_space_leather,"['seats', 'seat', 'space', 'leather', 'cargo', 'rear', 'heated', 'cubic', 'passengers']","['Limited has ventilated front seats, available heated rear seats, along with a power back door.', ""and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs."", 'I like it a lot. And also the seats are new, right?']"
5,335,5_display_navigation_screen_touchscreen,"['display', 'navigation', 'screen', 'touchscreen', 'information', 'center', 'console', 'digital', 'new']","[""Plus, an available 12.3-inch digital gauge cluster and an available 10-inch head-up display help keep important information in the driver's line of sight."", ""What's more, an available 12.3-inch LCD multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight, giving RAV4 a high-tech feel."", ""Plus, an available 12.3-inch digital multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight.""]"
6,222,6_horsepower_engine_torque_liter,"['horsepower', 'engine', 'torque', 'liter', 'power', 'motor', 'cylinder', 'electric', 'pound', 'transmission']","['This is through an intelligent variable transmission. Now for those who want to take their driving experience to the next level, the GT-Line Turbo model is available with a 1.6 liter turbocharged engine that cranks out 190 horsepower and 195 pound-feet of torque.', 'The 3.0-liter V6 engine in the Q8 boasts an impressive 335 horsepower, 369 pound-feet of torque, and can go from 0 to 60 in 5.6 seconds.', 'This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.']"
7,184,7_charging_new_safety_electric,"['charging', 'new', 'safety', 'electric', 'platform', 'assist', 'space', 'avoidance', 'features']","['So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen.', ""We are thrilled to introduce you to Hyundai's first ever IONIQ 5."", ""Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5.""]"
8,166,8_hybrid_available_road_standard,"['hybrid', 'available', 'road', 'standard', 'grade', 'plug', 'performance', 'safety']","['And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more.', 'Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.', ""And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever.""]"
9,162,9_hybrid_efficiency_plug_efficient,"['hybrid', 'efficiency', 'plug', 'efficient', 'fuel', 'drive', 'new', 'available']","[""Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime."", ""Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius."", ""And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.""]"
10,159,10_camry_safety_drive_new,"['camry', 'safety', 'drive', 'new', 'available', 'features', 'sense', 'convenience']","['and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more.', 'In addition, a handful of Camry Hybrid models rounds out the Camry family.', ""Yeah, that's the same system that we use in the Camry. And you know what?""]"
11,146,11_mustang_mustangs_vehicle_electric,"['mustang', 'mustangs', 'vehicle', 'electric', 'architecture', 'design', 'new']","[""So I'm always getting asked if the Mustang Mach-E handles like a Mustang, and I can definitely tell you yes."", ""Mustang is a me car. It's about me, it's indulgence. This is a we car."", ""That was Mustang. It was really a mandate of show us what you've got.""]"
12,138,12_crown_sedan_performance_generation,"['crown', 'sedan', 'performance', 'generation', 'new', 'story', 'chief', 'comfort', 'development']","[""When all of these factors are taken together, it's clear that Toyota Crown is a leader, a uniquely electrified flagship with style, performance, and technology. Want to learn more? Discover Toyota Crown today on toyota.com."", ""I sincerely want the world to know what Japan's crown is all about."", 'Two years later, the crown team has manifested a crown for the coming era.']"
13,125,13_sound_quiet_noise_exhaust,"['sound', 'quiet', 'noise', 'exhaust', 'sounds', 'car', 'engine', 'wind', 'acoustic', 'silence']","[""The exhaust, it doesn't sound like your typical four-cylinder. It has a very aggressive sound."", ""And it's interesting. It's a noise that's meant to sound like an AMG while not trying to sound like an internal combustion engine."", ""The sound of silence is actually a really important concept for us in air acoustics development for the e-tron because it doesn't have a combustion engine it's extremely quiet so that means that all other noise sources will be all the more prominent so we set ourselves the target of making a really really quiet vehicle for the e-tron.""]"
14,112,14_warranty_maintenance_roadside_hybrid,"['warranty', 'maintenance', 'roadside', 'hybrid', 'assistance']","[""And two-year unlimited mileage of 24-hour roadside assistance. The strength of RAV4's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership."", 'Add in that every new Prius Prime includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, along with enhanced 3-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile Hybrid Battery Warranty.', 'along with enhanced three-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile hybrid battery warranty.']"
15,112,15_black_exhaust_available_designs,"['black', 'exhaust', 'available', 'designs']","['First, LE and XLE grades feature a unique front fascia shape and grille design, as well as alloy wheel designs on the gas and all-wheel drive grades, while SE and XSE grades boast their own distinct lower fascia shape, honeycomb grille, and either 18-inch or 19-inch wheels.', 'So these are our 20-inch multi-spoke wheels. The coupe over there, we have our 19 multi-spoke black wheels, so these are available in black as well.', 'Hybrid SE and XSE, on the other hand, feature 18-inch multi-spoke black sport alloy wheels.']"
16,109,16_manager_designer_responsible_episode,"['manager', 'designer', 'responsible', 'episode', 'product', 'head', 'tron', 'new']","['of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of One of the most important things is to produce an aviancata with this particular form, which is particularly important.', ""We didn't think about making a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour"", 'of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour']"
17,108,17_experience_new_electric_pure,"['experience', 'new', 'electric', 'pure', 'car', 'cars', 'technology', 'true', 'luxury']","[""So now the XC90 gets the same new experience that we've brought to the XC90 or the EX90 and the EX30."", 'And the new XC90 is available to order starting today. This is a very important day for Volvo cars, the EX90 and the XC90 electric and hybrid, two flagships, the best of both worlds.', ""The XC90 is as safe as an XC90 has ever been. It's also more comfortable than ever before.""]"
18,104,18_audio_premium_speaker_sound,"['audio', 'premium', 'speaker', 'sound', 'speakers', 'available', 'multimedia', 'experience', 'watts']","['And this can all be paired with available JBL Premium Audio with 11 speakers to make the most of these great services.', 'This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity.', 'To make the most of these features, Crown can also be equipped with an 11-speaker JBL premium audio system.']"
19,101,19_climate_temperature_control_heated,"['climate', 'temperature', 'control', 'heated', 'cold', 'air', 'zone', 'automatic', 'hot', 'controls']","['Plus, the available dual-zone automatic climate control lets drivers and passengers dial in the ideal temperature.', 'Plus, standard dual-zone automatic climate control ensures that the cabin is set to the ideal temperature.', 'An available heated steering wheel, heated and ventilated seats, and dual climate control help keep you cozy no matter the temperature outside.']"
