topic,rank,representative_text
-1,1,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
-1,2,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps."
-1,3,"Beyond comfort, Corolla's onboard technology puts a big emphasis on safety. Every Toyota Corolla comes with Toyota Safety Sense 3.0, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist."
-1,4,It'll help you stand out when you're ready to step up. Ready to see for yourself?
-1,5,"Oh, this is great. start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims."
-1,6,"Speaking of super smart, how about a GPS linked solar sensing system that measures the sun's position and intensity to adjust cabin temperatures."
0,1,But the Mercedes-Benz S-Class was always ahead with time. One more thing I really love about this car.
0,2,"Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces."
0,3,"Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces."
0,4,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling."
0,5,"Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill."
0,6,And you can really tell that the car's been designed around the driver.
1,1,And we need to trust the people we hire and let them do the best work they can do.
1,2,"Well, I know what we need you to do, and I'm here to make sure you see why."
1,3,"We work a lot with freelancers, but... that is even make us a little bit more sometimes working with freelancers make a little bit more hard because you need to make they feel part of the company and understand the you know the culture of the company and your goals as a leader as well when is your team you're working."
1,4,"This is a sponsored video, by the way. I'm just super excited."
1,5,"They're gonna want to film later at night, so they can show off some LED lights 118 and we have to wait till sunset even have the show started We're out near Edwards Air Force Base Which is where Will Smith went in Independence Day and go see it and maybe even drive it An expensive car, but because of that it's really cool And I'm on board with this because it means I get to go check out all"
1,6,But I'll take you for a spin. I'll settle for that. All right.
2,1,"It will go 0 to 60 in just over seven seconds. After all that spirited driving, you can recharge to a 100-mile range in only 30 minutes, or climb back up to 80% charge in as little as 75 minutes using a DC fast charger, giving you the range and the charging speed you need where you want, when you want it."
2,2,But a new charging feature that's standard on Bolt EUV is a dual-level charge cord that offers both 120 volt and 240 volt options for fast and convenient charging without the need to buy a separate charging unit.
2,3,"While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed."
2,4,"The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this?"
2,5,Weird. and there are many home charging options to fit your needs.
2,6,"There's the included 9.6 kilowatt mobile plug-in charger, an available home installation charger, or even an available 19.2 kilowatt charging capability that includes charge ports on both sides."
3,1,"Now as we head into the interior, I want you to really take a look at the driver-oriented structure of this interior design."
3,2,"You know, of course I want to go on about the interior."
3,3,I like the side view here from the front. Let's talk about the interior design.
3,4,And then when you go to the interior it only gets better.
3,5,What we've done here is we've separated it now from the bonnet here and moved the whole thing down.
3,6,It's a little bit more sporty than before. We've got more integrated design elements and more athletic feeling.
4,1,"Limited has ventilated front seats, available heated rear seats, along with a power back door."
4,2,"and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs."
4,3,"I like it a lot. And also the seats are new, right?"
4,4,And it only gets better on the inside with paddle shifters and redesigned sports seats.
4,5,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat."
4,6,"Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather."
5,1,"Plus, an available 12.3-inch digital gauge cluster and an available 10-inch head-up display help keep important information in the driver's line of sight."
5,2,"What's more, an available 12.3-inch LCD multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight, giving RAV4 a high-tech feel."
5,3,"Plus, an available 12.3-inch digital multi-information display and an available 10-inch head-up display puts key information in the driver's line of sight."
5,4,"Since most of the buttons and controls have been replaced with two large displays, the feature adds simplicity and minimalism to functionality."
5,5,"The intuitive interface, inspired by typical smartphone navigation, optimizes the driver's control of settings and infotainment, as well as enhanced handwriting recognition."
5,6,"The next generation of Audi Connect introduces connected navigation, 3D city models with predictive routing, and a more refined natural language selection system."
6,1,"This is through an intelligent variable transmission. Now for those who want to take their driving experience to the next level, the GT-Line Turbo model is available with a 1.6 liter turbocharged engine that cranks out 190 horsepower and 195 pound-feet of torque."
6,2,"The 3.0-liter V6 engine in the Q8 boasts an impressive 335 horsepower, 369 pound-feet of torque, and can go from 0 to 60 in 5.6 seconds."
6,3,This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.
6,4,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine."
6,5,Now this thing is fun to drive. It has a whopping 377 total system horsepower.
6,6,a v6 engine in the back and then behind that v6 engine there's another direct drive motor and then so that electric motor is actually linked up to the crankshaft of this engine and then it's all sending all of that torque from the engine and the motor to the rear transmission and then splitting it to the two rear wheels.
7,1,"So there you have it, the first ever Hyundai IONIQ 6. With its bold new exterior design, truly innovative interior, premium tech, and advanced safety features, IONIQ 6 is a Hyundai unlike any you have ever seen."
7,2,We are thrilled to introduce you to Hyundai's first ever IONIQ 5.
7,3,"Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5."
7,4,"And second, at our Mirafuri facility, another facility in Torino, we collect solar energy from the rooftop and that solar power charges every 500e that leaves the factory."
7,5,"Today, our eco-friendly lineup includes the IONIQ family with hybrid, plug-in hybrid and electric variants."
7,6,That's why Hyundai expanded its SmartSense safety technologies on the new Elantra.
8,1,And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more.
8,2,Want to learn more? Discover RAV4 Prime Plug-in Hybrid EV today on toyota.com slash RAV4 Prime.
8,3,"And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever."
8,4,"In addition, separated fog lights are no longer necessary. The new light signature with two upside down L's makes for a dynamic look."
8,5,cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life.
8,6,"And what about the wheels? Now, they aren't bad. 18-inch wheels on the Camry."
9,1,"Add all of that together, and it's clear that Prius Prime goes above and beyond, cementing Toyota's electrification leadership. Learn more today at toyota.com slash Prius Prime."
9,2,"Stay tuned to learn more about Prius Prime later in the video, but for now, let's find out more about Prius."
9,3,And it's easy to see how Prius Prime is ready to take the lead. Learn more today at toyota.com slash Prius Prime.
9,4,"The X-Pro adds LED lights, LED projector headlights, fog lights to illuminate the trail ahead."
9,5,"More than 20 years ago, the Toyota Prius changed the automotive landscape when it introduced the world to modern hybrid technology."
9,6,"In the years since it first hit the stage, Prius has grown through four generations, as well as the release of multiple related models."
10,1,"and that goes beyond its array of 10 airbags. All 8th generation Camry models come standard with Toyota Safety Sense P, an advanced suite of active safety technologies like Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, and more."
10,2,"In addition, a handful of Camry Hybrid models rounds out the Camry family."
10,3,"Yeah, that's the same system that we use in the Camry. And you know what?"
10,4,One of those tools is our Ford Racing Simulator in North Carolina.
10,5,Camry is getting 39 mpg highway. It has a 2.5 liter engine putting out 203 horsepower.
10,6,And here's Camry mixing body color panels right into the black mesh inserts.
11,1,"So I'm always getting asked if the Mustang Mach-E handles like a Mustang, and I can definitely tell you yes."
11,2,"Mustang is a me car. It's about me, it's indulgence. This is a we car."
11,3,That was Mustang. It was really a mandate of show us what you've got.
11,4,"when you achieve something remarkable, you have caught lightning in a bottle."
11,5,"Look, the Dodge name became known for standout design and performance. The name Dodge, your name 100 years from now, has become synonymous with baddest, quickest, fastest, dodgiest."
11,6,That's what Enzo Ferrari said. And that was the reason why we decided to celebrate this beautiful piece of engineering even more than normally also on the Spyder version.
12,1,"When all of these factors are taken together, it's clear that Toyota Crown is a leader, a uniquely electrified flagship with style, performance, and technology. Want to learn more? Discover Toyota Crown today on toyota.com."
12,2,I sincerely want the world to know what Japan's crown is all about.
12,3,"Two years later, the crown team has manifested a crown for the coming era."
12,4,"The result, frankly, is an epic growth story that rewrote the rule of three to include now four very recognizable rings."
12,5,The four rings stand for never standing still. Now it's time for you to take action.
12,6,Not many young engineers had such a huge influence that makes me every time proud.
13,1,"The exhaust, it doesn't sound like your typical four-cylinder. It has a very aggressive sound."
13,2,And it's interesting. It's a noise that's meant to sound like an AMG while not trying to sound like an internal combustion engine.
13,3,The sound of silence is actually a really important concept for us in air acoustics development for the e-tron because it doesn't have a combustion engine it's extremely quiet so that means that all other noise sources will be all the more prominent so we set ourselves the target of making a really really quiet vehicle for the e-tron.
13,4,to go because the motor has to like rev up and that's it.
13,5,"Thanks to a bigger distance to the engine, the temperature window for exhaust gas processing is extended and that means emissions can, with continuously high exhaust temperatures, for example if you drive swiftly over the motorway, can be best reduced."
13,6,"The Audi wind tunnel, when it was starting, it was an industrial wind tunnel with ground simulation, so a moving round underneath the car before only used in Formula One or because our wind tunnel is so silent we are able to develop more silent cars."
14,1,"And two-year unlimited mileage of 24-hour roadside assistance. The strength of RAV4's value is further enhanced in its hybrid grades, which come with an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making them strong choices for long-term ownership."
14,2,"Add in that every new Prius Prime includes ToyotaCare, which provides 2 years or 25,000 miles of scheduled maintenance, along with enhanced 3-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile Hybrid Battery Warranty."
14,3,"along with enhanced three-year unlimited mileage of 24-hour roadside assistance, as well as exceptional hybrid warranty coverage like the 10-year, 150,000-mile hybrid battery warranty."
14,4,"Ladies and gentlemen, in the United States, our first fully electric vehicle will start at an MSRP of $74,800 before any federal tax credits."
14,5,"Even ownership is made easy with an 8-year, 100,000-mile limited warranty for your battery."
14,6,"Even ownership is made easy with an 8-year, 100,000-mile limited warranty for your battery, and there's also less maintenance."
15,1,"First, LE and XLE grades feature a unique front fascia shape and grille design, as well as alloy wheel designs on the gas and all-wheel drive grades, while SE and XSE grades boast their own distinct lower fascia shape, honeycomb grille, and either 18-inch or 19-inch wheels."
15,2,"So these are our 20-inch multi-spoke wheels. The coupe over there, we have our 19 multi-spoke black wheels, so these are available in black as well."
15,3,"Hybrid SE and XSE, on the other hand, feature 18-inch multi-spoke black sport alloy wheels."
15,4,And they also have a new wheel design so these are going to be 21 inch wheels front and rear.
15,5,A new rear bumper and wheel options up to 22 inches on the Q8 Sportback e-tron round out the exterior updates.
15,6,And what you can see here is the 19 inch M light alloy wheel double spoke styling 791M in bicolour jet black.
16,1,"of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of One of the most important things is to produce an aviancata with this particular form, which is particularly important."
16,2,We didn't think about making a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour
16,3,of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour of a Grand Tour
16,4,Are both of the other episodes going on your channel? They're gonna be on engineering explained.
16,5,"Once again, my name is Tony Brown, Audi technologist, and I hope to hear from you soon."
16,6,"My name is Cesar Montara, I'm the head of the light department at Audi."
17,1,So now the XC90 gets the same new experience that we've brought to the XC90 or the EX90 and the EX30.
17,2,"And the new XC90 is available to order starting today. This is a very important day for Volvo cars, the EX90 and the XC90 electric and hybrid, two flagships, the best of both worlds."
17,3,The XC90 is as safe as an XC90 has ever been. It's also more comfortable than ever before.
17,4,The X5 here that hosts a six-cylinder which is tremendously nicely but you combine this technology with quite a various of engines.
17,5,"The compact vehicles start with a three-cylinder combustion engine, then we have four cylinders in the three, in the X3, and the six-cylinder in X5 and 7 series."
17,6,"But now as a father of three kids, the X5 is my favorite for the moment."
18,1,And this can all be paired with available JBL Premium Audio with 11 speakers to make the most of these great services.
18,2,"This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity."
18,3,"To make the most of these features, Crown can also be equipped with an 11-speaker JBL premium audio system."
18,4,"And with the available 19 speaker Bang & Olufsen sound system, the A4 can be your own personal concert hall."
18,5,"And you just see the music, you see these lines going up and down, so you can actually see sound."
18,6,"Can you hear it? Extraction, reflect, rise, different angle. Be the clock, control time and space."
19,1,"Plus, the available dual-zone automatic climate control lets drivers and passengers dial in the ideal temperature."
19,2,"Plus, standard dual-zone automatic climate control ensures that the cabin is set to the ideal temperature."
19,3,"An available heated steering wheel, heated and ventilated seats, and dual climate control help keep you cozy no matter the temperature outside."
19,4,"Oh, look at that heat exchange here. Back is so long, man. We're here at golden hour."
19,5,You can slide your finger up and down to get the temp a little bit faster and the same thing goes for your fan speed there as well.
19,6,"The Q8 e-tron's climate control can be set and started remotely, right from the My Audi app or preset to turn on automatically any day and time of the week, even in your garage."
