Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
-1,2758,-1_car_new_vehicle_driving,Noise / Outlier,"toyota, car, vehicle, cars, hybrid, driving, drive, new, design","car, new, vehicle, first, system, design","the, this, car, new","Wireless Android Auto compatibility makes it easy to stay connected to Android devices. Plus, there's a standard three month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad free music, but also sports comedy and more. Drivers looking for even more audio enhancements will appreciate that Prius Limited features a JBL premium audio system. || In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || That's my car. || start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims. || The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too. || Let's go. I need my car to look great. I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car."
0,2459,0_bmw_new_car_design,Luxury Car Interior Design,"volvo, mercedes, bmw, design, cars, benz, car, vehicle, hybrid, rear","new, car, design, rear, interior, seats, seat, series","new, bmw, car, design, also, rear, has","Let's check out the sleek exterior design of the new Mercedes-Benz S-Class. The front is dominated by this mighty radiator grille. The flanks look clean and strong, what I personally think is key to the prestige of any Mercedes-Benz S-Class. || while the BMW 5 Series Touring gives function and performance a new stylish edge. Now let me introduce you to the sedan here next to me. What we have here is the 530e plug-in hybrid with M Sport package in photonic blue, which is just one of five new striking exterior colours. || The precise refinement of the exterior design ensures that the new BMW 3 Series now expresses its drive-in pleasure-oriented character even more clearly. What we see here is the new BMW 330i with M Sport package. Newly available is this Brooklyn grey body colour, which emphasises the new design approach. || And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver. || Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard. And then when you go to the interior it only gets better. || Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel. Beautifully stitched, beautiful leather."
1,1272,1_charging_electric_kia_charge,EV Charging and Powertrain,"charging, charge, ev, electric, hybrid, ev6, battery, plug, car, vehicle","electric, charge, battery, power, range, car, vehicle, engine, new","charging, electric, kia, charge, battery, power, range","It will be available as a hybrid with class-leading fuel economy, a plug-in hybrid that could travel more than 25 miles on electric power, and also provide the efficiency of a conventional hybrid, and an electric vehicle that has a range of 110 miles, which is the highest of any compact electric vehicle that is currently in the marketplace. || Yeah, so the EQS lineup is able to charge, it's actually the largest charging network in America with Electrify America. The EQS comes with two years of charging sessions, 30 minute charging sessions, that are complimentary so you can pull up to an Electrify America station And using the Mercedes me and the me charge app, you're able to activate the chargers and get 30 minutes of high speed charging per session. That's using DC fast charging capabilities. || The top socket is for level 2 or level 1 charging and for i3 vehicles that are equipped with a DC fast charging or SAE the lower port is for DC charging. Next insert the plug into the vehicle connector and push it in until it latches. You'll notice that the white light around the charging port flap will turn to yellow indicating that charging is initializing. || The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one. || Yep. What we think is going to be our most popular model. It's a 2.0 liter engine, putting out 150 horsepower. || Hello. Hey, man. He has the YouTube channel Engineering Explained basically talks all about how cars work we have a very fancy car here there's a 3.5 liter twin-turbo v6 in the back powering the rear axle sandwiched between that engine and the transmission is a direct drive motor so you've got an additional electric motor and then you've got two electric motors up front one for each wheel so there's two motors working at the exact same time yep so there's a v6 engine in the back and then behind that v6 engine there's another direct drive motor and then so that electric motor is actually linked up to the crankshaft of this engine and then it's all sending all of that torque from the engine and the motor to the rear transmission and then splitting it to the two rear wheels."
2,959,2_steering_control_car_display,Driver Assistance and Displays,"steering, navigation, driving, driver, view, drive, android, vehicle, carplay, road","car, steering, control, system, display, driver, assist, navigation, parking, screen","car, steering, control, system, display, driver, assist, driving, navigation, parking","This updated bundle includes Pre-Collision System with Pedestrian Detection, now with Intersection Support Enhancement and a Driver Initiated Emergency Steering Assist Enhancement, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, now with Curve Speed Management, Lane Tracing Assist, and Road Sign Assist. || A rear view camera gives you better visibility when in reverse, while a rear cross traffic alert can help warn you if cars are approaching from the side when reversing out of a parking space. To help you stay within your lane, there's available lane keep assist. The available automatic emergency braking with pedestrian detection can help warn the driver of a potential collision ahead. || Available blind spot detection is designed to alert you when there's a vehicle in your blind spot before you change lanes. An available rear cross traffic alert helps warn you if cars are approaching from the side when reversing out of a parking space. Available automatic emergency braking with pedestrian detection can warn the driver of a potential collision ahead. || You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays. Oh, this is great. || I mean, it's like we're all riding first class, baby. How about this for convenience? The dual action armrest opens for the driver, Opens for the passenger, one push button, slides all the way back, revealing a place to plug in your phone, that's super smart for your super smart phone. || And while you're checking out that list, let me highlight one of those for you, head up display, yes this is a super cool technology, you've got to pay a lot of money for this and other cars, it comes standard. Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation."
3,616,3_auto_episode_season_press,Automotive Podcast Episodes,"next, go, you","show, auto","for, show","This is, we love the auto show season and New York's the official end of the auto show season so it's been a great run. The shows themselves are incredibly important in terms of getting our brand out in front of a lot of people both media and consumers. This show in and of itself is very important because It is IONIQ. || But we're going to show you what the Auto Show looks like the day before the show. Let's take a look at that video. Hi, I'm Kristin Burt for Hyundai Motor America and we're at the 2015 Los Angeles Auto Show in downtown LA. || Hello, everyone, and thank you for joining us this afternoon. I know it's been a long day. It's great to be kicking off yet another auto show season right here in Los Angeles. || My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end. || Hey, Tyson. Hey, Lee. How you doing? || Doing great. How are you? Good."
4,204,4_ioniq_hyundai_charging_electric,Hyundai IONIQ EV Lineup,"ioniq, hybrid, hyundai, ev, id4, electric, vehicle, powertrains, vehicles, egmp","electric, vehicle, rear, platform, new, limited, first, design","ioniq, hyundai, charging, electric, vehicle, rear, platform, ev, limited","Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5. And to me, it's the perfect example of Hyundai's electric innovations. Let's start by taking a look at an exterior design that's unlike anything Hyundai has put on the road before. || As a critical pillar in Hyundai's electrification strategy, IONIQ 5 introduces our first dedicated battery electric platform, the eGMP, or Electric Global Modular Platform. We are thrilled to introduce you to Hyundai's first ever IONIQ 5. Our design mission with IONIQ 5 was to create a new mobility experience for the next generation. || Rather, it's a challenge in search of a novel solution. Ladies and gentlemen, this is why it's my great pleasure to introduce the 2017 Hyundai IONIQ model lineup. Introducing the 2017 Hyundai IONIQ Plug-in Hybrid, the Hyundai IONIQ Hybrid, and the IONIQ Electric. || Hello everyone, we are here at the New York International Auto Show. My name is Peter Chaney, product information specialist for Hyundai, and I am here with John Shun who is going to talk to us more about the IONIQ lineup. So John, can you break down this vehicle that might be here? || Yes, this is the IONIQ Hybrid. It is the first of three IONIQ models that will be launched very shortly. The IONIQ Hybrid is currently available for sale in all 50 states. || Also here, you see 17-inch alloy wheel design that is an uto-stoke alloy wheel. So even the wheel design itself helps the coefficient of drag and overall dynamics, which of course helps the vehicle's class-leading fuel competition. The 2017 IONIQ lighter vehicle has all the latest advanced active safety features."
5,200,5_sonata_accord_hyundai sonata_hyundai,Midsize Sedan Market,"sonata, hyundai, sedan, accord, hybrid, car, honda, engine, performance, civic","accord, new, features, safety, standard, car, performance","sonata, accord, hyundai, camry, new, features, honda, 2020, gian","The 2018 Hyundai Sonata. || The 2018 Hyundai Sonata, our best Sonata ever. || The 2018 Hyundai Sonata, our best Sonata ever. || I think it's the best track I've ever been in Abu Dhabi. So modern and it's in another level, compared to the normal tracks. It has been hard because 12 hours is a lot, especially very hot on the inside of the car. || But what we might not realize is that Camry and Accord never recovered. They saw further sales and share losses more than a year before the 2011 earthquake in tsunami. Camry sales in 2010 dipped 31% in their 2007 fee. || Accord sales dropped 28% during the same period. And this slide has continued. Even with triple digits, then it increases in incentive spending."
6,198,6_nissan_leaf_aria_nissan leaf,Nissan Leaf EV Features,"nissanusa, nissan, leaf, ev, vehicle, sedan, electric, altima, mobility, battery","nissan, leaf, new, intelligent, technology, driving, drive, first, mobility","nissan, leaf, aria, altima, new, propilot, ev, intelligent, technology, driving","He will talk about the expectations of the new Nissan LEAF and explain what Nissan Intelligent Mobility is all about. Ladies and gentlemen, good morning and welcome. Let me start by making one thing clear. || The new Nissan LEAF represents technological Nissan or Nissan of Technology, which is a traditional term associated with Nissan in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Nissan LEAF was the EV pioneer, the new Nissan LEAF has the real potential to become the core of the company. The new Nissan Leaf will drive the Nissan Intelligent Mobility forward. || It is my honor to officially announce the launch of the new Nissan LEAF in Japan with all of you here. Nissan takes pride in being an EV pioneer along with the owners of the current Nissan LEAF. The launch of the new Nissan LEAF comes when the entire world is shifting toward era of EV. || So we have these on the doors, the roof and most importantly that beautiful rear clamp body panel. The beauty of having super-formed panels means that it allows us to have undisturbed design, but also it means we can use less panels on the car, which of course reduces the weight even further. And I'm asking what the McLaren Altura will be like to drive compared to the other McLarens. || Hi, Dean Bowman, your Nissan Insider. Today we're going to show you the Nissan LEAF. And while obviously I'll go through some of the unique features that go into owning an electric car, I also want to showcase some of the versatility and spaciousness you'll find inside. || In addition, there's some really cool technologies and conveniences that will make your everyday drive fun. LEAF's aerodynamic design has a really low drag coefficient. The result has two benefits."
7,193,7_audi_tron_quattro_q8,Audi e-tron Models,"audi, car, quattro, suv, a6, a8, a7, vehicle, q5, headlights","tron, quattro, new, electric, design, car, first, name","audi, quattro, q8, light, a7, a3, q5, a6, design, a8","In 10 years from now, we will talk about e-tron the same we talk about Quattro. It will be in the heart, in the essence, in the DNA of Audi. I think at Audi we are obsessed with making things perfect. || Doing them right when the time is right. And the time is right for electric to go Audi. I assure you, with the Audi e-tron you won't miss a thing. || The Audi Q8 e-tron SUV and Sportback. || Hello and welcome. My name is Filip Brabeck and today we are introducing the new 2012 Audi A6. Now already by looking at the car you can see that the car introduces a lot of new design features and design language that Audi is bringing forward. || The shoulder is broader and it's also more powerful. It sticks out with a very strong indented line, which again communicates that powerful look. Two-thirds, one-third proportion of window to the body is typical to Audi. || So overall a great story for driving dynamics as well as the performance of the new Audi A6."
8,169,8_elantra_hyundai_new elantra_elr,Cadillac ELR Plug-In Hybrid,"elantra, hyundai, sedan, hybrid, elr, car, cadillac, 2021, trim, design","new, design, features, generation, compact, segment, hybrid, car, sedan","elantra, hyundai, elr, new, design, features, generation, cadillac, compact, segment","That's a lot more. The 2018 Hyundai Elantra. || But let's just say it'll be the most powerful Elantra ever. You know, it's such a huge story with the Elantra and so much excitement around the brand. Congratulations. || This is the all-new, completely redesigned 2021 Hyundai Elantra. Elantra is our popular compact sedan, and in its seventh generation, as you'll see, the upgrades and enhancements are everywhere. Now, the Elantra won't be available on dealership lots until late fall this year. || Mikaela, any changes to the material? No, no changes to the sheet metal with this model. But yes, the other parts have been greatly reworked. || I'm Cebu Cera and I'm here with the brand new Cadillac ELR. The ELR is Cadillac's first plug-in hybrid. Chevrolet already sells a plug-in hybrid called the Volt, and the ELR uses the technology from the Volt, but it's a little more powerful and looks completely different. || We're going to talk to some of the people who can tell us about those differences. I'm here with Chris Thomasson, the ELR chief engineer, and he can tell us all about this hardware. Now, I know what we have under the hood here is very similar to what's in the Chevy Volt, so describe this hardware for me."
