Topic,Count,Name,Representation,Representative_Docs
-1,3145,-1_driving_drive_design_vehicle,"['driving', 'drive', 'design', 'vehicle', 'car', 'features', 'experience', 'technology', 'how']","[""Select grades also include trials for Toyota's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect."", ""Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."", ""and two years unlimited mileage of 24-hour roadside assistance. Furthermore, Highlander's hybrid EV grades have an 8-year or 100,000-mile hybrid system warranty, whichever comes first, and a 10-year or 150,000-mile hybrid battery warranty, whichever comes first, making it a strong choice for long-term ownership.""]"
0,994,0_vehicle_car_cars_suspension,"['vehicle', 'car', 'cars', 'suspension', 'steering', 'driving', 'rear', 'driver', 'design', 'drive']","[""Well it's a pleasure to drive a car which drives itself because you can relax while driving."", 'And I want to have cars that reinvigorate that love of driving.', 'This is kind of a culmination of several years of this car being built.']"
1,775,1_you,['you'],"[""Well, I know what we need you to do, and I'm here to make sure you see why."", ""And that's a little bit what I want to tell you here today."", ""to make good products and therefore also I don't like also that you know when people are always saying yeah but it was my design and I say hey don't worry you know we are looking for the best result and everybody is inspiring.""]"
2,686,2_smartphone_android_iphone_devices,"['smartphone', 'android', 'iphone', 'devices', 'apps', 'app', 'touchscreen', 'drivers', 'auto', 'phone']","['Its feature-laden console centers around an audio multimedia system with standard compatibility for Apple CarPlay, which connects drivers to Apple Music, Maps, Messages, and other favorite apps from your iPhone.', 'Featuring an 8-inch or a newly available 10.5-inch touchscreen, it includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions.', ""Next, Android Auto compatibility makes it easy for Android users to stay connected to Android devices, while Amazon Alexa connectivity keeps Amazon's digital assistant just a question away.""]"
3,566,3_seats_seat_seating_passengers,"['seats', 'seat', 'seating', 'passengers', 'trunk', 'rear', 'comfortable', 'passenger', 'cabin', 'steering']","['Features like standard heated front seats, available ventilated front seats, an available heated steering wheel, and available heated rear outboard seats keep occupants comfortable regardless of the weather conditions.', 'I like it a lot. And also the seats are new, right?', 'Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips.']"
4,558,4_hybrid_torque_motors_powertrain,"['hybrid', 'torque', 'motors', 'powertrain', 'traction', 'drive', 'dual', 'motor', 'rear']","['Powered by the fifth-generation Toyota Hybrid System, this Plug-in Hybrid powertrain produces 220 net combined horsepower with a two-liter engine, two electric motors, and a newly developed lithium-ion battery with greater capacity than prior generations.', 'This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.', 'Both trims offer plenty of power and torque. The Limited rear-wheel drive gets 225 horsepower with 258 pound-feet of torque, while the all-wheel drive for either the XRT or Limited gives you 320 horsepower with 446 pound-feet of torque.']"
5,451,5_charging_charge_charger_charged,"['charging', 'charge', 'charger', 'charged', 'recharge', 'chargers', 'level', 'plug', 'battery', 'electric']","['Use the MyMazda app to sort public charging stations by Level 2 and DC fast charging stations so you can easily find the right station for your Mazda electrified vehicle.', 'If you choose to charge your Mazda plug-in hybrid at a public charging station, it is important to know that public chargers are available for both Level 2 and Level 3 DC fast charging.', 'So I see all the charging stations here. I know where to charge based off that.']"
6,418,6_headlights_taillights_lighting_led,"['headlights', 'taillights', 'lighting', 'led', 'lights', 'distinctive', 'grille']","[""You'll see a new lower profile cascading grille with a more pronounced horizontal separation between the upper and lower grille, standard dual LED projector headlights that more seamlessly integrate into the overall design, and standard LED daytime running lights all combining for a sleeker, more modern appearance."", 'Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen.', 'Regardless of grade, all models also feature standard LED exterior lighting, including headlights, tail lights, and daytime running lights.']"
7,332,7_bmw_sedan_i5_coupe,"['bmw', 'sedan', 'i5', 'coupe', 'car', 'i4', 'touring', 'i7', 'hybrid']","['One day driving a BMW, one day working at BMW, one day developing a BMW of the future.', 'This is what the BMW 5 Series is all about. This is the new BMW 5 Series.', 'So now, please enjoy the Grand Tour! Thank you for joining us for the world premiere of the new BMW 5 Series and the new BMW 6 Series.']"
8,327,8_safety_blind_monitor_detection,"['safety', 'blind', 'monitor', 'detection', 'parking', 'drivers', 'driver', 'pedestrian', 'driving', 'radar']","['Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.', 'Additionally, the available Blind Spot Monitor with Rear Cross-Traffic Alert is designed to help warn drivers of vehicles in the lanes next to them, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver around tight spaces.', 'Additionally, the standard Blind Spot Monitor with Rear Cross Traffic Alert and Safe Exit Alert are designed to help warn drivers if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to help drivers maneuver in tight spaces.']"
9,269,9_ev_evs_electric_electrified,"['ev', 'evs', 'electric', 'electrified', 'electrification', 'bolt', 'chevrolet', 'vehicle', 'vehicles', 'car']","['We really appreciate it. There really are a lot of benefits to owning the Bolt EV or the Bolt EUV, both expected and unexpected.', ""So to start us off, you literally brake every time you're in any car, but here on the Bolt EUV and on the Bolt EV, there's something a little different going on."", 'And the best part about it is between the Bolt EUV or Bolt EV and the My Chevrolet app, it does all the hard work for me.']"
10,266,10_ev6_kia_ev_ev4,"['ev6', 'kia', 'ev', 'ev4', 'ev9', 'e6', 'hyundai', 'evs', 'vehicle', 'vehicles']","[""EV6 is more than just a new electric vehicle from Kia. It's a messenger for this brand's future."", ""When you drive an EV6, you will not just be driving one of Kia's most inventive designs."", 'We truly believe that the Kia EV6 is an embodiment of the new Kia.']"
11,240,11_eqs_eqe_eq_mercedes,"['eqs', 'eqe', 'eq', 'mercedes', 'amg', 'car', 'vehicles', 'benz', 'model', 'luxury']","['The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement.', ""Yeah, the AMG EQS, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made."", ""I'm about to spend the day with the new EQS by Mercedes EQ.""]"
12,203,12_jbl_speaker_speakers_audio,"['jbl', 'speaker', 'speakers', 'audio', 'subwoofer', 'playlists', 'soundbar', 'bass', 'tunes', 'surround']","['For an immersive listening experience, the available 9-speaker JBL premium audio system pumps out tunes in high fidelity.', 'This audio multimedia experience is elevated even further by the available 11-speaker JBL premium audio system, which plays road trip playlists in high fidelity.', 'For an immersive listening experience, the available 11-speaker JBL Premium Audio System offers stunning clarity.']"
13,196,13_ioniq_hyundai_ev_id4,"['ioniq', 'hyundai', 'ev', 'id4', 'vehicle', 'electric', 'modular', 'superchargers', 'egmp', 'design']","['IONIQ 5 Limited has a range of 256 miles with all-wheel drive.', ""We are thrilled to introduce you to Hyundai's first ever IONIQ 5."", ""Now, IONIQ 6 is the newest member of the IONIQ family of electric vehicles, and it's built on the same electric global modular platform as our immensely popular IONIQ 5.""]"
14,189,14_mercedes_benz_car_flagship,"['mercedes', 'benz', 'car', 'flagship', 'coupe', 'class', 'luxury', 'model', 'diesel', 'brand']","[""It's designed just like a love child between a Mercedes-Benz G-Class and a Mercedes-Benz GLS."", 'Absolutely. First of all, the Mercedes-Benz S-Class. We have the all-new Mercedes-Benz S-Class here and the Mercedes-Benz S-Class is the first model that comes to mind as a consumer when we speak of the brand of Mercedes-Benz.', 'Why is that so? Why is the Mercedes-Benz S-Class so special to you?']"
15,178,15_hybrid_sonata_hyundai_elantra,"['hybrid', 'sonata', 'hyundai', 'elantra', 'sedan', 'accord', 'trim', 'engine', 'limited', 'features']","['And the Hybrid Limited, which is the other Elantra we have here.', ""Now, if you like the sporty design on our Sonata Hybrid Limited, then you're going to love the even sportier design on our Sonata N-Line."", 'Now, speaking of trims, both Elantra and Elantra Hybrid come in a range of them.']"
