representation_model,topic,words,weighted_words
llm_anthropic_claude_opus_4_7,-1,Vehicle Safety and Convenience Features,"[[""Vehicle Safety and Convenience Features"", 1.0]]"
llm_anthropic_claude_opus_4_7,0,EV Ownership Experience,"[[""EV Ownership Experience"", 1.0]]"
llm_anthropic_claude_opus_4_7,1,Interior and Seat Design,"[[""Interior and Seat Design"", 1.0]]"
llm_anthropic_claude_opus_4_7,2,EV Charging and Range,"[[""EV Charging and Range"", 1.0]]"
llm_anthropic_claude_opus_4_7,3,Hybrid Powertrain Motor Torque,"[[""Hybrid Powertrain Motor Torque"", 1.0]]"
llm_anthropic_claude_opus_4_7,4,BMW vehicle features and dealerships,"[[""BMW vehicle features and dealerships"", 1.0]]"
llm_anthropic_claude_opus_4_7,5,Vehicle Safety Features and Ratings,"[[""Vehicle Safety Features and Ratings"", 1.0]]"
llm_anthropic_claude_opus_4_7,6,Volvo XC90 and S60 Reviews,"[[""Volvo XC90 and S60 Reviews"", 1.0]]"
llm_anthropic_claude_opus_4_7,7,Driver Assistance and Parking Features,"[[""Driver Assistance and Parking Features"", 1.0]]"
llm_anthropic_claude_opus_4_7,8,Hyundai IONIQ EV Lineup,"[[""Hyundai IONIQ EV Lineup"", 1.0]]"
llm_anthropic_claude_opus_4_7,9,BYD E6 and Kia EV6 Models,"[[""BYD E6 and Kia EV6 Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,10,Nissan Leaf and ProPilot,"[[""Nissan Leaf and ProPilot"", 1.0]]"
llm_anthropic_claude_opus_4_7,11,Smartphone Integration and Infotainment,"[[""Smartphone Integration and Infotainment"", 1.0]]"
llm_anthropic_claude_opus_4_7,12,Audi Model Design Features,"[[""Audi Model Design Features"", 1.0]]"
llm_anthropic_claude_opus_4_7,13,MBUX Hyperscreen Displays,"[[""MBUX Hyperscreen Displays"", 1.0]]"
llm_anthropic_claude_opus_4_7,14,Lexus and Acura Hybrid Models,"[[""Lexus and Acura Hybrid Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,15,EV Design Philosophy and Vision,"[[""EV Design Philosophy and Vision"", 1.0]]"
llm_anthropic_claude_opus_4_7,16,Hyundai Elantra Product Updates,"[[""Hyundai Elantra Product Updates"", 1.0]]"
llm_anthropic_claude_opus_4_7,17,Exterior Styling and Front Grille Design,"[[""Exterior Styling and Front Grille Design"", 1.0]]"
llm_anthropic_claude_opus_4_7,18,Mercedes-Benz EV Models,"[[""Mercedes-Benz EV Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,19,Head-Up Display and Navigation,"[[""Head-Up Display and Navigation"", 1.0]]"
llm_anthropic_claude_opus_4_7,20,Hybrid Vehicle Fuel Economy,"[[""Hybrid Vehicle Fuel Economy"", 1.0]]"
llm_anthropic_claude_opus_4_7,21,Polestar Battery Cell Manufacturing,"[[""Polestar Battery Cell Manufacturing"", 1.0]]"
llm_anthropic_claude_opus_4_7,22,Porsche Taycan and Panamera,"[[""Porsche Taycan and Panamera"", 1.0]]"
llm_anthropic_claude_opus_4_7,23,Vehicle Body and Access Features,"[[""Vehicle Body and Access Features"", 1.0]]"
llm_anthropic_claude_opus_4_7,24,Racetrack EV Performance Testing,"[[""Racetrack EV Performance Testing"", 1.0]]"
llm_anthropic_claude_opus_4_7,25,Steering and Suspension Dynamics,"[[""Steering and Suspension Dynamics"", 1.0]]"
llm_anthropic_claude_opus_4_7,26,Camry trims and wheel options,"[[""Camry trims and wheel options"", 1.0]]"
llm_anthropic_claude_opus_4_7,27,In-car audio and infotainment systems,"[[""In-car audio and infotainment systems"", 1.0]]"
llm_anthropic_claude_opus_4_7,28,Toyota RAV4 Hybrid Trims,"[[""Toyota RAV4 Hybrid Trims"", 1.0]]"
llm_anthropic_claude_opus_4_7,29,Muscle Car Heritage and Reveals,"[[""Muscle Car Heritage and Reveals"", 1.0]]"
llm_anthropic_claude_opus_4_7,30,Mercedes EQ Electric Models,"[[""Mercedes EQ Electric Models"", 1.0]]"
llm_anthropic_claude_opus_4_7,31,ICE Engine Specifications,"[[""ICE Engine Specifications"", 1.0]]"
llm_anthropic_claude_opus_4_7,32,Vehicle Trim Levels and Features,"[[""Vehicle Trim Levels and Features"", 1.0]]"
llm_anthropic_claude_opus_4_7,33,EV Lighting and Headlights,"[[""EV Lighting and Headlights"", 1.0]]"
llm_anthropic_claude_opus_4_7,34,GT3 Racing Cars,"[[""GT3 Racing Cars"", 1.0]]"
llm_anthropic_claude_opus_4_7,35,Toyota Crown Sedan Launch,"[[""Toyota Crown Sedan Launch"", 1.0]]"
llm_anthropic_claude_opus_4_7,36,Chrysler Minivans and Crossovers,"[[""Chrysler Minivans and Crossovers"", 1.0]]"
llm_anthropic_claude_opus_4_7,37,EV Battery Pack Design,"[[""EV Battery Pack Design"", 1.0]]"
llm_anthropic_claude_opus_4_7,38,Acura NSX and Performance Models,"[[""Acura NSX and Performance Models"", 1.0]]"
