Topic,Count,Name,LLM,KeyBERT,POS,MMR,Original_Sentences
-1,3476,-1_car_new_driving_experience,Noise / Outlier,"hybrid, vehicle, car, driving, drive, experience, warranty","car, new, standard, technology","car, new","Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || Plus, a standard 3-month SiriusXM PlatinumPlan trial subscription includes over 165 channels available in Cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. || It'll help you stand out when you're ready to step up. Ready to see for yourself? || And it only gets better on the inside with paddle shifters and redesigned sports seats. || With its refined styling, accelerated performance capabilities, and premium features, the RLX Sport Hybrid delivers the perfect balance of sophistication and muscle."
0,1351,0_bmw_car_mercedes_benz,,"bmw, mercedes, cars, car, vehicles, vehicle, driving, benz, drive, electric","car, class, electric, new, series, cars, driving, vehicle, vehicles","bmw, car, mercedes, benz, class, electric, cars, driving","And the new Mercedes-Benz S-Class delivers on our promise of luxury like none other. || And that's not all. During our trip, I will show you some more amazing Mercedes me features of the new Mercedes-Benz S-Class. || Why is that so? Why is the Mercedes-Benz S-Class so special to you? || Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. || Hey I'm Bradley Hasenmaier and I am thrilled to give you a quick look at the 2020 Acura RLX Sport Hybrid. || I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car."
1,623,1_assist_parking_lane_traffic,,"blind, monitor, safety, parking, detection, driver, driving, view, steering, radar","assist, parking, lane, traffic, view, car, spot, blind, driver","assist, parking, lane, monitor, blind, driver, driving, alert, navigation","Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces. || Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert are designed to bring added peace of mind behind the wheel, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to assist drivers when maneuvering in tight spaces. || Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert is designed to inform the driver if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and available Panoramic View Monitor are designed to assist drivers in tight spaces. || This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims. || Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation. || Available exterior cameras and a host of sensors combine their information and can project a real-time 3D model of the Q8 in its environment on the infotainment screen, providing views never before possible."
2,533,2_led_rear_headlights_grille,,"headlights, lighting, taillights, led, lights, distinctive, style","rear, headlights, grille, light, lights, design, look, lighting","headlights, grille, design, lighting, black, hood, roof, car","The LED headlights are standard and can be upgraded with these adaptive LED headlights, taking over the blue accents of BMW laser light which is emitted. || But whichever Corolla proves the perfect fit, LED exterior lighting is standard, including headlights, tail lights, and daytime running lights. || Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen. || Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill. || And you can really tell that the car's been designed around the driver. || Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard."
3,503,3_horsepower_torque_drive_engine,,"horsepower, motors, torque, motor, drive, engines, hybrid, engine","horsepower, torque, drive, engine, range, electric, motor, power, transmission","horsepower, torque, engine, range, electric, motor, transmission, kilometers, liter","Now, Elantra N Line steps up the performance with a 1.6-liter turbocharged four-cylinder engine that produces 201 horsepower and 195 pound-feet of torque with a seven-speed dual-clutch transmission. || The dual-motor all-wheel-drive models kick the power up a notch with 320 horsepower and 446 pound-feet of torque. || This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque. || The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. || Now this thing is fun to drive. It has a whopping 377 total system horsepower. || The 3.0-liter V6 engine in the Q8 boasts an impressive 335 horsepower, 369 pound-feet of torque, and can go from 0 to 60 in 5.6 seconds."
4,502,4_charging_charge_battery_charger,,"charging, charge, charger, charged, recharge, chargers, battery, level, plug, volt","charging, charge, battery, charger, fast, level, volt, minutes, home, stations","charging, charge, charger, fast, level, volt, dc, home, stations, plug","To leverage that range, just charge it up. This can be done using the standard Level 1 charging cable connected to a regular wall outlet, or via an available 240-volt Level 2 charging solution, which brings the estimated charge time down to around 2.5 hours. || While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed. || So I see all the charging stations here. I know where to charge based off that. || The ability to get a full tank or charge right at home is a feature where we'll one day think, wait, we used to regularly drive somewhere else for this? || Weird. and there are many home charging options to fit your needs. || There's the included 9.6 kilowatt mobile plug-in charger, an available home installation charger, or even an available 19.2 kilowatt charging capability that includes charge ports on both sides."
5,338,5_seats_seat_space_rear seats,,"seats, seating, passengers, seat, cargo, spacious, occupants, trunk, rear, passenger","seats, seat, space, rear, heated, cargo, passengers, trunk, comfort","seats, space, rear, heated, cargo, passengers, trunk, comfortable, cubic, seating","Limited has ventilated front seats, available heated rear seats, along with a power back door. || Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips. || and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs. || And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. || Ooh, it's very comfy. I've got fantastic leg room up here and leg room in the back for my friends and my passengers. || Christian any changes here and what what's the the volume we can offer the volume says Christian has remained unchanged and depending on whether you've got the rear seat folded down or not we can offer anything between 550 liters all the way up to 1,500 liters in trunk capacity with the rear seats folded down I'd just like to mention we've got the rear seat bench plus that can be adjusted quite to your needs and you can"
6,284,6_interior_leather_materials_seats,,"interior, inside, design, architecture, luxurious, environment, luxury, upholstery, comfort","interior, leather, materials, seats, trim, design, upholstery, material, new, luxury","interior, leather, materials, seats, trim, design, upholstery, material, luxury, stitching","Plus, XSE offers two unique interior choices, including a red and black two-tone leather-trimmed interior with red stitching. || The interior design adds to a sporty, in-command driving experience. With the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor, it creates one of the four interior themes. || And then we progressed to the interior, and we said the same thing. || And then when you go to the interior it only gets better. || Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather. || The interior retains the same distinct design as its predecessor, an orchestration of shape, material, light and sound."
7,273,7_ride_hello_happy_world,,"excited, happy","ride, event",filtered_topic_terms_unavailable,"Scott, how was that ride? Chad, that ride was exhilarating. It felt confident and fun, yet comfortable all at the same time. || So after saying hello Europe, today in this event we start to say hello world. || I sure do. Hello, everyone, and thank you for joining our live stream. || And if you have any questions at all feel free to give us a call right here and we'll get those questions answered for you. || But this is not going to be a one-way communication. No, we want to engage in a dialogue with you. || Together, we're all All available after the presentation for your Q&As."
8,271,8_kia_ev6_india_ev,,"ev6, kia, ev, hyundai, ev9, ev4, e6, evs, vehicles, vehicle","new, sales, vehicles, performance, vehicle, edition","kia, ev6, ev, india, hyundai, ev9, evs, ev4, sales","We truly believe that the Kia EV6 is an embodiment of the new Kia. || When you drive an EV6, you will not just be driving one of Kia's most inventive designs. || The EV6 GT is the latest vehicle in the complete reimagining of the Kia brand in the U.S. and around the world. || And I can tell you, all model variants will meet the Euro 6D emission standard. || BYD has been sharpening the sword for 10 years now in the development of the next generation E6. || The E6 offers generous storage space with 580 liters of storage capacity."
9,269,9_amg_eqs_eqe_mercedes,,"mercedes, eqs, eqe, amg, eq, car, vehicles, benz, coupe, luxury","new, hyperscreen, door, electric, performance, car, luxury, coupe, air","amg, eqs, eqe, mercedes, gt, eq, sl, hyperscreen, door, performance","The Mercedes-AMG EQS is a new vision for the future of high performance and embodies the motorsports heritage of AMG while delivering a rush of all-electric excitement. || Yeah, the AMG EQS, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made. || I'm about to spend the day with the new EQS by Mercedes EQ. || With one click, you can return to the main menu from anywhere in the system. || can see i'm running into xDrive snowy mountains plus the M Sport because i really love driving myself Joy what are your highlights in terms of design on the new 3 Series? || The elegant aesthetic of the rear apron is underlined through a horizontal galvanized accent trim."
10,257,10_customers_product_brand_customer,,"hire, leader, culture, customers","customers, product, new, products",customers,"Is it relevant? Does it make the product better? Because ultimately we need to deliver the most engaging end product we can to the customer. || Indeed, I can tell you that the entire team has really put genuine care to create a product that our customers would truly love. || We work a lot with freelancers, but... that is even make us a little bit more sometimes working with freelancers make a little bit more hard because you need to make they feel part of the company and understand the you know the culture of the company and your goals as a leader as well when is your team you're working. || You work as a team, but of course there's also a designer who, so to say, is in charge for that product upgrade. || How can we imagine how this works? How has the team work done. || Is everybody responsible for one particular segment or have you got a democratic vote at the end?"
11,212,11_elantra_sonata_hyundai_accord,,"hybrid, hyundai, elantra, sonata, sedan, trims, accord, vehicles, trim, 2021","hybrid, new, design, steel, strength, advanced, technology, vehicles, look","elantra, sonata, hyundai, accord, hybrid, camry, mirai, design, 2021, steel","This is the all-new, completely redesigned 2021 Hyundai Elantra. Elantra is our popular compact sedan, and in its seventh generation, as you'll see, the upgrades and enhancements are everywhere. || So there we have it, the 2024 Hyundai Elantra and the 2024 Hyundai Elantra Hybrid with their sleek, refreshed styling, driver-oriented interior, user-friendly tech, and impressive safety features. These two sedans have something for just about everyone. || Now, speaking of trims, both Elantra and Elantra Hybrid come in a range of them. || So here on the side of the 2020 Q7, you'll notice that the overall silhouette has remained unchanged from the 2019 model except for the side skirt has been redesigned to make it a little bit more chiseled, a little bit more sporty. || So the C2 becomes the Nevada. Everybody at Rimac hopes that the Navera will live up to its name. || Now let's go to the production line and check out the evolution from the C2 to the Navera."
12,210,12_steering_rear_car_aerodynamics,,"steering, rear, steer, axle, turning, traction, vehicle, turn","steering, rear, car, aerodynamics, axle, aerodynamic, stability, speeds","steering, rear, car, axle, aerodynamic, stability, speeds, efficiency","Yeah, so around these turns, the rear axle steering helps you get just a little bit more responsive turn in for the car. || Nice. Wow, I can feel the rear steer. We have 10 degree rear axle steering standard which is really great for stability at high speeds and then also awesome for parking. || Yeah, so at the rear axle, we've got rear axle steering. It's 9 degrees, which is a really big number for rear axle steering. || The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too. || The available all-wheel steering system helps connect the driver to the road. || Rear wheel steering can turn the rear wheels up to five degrees, decreasing turn radius, easing parking, and increasing agility and higher speeds."
13,195,13_rav4_rav4 prime_prime_hybrid,,"rav4, toyota, hybrid, ev, suv, standard, prime, rear","hybrid, available, road, standard, edition, grade, plug, black","rav4, hybrid, trd, toyota, standard, black, nightshade, woodland","As a result, RAV4 Prime is among the quickest Toyota vehicles available. || And it quickly becomes clear that RAV4 Prime lives up to its name. Visit toyota.com slash RAV4 Prime to learn more. || And now, let's just do it again. The 2021 RAV4 Prime is the most powerful RAV4 ever. || Some standard features on the A4 include LED headlights with high beam assist and tail lights with dynamic turn signals, kick to release trunk, 10.1 inch center touch screen display with Apple CarPlay and Android Auto, full leather seating surfaces with heated front seats and much, much more. || The chassis has been developed by world chassis expert Heinz Keck and features front MacPherson struts and rear multi-link suspension, giving the next generation E6 precise control and agility. || cooling in the rear and everything developed bespokely for the Nevada. Here we can see one of the final pre-series cars and all of them have a planned life."
