Topic,Count,Name,Representation,Representative_Docs
-1,3515,-1_brand_car_new_drive,"['brand', 'car', 'new', 'drive', 'design', 'vehicle', 'performance', 'look']","[""With Brand Motors Europe as our Virtual Fleet Lounge partner, we present today the all-new Brand Model range. And our guest is Mr. Mark Howlett, Fleet Sales Manager, Brand Motors Europe. He will explain why Brand can be a perfect choice for your corporate fleet program by presenting the all-new Brand Model range, composed among others of the Brand Model Sport Wagon and the Model PH EV, Brand 's first plug-in hybrid model."", 'The new Brand Model represents technological Brand, or Brand of Technology, which is a traditional term associated with Brand in Japanese language, and this is definitely a great opportunity of which we intend to make the most. While the current Brand Model was the EV pioneer, the new Brand Model has the real potential to become the core of the company. The new Brand Model will drive the Brand Intelligent Mobility forward.', ""Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. All grades also come with trials to Brand 's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect.""]"
0,886,0_brand_model_car_new,"['brand', 'model', 'car', 'new', 'design', 'customers', 'best', 'sedan']","['The new Brand Model is the next step in transforming the Brand brand into what many of us at General Motors over the last 10 years have hoped that we could make the Brand brand be. Are we going to unveil this car together? We are.', ""The new Brand Model isn't just another car, it's a better car. And to show you how, we've invited a Brand Model owner to come and take it for a test drive to see for herself how the new Model makes every mile better."", 'There was huge interest when the all-new Brand Model was unveiled to the world press. This car is the start signal for a new era for Brand cars and the Brand brand, where design, technology, environmental performance and safety are at a new, higher level. Brand is well known to everybody, but now they see Brand developing in direction, bringing in high-tech, very advanced solutions and technology, really to strengthen our brand.']"
1,833,1_hybrid_engine_model_horsepower,"['hybrid', 'engine', 'model', 'horsepower', 'electric', 'battery', 'torque', 'range', 'motor']","[""Set for a spring 2009 release, the 2010 Brand Model Hybrid hopes to answer the fuel-efficient gauntlet thrown down by Brand. The Model is Brand 's response to the Brand Model, and like the Model, is expected to receive over 40 miles per gallon for both city and highway driving. The Model uses a complete gas-electric hybrid system and features a 1.3-liter, 98-horsepower, 4-cylinder engine paired to an electric motor."", ""A spirited 2.0-liter, 147-horsepower, 4-cylinder comes standard under the hood. If you're looking for better fuel economy that doesn't come at the expense of power, there's an available EcoTrim with a 1.4-liter turbo GDI engine with 7-speed dual-clutch transmission that delivers 128 horsepower and up to an EPA-estimated 40 miles per gallon highway."", 'The hybrid Model features a 1.6-liter GDI Atkinson cycle 4-cylinder engine coupled with a permanent magnet electric motor powered by a lithium-ion polymer battery located under the rear seats. Together, the motor and engine deliver plenty of power and torque for spirited performance. The high-efficiency electric motor has a pure electric driving mode that delivers instant torque at lower speed and power-assisted acceleration at higher speeds.']"
2,565,2_audio_available_carplay_wireless,"['audio', 'available', 'carplay', 'wireless', 'touchscreen', 'smartphone', 'standard', 'key']","['Every grade comes with the latest Brand Audio Multimedia platform with an 8-inch touchscreen on SE or a 10.5-inch touchscreen on XSE. Both versions include standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', 'Brand Model features the newest technologies from Brand. Every grade comes standard with the latest Brand Audio Multimedia platform with a 12.3-inch touchscreen, and includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.', ""That's complemented by the latest Brand Audio Multimedia interface, which has a standard 8-inch touchscreen or an available 12.3-inch touchscreen. In either case, the latest system includes standard wireless compatibility for Apple CarPlay, which connects drivers to the apps on their iPhone, including maps, messages, podcasts, and music subscriptions. In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps.""]"
3,551,3_rear_grille_design_car,"['rear', 'grille', 'design', 'car', 'light', 'model', 'look', 'headlights', 'new']","[""Elements like that elongated, wide, sporty front grille, that elegant swooping hood, and those stunning full LED headlights that include daytime running lights that I love. This seamlessly integrates into the main vehicle body. Now, speaking of that vehicle body, you're gonna notice aggressive curves and sleek lines that embody that sport coupe design influence."", ""Up front, you see the LED headlights and LED daytime running lights that create a futuristic yet retro look and are a signature part of Model 's brand design. You can also see this design in way more than just the headlights as we take a look at the side mirrors and the outer door handles."", 'The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood. Similar to the show cars from the last few years, the V-Motion grille is dominant and sets up the big rearward movement of the design itself, drawing your eyes from this wonderful hood through the cabin and off the rear of the car.']"
4,541,4_electric_brand_model_vehicles,"['electric', 'brand', 'model', 'vehicles', 'new', 'vehicle', 'car', 'cars', 'future']","['And that is why the Brand Motor Group has invested significantly in advancing electrification throughout its lineup. You have already seen our commitment to electrification in our newest model hybrids, plug-in hybrids, and battery electric vehicles, as well as fuel cell powertrains. The market response to our efforts has been great.', 'Today, there are a lot of claims in this space, but no automaker knows more about customers of electrified vehicles than Brand. Our first dedicated electric car came to the market two decades ago. Our first fuel cell vehicle more than 15 years ago.', 'So everything started with three hybrids and when did the idea of a full electric Brand come alive? The next step was for us to use that experience and we built up a demonstrator. It was a Boxster E, so an all-electric car.']"
5,520,5_assist_safety_lane_parking,"['assist', 'safety', 'lane', 'parking', 'spot', 'alert', 'collision', 'blind', 'traffic']","[""To that end, the latest Brand Safety Sense 3.0 Suite offers great peace of mind and confidence through features like a Pre-Collision System, Lane Departure Alert, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. There's also standard Blind Spot Monitor with Rear Cross-Traffic Alert, as well as an available Bird's Eye View Camera with Perimeter Scan, and available Front and Rear Parking Assist with Automated Braking."", 'Every grade comes standard with Brand Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. On top of that, Blind Spot Monitor with Rear Cross-Traffic Alert is also standard in both grades.', 'Model brings peace of mind thanks to the standard Brand Safety Sense 3.0, a standard system of active safety and driver assistance features that includes pre-collision system with pedestrian detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and Proactive Driving Assist. Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert provides an additional layer of assistance on the road.']"
6,410,6_charging_charge_stations_fast,"['charging', 'charge', 'stations', 'fast', 'level', 'charger', 'volt', 'model', 'plug', 'station']","['With a Level 2 charger, your Brand Model electric vehicle will charge to 80% in approximately 2 hours and 50 minutes, and your Brand plug-in hybrid will charge to 100% in approximately two and a half hours. DC fast charging, sometimes referred to as Level 3, delivers direct current, or DC, to the battery to drastically reduce charging time. In fact, DC fast charging makes it possible to reach an 80% charge in your Model in approximately 36 minutes.', 'There are several ways you can charge your Brand Model at home. Brand recommends Level 2 charging using the wall-mounted Brand i charging station designed to complement your Brand i-vehicle, which reduces charging time for the Brand Model to around three and a half hours. Now this station and other Level 2 home charging stations charge your Brand Model at 240 volts from the convenience of your own home.', ""There are several ways to charge your Brand Model 's high voltage battery, giving you a variety of convenient home and public charging options. Level 2 charging from a Level 2 home or public charging station, Level 1 charging from the occasional use cable, which comes with every Brand Model vehicle, or DC charging from a DC charging station. Let's take a closer look at each of these.""]"
7,393,7_filtered_topic_terms_unavailable,['filtered_topic_terms_unavailable'],"[""Well, hey, good evening. Welcome to, um... Fantasyland no welcome to a great a great opportunity for us to be together. I've been talking a little bit about RAV tonight."", ""Happy to be here. Well, thanks for joining us. We're really excited to be talking to you today."", ""I said, my God, we won't be doing that this afternoon. He said, I got the line a little bit wrong. He said, this afternoon, we're going to take it further to the right.""]"
8,340,8_seats_seat_space_rear,"['seats', 'seat', 'space', 'rear', 'heated', 'cargo', 'interior', 'comfort', 'model']","['After the seat reclines, the seat can be adjusted through the seat adjustment switch. The second row multi-stage latch function is applied to the rear seats. Pulling the lever on the rear seats moves the seat back slightly, allowing each passenger to adjust their seating posture.', 'Inside, Model strikes a perfect balance between convenience and comfort. This can be seen in a number of features, including an available dual-zone climate control system, rear seat AC vents that are now standard for 2022, a center console with spacious storage, 60-40 split folding and reclining rear seats, as well as available heated and ventilated front seats and heated outboard rear seats.', 'Model continues to strike the perfect balance between convenience and comfort for 2023, which can be seen in features like its available dual-zone climate control system, available heated and ventilated front seats, and heated outboard rear seats, a center console with spacious storage, AC vents for backseat occupants, and 60-40 split folding and reclining rear seats.']"
