Topic,Count,Name,LLM,KeyBERT,POS,MMR,LLM_Status,LLM_Model,Prompt_Status,Prompt
-1,4223,-1_car_new_vehicle_driving,Noise / Outlier,"cars, vehicle, car, toyota, mustang, driving, accord, drive, hybrid, driver","car, new, driving, design, fuel, driver","car, new",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: -1
Keywords: -1_car_new_vehicle_driving
Representative snippets:
- We'll have to make a new one soon because there's more to come.
- But at the same time, it's not stuffy. You know, the car is not stuffy.
- But once the car is done, it will take a lot of time.
- The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too.
- I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car.
- Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel.

Topic label:
"
0,4058,0_new_car_bmw_design,,"lexus, volvo, car, bmw, customers, vehicle, design, new","new, car, cars","car, bmw",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 0
Keywords: 0_new_car_bmw_design
Representative snippets:
- For example, the new BMW X1 plug-in hybrid and the BMW X2 and the electrified BMW 3 Series Touring will be attractive additions to our wide range.
- This is what the BMW 5 Series is all about. This is the new BMW 5 Series.
- I know, why is that? Yeah, I only see you at the car show.
- It'll help you stand out when you're ready to step up. Ready to see for yourself?
- And you can really tell that the car's been designed around the driver.
- Ready to see for yourself? Let's go. I need my car to look great.

Topic label:
"
1,785,1_rear_steering_suspension_speed,,"rear, steering, chassis, motor, vehicle, drive, driving","rear, steering, car, suspension, speed, transmission, drive","rear, steering, car, suspension, speed, transmission",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 1
Keywords: 1_rear_steering_suspension_speed
Representative snippets:
- And it shows in some of the technical choices we've made. For example, the IONIQ Hybrid and Plug-in Hybrid employ a 6-speed dual-clutch transmission and multi-link rear suspension.
- But the 2018 model delivers even better ride and responsive driving dynamics with recalibrated steering and updated rear suspension with re-engineered rear trailing arms.
- The rear wheel steering turns the rear wheels up to 5 degrees.
- Hopefully something for everybody. I noticed that the car definitely stays planted when I'm cornering like this.
- Are there any suspension improvements that were made? This vehicle does have amplitude reactive dampers to help to keep the body flat and keep control over the bumps.
- Absolutely. Quite a few things, starting from the aerodynamics of the car, not only the overall shape, but things like the underbody covers that are designed to help air slip through the bottom of the vehicle, all the way to things like tires, having the right rubber compound for minimum rolling resistance, and then things like transmission tuning, engine tuning, all done for maximum fuel economy.

Topic label:
"
2,777,2_electric_engine_horsepower_torque,,"horsepower, engine, turbocharged, engines, motor, motors, tesla, v6, car, electrification","electric, engine, horsepower, torque, power, liter, battery, cylinder, motor, car","electric, engine, horsepower, torque, liter, battery, cylinder, motor, fuel, vehicle",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 2
Keywords: 2_electric_engine_horsepower_torque
Representative snippets:
- The primary electric motor up front develops 129 horsepower or 96 kilowatts and 184 pound-feet of torque for a combined system horsepower and torque rating of 357 and 420 pound-feet respectively.
- Like the Active Hybrid 7, the electric motor can generate additional horsepower and torque to supplement the combustion engine under acceleration.
- This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.
- The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine.
- Now this thing is fun to drive. It has a whopping 377 total system horsepower.
- The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one.

Topic label:
"
3,652,3_seat_seats_door_cargo,,"trunk, cargo, seats, passengers, seat, compartment, seating, cabin, storage, luggage","seat, seats, door, cargo, rear, space, trunk, storage, carbon, leather","seats, door, cargo, rear, space, trunk, leather, fiber, interior",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 3
Keywords: 3_seat_seats_door_cargo
Representative snippets:
- The rear seats in the i3 can be folded down to increase the cargo area.
- So you have carbon fiber in the door panel, carbon fiber beams with aluminum panels.
- Now, it's not just about having a back seat. It's about the ability to fold down the back seat and have some actual cargo space.
- And it only gets better on the inside with paddle shifters and redesigned sports seats.
- And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat.
- Beautifully stitched, beautiful leather. These seats, 12-way adjustable, heated and ventilated, soft Milano leather.

Topic label:
"
4,595,4_display_navigation_screen_voice,,"smartphone, android, mobile, apps, touchscreen, displays, screen, app, navigation, apple","display, navigation, screen, voice, phone, information, smartphone, control","navigation, screen, voice, phone, carplay, apple, android, smartphone",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 4
Keywords: 4_display_navigation_screen_voice
Representative snippets:
- Apple CarPlay or Android Auto offer a more seamless integration of your personal smartphone.
- You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays.
- For example, one new feature is the display of smartphone navigation apps in the instrument cluster and the head-up display.
- Absolutely. The key point of the driver is to drive, but we understand that connectivity and entertainment are high priorities, so we try to put the features and the controls where they need to be that's more easily usable.
- This is the world debut of the interior we call the human support cockpit because it's designed from the driver out, seamlessly integrating beautiful design and supercar performance.
- It's a version of Audi's MMI touch used in other Audi vehicles of late.

Topic label:
"
5,491,5_lane_assist_mode_braking,,"safety, driving, vehicle, braking, steering, driver, traffic, lane, parking, alerts","lane, assist, mode, braking, brake, traffic, blind, spot, collision","lane, assist, braking, traffic, collision, camera, pedal, parking, detection, driver",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 5
Keywords: 5_lane_assist_mode_braking
Representative snippets:
- Technology is also used to deliver comprehensive safety by offering an entire suite of advanced active safety features, such as automatic emergency braking with pedestrian detection, lane departure warning, and blind spot detection with rear cross traffic alert.
- Serious technology like 37 square feet of airbags, blind spot monitoring, rear cross path detection, park assist, adaptive cruise control with full stop, electronic stability control, forward collision warning with full stop, lane departure warning, and even pedestrian automatic emergency braking.
- I like that. You also get advanced safety technology. It offers standard blind spot detection with rear cross traffic alert and available automatic emergency braking, lane keep assist, and rear parking assistance system.
- This package includes forward collision warning, collision mitigation braking, lane departure warning, lane keeping assist, road departure mitigation and adaptive cruise control, standard across all trims.
- Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation.
- The available Adaptive Cruise Assist can help ease the stress of the road at normal highway speeds with active lane sensing, stop and go, and lane centering steering guidance.

Topic label:
"
6,438,6_charging_charge_taycan_charger,,"charging, charger, charge, charged, outlet, bmw, car, plug, battery, vehicle","charging, charge, charger, stations, station, battery, volt, hours, car, cable","charging, charge, taycan, charger, stations, volt, porsche, cable",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 6
Keywords: 6_charging_charge_taycan_charger
Representative snippets:
- Now this station and other Level 2 home charging stations charge your BMW i3 at 240 volts from the convenience of your own home.
- Level 2 charging stations are currently the most common public charging stations available.
- For standard charging, use the occasional use cable. Select Level 1. This level is for charging using any dedicated three-prong, 120-volt standard household outlet.
- You can see from that symbol to the top left there. Parking information will now also indicate the probability of finding a parking space along the road.
- This is full throttled and fully connected. This is a new way to drive with high-speed charging capabilities and with the full backing of a global dealer network.
- By July of 2019, Electrify America will have nearly 500 fast-charging sites complete or under development throughout 40 states and 17 top metro markets.

Topic label:
"
7,366,7_led_grille_light_lights,,"headlights, taillights, lighting, lights, led, design","grille, light, lights, headlights, kidney, rear, design","led, lights, headlights, kidney, rear, roof, laser",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 7
Keywords: 7_led_grille_light_lights
Representative snippets:
- Available LED headlights have an undercut design with a more focused look, while the single-frame grille adds depth to the front.
- and of course you can see on the left you can see all the lights, but also the three of them in general also have LED, full LED lights.
- The roof pillars are slimmer and the headlights more streamlined, and the available LED headlamps and daytime running lights combine with a signature grille design to emphasize the front-end width and the very low hood.
- Let's go. When you get to the ILX, you really see some style with these sharp July LED headlights and that bold pentagon grill.
- Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard.
- I went and put them on brights. it was like full moon.

Topic label:
"
8,348,8_interior_materials_design_colors,,"interior, inside, design, materials, luxury, surfaces, sculpture","interior, materials, design, colors, color, surfaces, premium, beautiful","interior, materials, design, colors, inside, surfaces, premium, beautiful",not_used,not_used,LLM topic naming disabled by user request; no prompt was submitted.,"[NOT SENT]
System:
You label BERTopic topics for an electric vehicle research corpus. Return one concise English topic label, 2 to 6 words. Prefer EV meaning when present. Do not explain.

User:
Topic ID: 8
Keywords: 8_interior_materials_design_colors
Representative snippets:
- On the inside, we've improved the design of the interior and the materials.
- And if you talk about the interior, The interior is like the upper exterior layer.
- So, let's see. In the interior, no, not in the interior. You can see the interior when we're here.
- And then when you go to the interior it only gets better.
- It is a beautiful design. Yes. John and Kate and his design team did an excellent job.
- As we go through paint, we have a combination of robotics and manual application in order to achieve the finish that this level of customer expects.

Topic label:
"
