representation_model,topic,words,weighted_words
llm_openai_gpt_5_5,-1,"LLM label unavailable: the, and, to, of, in, is, you, it, that, with","[[""LLM label unavailable: the, and, to, of, in, is, you, it, that, with"", 1.0]]"
llm_openai_gpt_5_5,0,"LLM label unavailable: we, it, you, to, that, and, of, this, the, in","[[""LLM label unavailable: we, it, you, to, that, and, of, this, the, in"", 1.0]]"
llm_openai_gpt_5_5,1,"LLM label unavailable: interior, seat, seats, the, and, of, leather, in, it, is","[[""LLM label unavailable: interior, seat, seats, the, and, of, leather, in, it, is"", 1.0]]"
llm_openai_gpt_5_5,2,"LLM label unavailable: charging, charge, you, range, miles, can, to, it, the, charger","[[""LLM label unavailable: charging, charge, you, range, miles, can, to, it, the, charger"", 1.0]]"
llm_openai_gpt_5_5,3,"LLM label unavailable: electric, torque, hybrid, motor, the, pedal, power, battery, drive, engine","[[""LLM label unavailable: electric, torque, hybrid, motor, the, pedal, power, battery, drive, engine"", 1.0]]"
llm_openai_gpt_5_5,4,"LLM label unavailable: bmw, series, tour, of, grand, the, new, kidney, and, is","[[""LLM label unavailable: bmw, series, tour, of, grand, the, new, kidney, and, is"", 1.0]]"
llm_openai_gpt_5_5,5,"LLM label unavailable: sonata, hyundai, safety, the, and, features, to, elantra, now, with","[[""LLM label unavailable: sonata, hyundai, safety, the, and, features, to, elantra, now, with"", 1.0]]"
llm_openai_gpt_5_5,6,"LLM label unavailable: volvo, xc90, s60, new, the, and, we, car, our, safety","[[""LLM label unavailable: volvo, xc90, s60, new, the, and, we, car, our, safety"", 1.0]]"
llm_openai_gpt_5_5,7,"LLM label unavailable: assist, parking, lane, spot, you, blind, driver, traffic, alert, the","[[""LLM label unavailable: assist, parking, lane, spot, you, blind, driver, traffic, alert, the"", 1.0]]"
llm_openai_gpt_5_5,8,"LLM label unavailable: ioniq, hyundai, and, the, to, with, charging, of, for, you","[[""LLM label unavailable: ioniq, hyundai, and, the, to, with, charging, of, for, you"", 1.0]]"
llm_openai_gpt_5_5,9,"LLM label unavailable: kia, ev6, ev, of, our, the, in, to, gt, india","[[""LLM label unavailable: kia, ev6, ev, of, our, the, in, to, gt, india"", 1.0]]"
llm_openai_gpt_5_5,10,"LLM label unavailable: nissan, leaf, aria, altima, you, new, propilot, your, to, the","[[""LLM label unavailable: nissan, leaf, aria, altima, you, new, propilot, your, to, the"", 1.0]]"
llm_openai_gpt_5_5,11,"LLM label unavailable: your, apple, carplay, android, you, smartphone, can, and, phone, auto","[[""LLM label unavailable: your, apple, carplay, android, you, smartphone, can, and, phone, auto"", 1.0]]"
llm_openai_gpt_5_5,12,"LLM label unavailable: audi, tron, the, quattro, of, q8, light, and, a7, a3","[[""LLM label unavailable: audi, tron, the, quattro, of, q8, light, and, a7, a3"", 1.0]]"
llm_openai_gpt_5_5,13,"LLM label unavailable: screen, mbux, display, the, and, console, you, center, control, hyperscreen","[[""LLM label unavailable: screen, mbux, display, the, and, console, you, center, control, hyperscreen"", 1.0]]"
llm_openai_gpt_5_5,14,"LLM label unavailable: lexus, nx, the, and, new, to, of, with, ux, ls","[[""LLM label unavailable: lexus, nx, the, and, new, to, of, with, ux, ls"", 1.0]]"
llm_openai_gpt_5_5,15,"LLM label unavailable: electric, to, cars, ev, we, that, our, be, car, in","[[""LLM label unavailable: electric, to, cars, ev, we, that, our, be, car, in"", 1.0]]"
