Topic,Count,Name,Representation,Representative_Docs
-1,3476,-1_hybrid_vehicle_car_driving,"['hybrid', 'vehicle', 'car', 'driving', 'drive', 'experience', 'warranty']","[""Plus, there's a standard 3-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."", ""Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."", 'Plus, a standard 3-month SiriusXM PlatinumPlan trial subscription includes over 165 channels available in Cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more.']"
0,1351,0_bmw_mercedes_cars_car,"['bmw', 'mercedes', 'cars', 'car', 'vehicles', 'vehicle', 'driving', 'benz', 'drive', 'electric']","['And the new Mercedes-Benz S-Class delivers on our promise of luxury like none other.', ""And that's not all. During our trip, I will show you some more amazing Mercedes me features of the new Mercedes-Benz S-Class."", 'Why is that so? Why is the Mercedes-Benz S-Class so special to you?']"
1,623,1_blind_monitor_safety_parking,"['blind', 'monitor', 'safety', 'parking', 'detection', 'driver', 'driving', 'view', 'steering', 'radar']","['Plus, driver assistance features like the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert brings added convenience behind the wheel, while available technologies like the front and rear parking assist with automatic braking and the panoramic view monitor help enhance driver confidence when maneuvering in tight spaces.', 'Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert and Safe Exit Alert are designed to bring added peace of mind behind the wheel, while the available Front and Rear Parking Assist with Automatic Braking and Panoramic View Monitor are designed to assist drivers when maneuvering in tight spaces.', 'Additionally, the standard Blind Spot Monitor with Rear Cross-Traffic Alert is designed to inform the driver if a vehicle has entered a blind spot, while the available Front and Rear Parking Assist with Automatic Braking and available Panoramic View Monitor are designed to assist drivers in tight spaces.']"
2,533,2_headlights_lighting_taillights_led,"['headlights', 'lighting', 'taillights', 'led', 'lights', 'distinctive', 'style']","['The LED headlights are standard and can be upgraded with these adaptive LED headlights, taking over the blue accents of BMW laser light which is emitted.', 'But whichever Corolla proves the perfect fit, LED exterior lighting is standard, including headlights, tail lights, and daytime running lights.', 'Regardless of grade, though, all Camry models offer standard LED daytime running lights and LED tail lights, as well as available LED headlights with black accents that help drivers not just see, but be seen.']"
3,503,3_horsepower_motors_torque_motor,"['horsepower', 'motors', 'torque', 'motor', 'drive', 'engines', 'hybrid', 'engine']","['Now, Elantra N Line steps up the performance with a 1.6-liter turbocharged four-cylinder engine that produces 201 horsepower and 195 pound-feet of torque with a seven-speed dual-clutch transmission.', 'The dual-motor all-wheel-drive models kick the power up a notch with 320 horsepower and 446 pound-feet of torque.', 'This particular engine is a 1.5 liter turbocharged three-cylinder when combined with a big traction motor puts out 536 horsepower and 550 pound-feet of torque.']"
4,502,4_charging_charge_charger_charged,"['charging', 'charge', 'charger', 'charged', 'recharge', 'chargers', 'battery', 'level', 'plug', 'volt']","['To leverage that range, just charge it up. This can be done using the standard Level 1 charging cable connected to a regular wall outlet, or via an available 240-volt Level 2 charging solution, which brings the estimated charge time down to around 2.5 hours.', 'While many electrified vehicle owners opt to do most of their charging at home with either a Level 1 or professionally installed Level 2 charging unit, public charging stations are widely available for charging away from home, adding the peace of mind that comes with being able to replenish your battery charge whenever needed.', 'So I see all the charging stations here. I know where to charge based off that.']"
5,338,5_seats_seating_passengers_seat,"['seats', 'seating', 'passengers', 'seat', 'cargo', 'spacious', 'occupants', 'trunk', 'rear', 'passenger']","['Limited has ventilated front seats, available heated rear seats, along with a power back door.', 'Plus, features like available SofTex-trimmed heated and ventilated front seats, unavailable 8-way power adjustable driver seat, and available heated rear seats maximize comfort for all occupants, particularly on long trips.', ""and the rear seats are 60-40 split folding, so there's 57 cubic feet of max cargo space available for all your on-the-go needs.""]"
6,284,6_interior_inside_design_architecture,"['interior', 'inside', 'design', 'architecture', 'luxurious', 'environment', 'luxury', 'upholstery', 'comfort']","['Plus, XSE offers two unique interior choices, including a red and black two-tone leather-trimmed interior with red stitching.', 'The interior design adds to a sporty, in-command driving experience. With the seats in shotgun nappa leather and nubuck textile, and the cutting-edge aluminum decor, it creates one of the four interior themes.', 'And then we progressed to the interior, and we said the same thing.']"
7,273,7_excited_happy,"['excited', 'happy']","['Scott, how was that ride? Chad, that ride was exhilarating. It felt confident and fun, yet comfortable all at the same time.', 'So after saying hello Europe, today in this event we start to say hello world.', 'I sure do. Hello, everyone, and thank you for joining our live stream.']"
8,271,8_ev6_kia_ev_hyundai,"['ev6', 'kia', 'ev', 'hyundai', 'ev9', 'ev4', 'e6', 'evs', 'vehicles', 'vehicle']","['We truly believe that the Kia EV6 is an embodiment of the new Kia.', ""When you drive an EV6, you will not just be driving one of Kia's most inventive designs."", 'The EV6 GT is the latest vehicle in the complete reimagining of the Kia brand in the U.S. and around the world.']"
