topic,rank,representative_text
-1,1,"Today we introduce the Honda Clarity line. We have a fuel cell powered Clarity, a pure battery electric Clarity, and a plug-in hybrid."
-1,2,"The Clarity fuel cell, Clarity electric, and Clarity plug-in hybrid. Today, there are a lot of claims in this space, but no automaker knows more about customers of electrified vehicles than Honda."
-1,3,"The Clarity Fuel Cell, Clarity Electric, and Clarity Plug-in Hybrid. Today, there are a lot of claims in this space, but no automaker knows more about customers of electrified vehicles than Honda."
-1,4,"Along with the Accurate team and Global Honda, I am excited about this new model and I sincerely hope our customers around the world will share our passion. Thank you."
-1,5,"It also contains the battery pack, electronics, chassis and suspension components, and crash structures."
-1,6,"You can also visit all of them. You can find them in the article in the description box below, and you can also visit them on the website as well."
0,1,It also happens to be electric. The new Leaf is the future of Nissan.
0,2,We'll have to make a new one soon because there's more to come.
0,3,"Now our engine is mated with an all-new nine-speed dual-clutch transmission of our own design, which houses a electric motor at the rear, directly driving the rear wheels."
0,4,My weekend was absolutely fabulous. I felt like a celebrity. I don't want it to end.
0,5,"The handling was spectacular, I thought. Handles really well. Like no money in my boxcar."
0,6,He was having far too much fun. All the technology is easy to use.
1,1,"It's a lot more fun to drive and it was just a great experience all around. The 2018 Hyundai Sonata, our best Sonata ever."
1,2,"How can you beat that? The 2018 Hyundai Sonata, our best Sonata ever."
1,3,"I had a really great time, and I can't wait to jump behind the wheel of one of these vehicles, hopefully very soon. The 2018 Hyundai Sonata, our best Sonata ever."
1,4,"This plant, you may or may not know, was a 2011 JD Power Platinum Award winner."
1,5,"With more than 120 industry accolades, it's the most awarded vehicle in the segment, including multiple JD Power Initial Quality Awards, a better IQS score than Honda or Toyota for three years running, and holding the IHS Award for Owner Loyalty for the last 14 straight years."
1,6,"And when you're the most awarded vehicle in the entire category, you don't settle for anything but more."
2,1,Very impressive is also the way to interact with the all-new BMW 7 Series.
2,2,Just think of BMW i or BMW M. Now carbon fiber comes to the all-new BMW 7 Series.
2,3,"Introducing the all-new BMW 7 Series, the flagship of BMW. It embodies everything BMW stands for and features a great deal of innovations you've never seen before."
2,4,"Hey everyone, how's it going? For today's video let's take an up close and personal exclusive in-depth look at the all-new BMW i8."
2,5,And this is going to be a detailed in-depth review of the i8.
2,6,"And before we begin I'd like to take a moment to extend a big thanks and special shout out to Flow BMW located in Winston-Salem, North Carolina for providing the i8 featured in today's in-depth review."
3,1,"The Q50 is the latest premium performance sedan from Infiniti. The Q50 is longer, lower, and wider than Infiniti's previous G37 sedan, and it has world's first advances for the luxury market."
3,2,"Hello, I'm Jane, a product specialist for Infiniti, and this is the all-new Infiniti Q50."
3,3,"So ladies and gentlemen, please welcome the new Infiniti Q50. Here it is, the new Infiniti Q50."
3,4,"Yeah, that's it. Now we come to the end. That's all I have to say about Schoen."
3,5,That is one of the things I really like about Captain Future.
3,6,"Captain Future is the best. That's why it's so cool. And, yeah, I like that."
4,1,"New intelligence, a new beginning. The all-new XC90 drives Volvo's impeccable speed."
4,2,"The all-new XC90. A new design, a new beginning. The all-new XC90."
4,3,"The all-new XC90. A new design, a new beginning. The all-new XC90."
4,4,"Inside and out, we've taken a human-centered approach to design. And with me today from our Acura Design Studio in Torrance, California, is the NSX exterior design lead, Michelle Christiansen, and interior design lead, John Norman."
4,5,"My name is Adrian van Hooydonk, and I'm the design director for the BMW Group."
4,6,"As I said, I'm the leader of the dashboard. I'm a bit disappointed here."
