Topic,Count,Name,Representation,Representative_Docs
-1,3313,-1_you_car_new_about,"['you', 'car', 'new', 'about']","[""Plus, there's a standard 3-month SiriusXM trial subscription that includes over 165 channels available in Cabin and even more on the SiriusXM app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. Select grades also include trials for 's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect. For an immersive listening experience, the available 8-speaker JBL Premium Audio System pumps out tunes in stunning."", 'The all-new.', ""Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more. All grades also come with trials to 's line of connected services, including Safety Connect, Service Connect, Remote Connect, Wi-Fi Connect, and Drive Connect.""]"
0,2521,0_is_you_car_new,"['is', 'you', 'car', 'new', 'design']","['Now, if we talk just a little bit about the interior. Our interior team had the same kind of theme that we did where they wanted to create a new car, not just a scaled version of our 1960 cars.', 'The low stance and dynamic proportions, with a strong character line leading into the shoulder of the car and the brand-defining question-cut C-pillar. The new rear design now features the unique rear light graphics that make this car unmistakably an. The new, our flagship sedan, will be offered with various grades catering to the preferences of our customers, differentiating clearly between the Sport and the Premium version, which are shown here today.', 'To me the is an epiphany. This car is awesome.']"
1,1668,1_hybrid_charging_electric_battery,"['hybrid', 'charging', 'electric', 'battery', 'drive', 'engine']","[""And because it's a plug-in hybrid, it also has an EV-only mode with an EPA-estimated 42-mile range rating. To leverage that range, just charge it up. This can be done using the standard Level 1 charging cable connected to a regular wall outlet, or via an available 240-volt Level 2 charging solution, which brings the estimated charge time down to around 2.5 hours."", 'The rear wheel drive model is equipped with a 168 kilowatt electric motor that produces 225 horsepower and 258 pound-feet of torque. In contrast, the all-wheel drive version features a more potent dual motor system, delivering a combined output of 429 horsepower and 446 pound-feet of torque. With a high capacity 77.4 kilowatt-hour battery, the offers an estimated driving range of up to 300 miles on a single charge, depending on the chosen configuration.', 'On the other hand, Platinum prioritizes maximum performance thanks to its hybrid max powertrain. It features a 2.4-liter turbocharged four-cylinder engine coupled with a conventional six-speed automatic transmission and an electric motor. This performance hybrid electric system generates a hearty 340 net combined horsepower and 400 pound-feet of torque for instantaneous response and incredible acceleration every time the driver pushes the accelerator pedal.']"
2,1560,2_system_assist_safety_car,"['system', 'assist', 'safety', 'car', 'control', 'steering', 'driver', 'features', 'standard']","[""For 2023, the entire lineup features Safety Sense 3.0, a standard safety suite that takes the TSS platform to an even higher level. Enhancing systems like its Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, Road Sign Assist, and the new Proactive Driving Assist. And naturally, also features 's signature Star Safety System and 10 airbags throughout the cabin for peace of mind."", ""To that end, the entire lineup comes standard with Safety Sense 2.5+, 's advanced suite of active safety technologies that offers enhanced functionality with features like Pre-Collision System, Lane Departure Alert with Steering Assist, automatic high beams, dynamic radar cruise control, lane tracing assist, and road sign assist. Along with its 10 standard airbags, every also features Star Safety System, a robust safety suite that's designed to help prevent accidents from occurring in the first place."", 'When it comes to safety and convenience, has its bases covered. Every grade comes standard with Safety Sense 2.5+, which includes Pre-Collision System with Pedestrian Detection, Lane Departure Alert with Steering Assist, Automatic High Beams, Full-Speed Range Dynamic Radar Cruise Control, Lane Tracing Assist, and Road Sign Assist. Complementing that, Blind Spot Monitor with Rear Cross-Traffic Alert is also standard in all grades for enhanced assistance on the road.']"
3,742,3_for_show_please,"['for', 'show', 'please']","['Direct from the Cobo Hall in Detroit, The Auto Channel presents exclusive press pass coverage of the 2009 North American International Auto Show. Ladies and gentlemen, please welcome Motor Sales Group Vice President, Environmental and Public Affairs, Irv Miller. Thank you.', ""Ladies and gentlemen, please welcome Senior Vice President, sales and marketing and operations, North America, Fred Diaz. Hello, Los Angeles, it's great to be back here in LA for the third year in a row. You know, two years ago, I told you the brand was a brand on the move, and today we have proof."", 'Ladies and gentlemen, the Senior Vice President and General Manager of the Division, Mr. Mike Accovetti. Good morning. Hi, everyone.']"
4,312,4_they_for_what_brand,"['they', 'for', 'what', 'brand', 'design', 'new']","[""remains committed to providing the best customer care, period. With our new showroom of products giving America exactly what they want from this brand, beautifully expressive styling, and in combination with industry-leading customer care, we certainly intend to satisfy many, many more customers. You've watched us grow over the last year as we've expanded our portfolio."", 'And for me, on Long Island, New York, my father was actually one of those first customers behind the wheel of a 100 and ahead of a curve that would ultimately lead us to this very powerful moment. The rise of the brand in America started strong, gained momentum in those early years, but success clearly was far from certain. So we injected a portfolio with products that proved right for the times.', ""We intend to be a catalyst for change in an industry that's ready for transformation. I am so excited about the future of. In addition to developing an all-new product portfolio, the brand will perform like a startup, bringing an entrepreneurial spirit, speed, and renewed customer focus to the development of new products, technologies, and services throughout the customer lifecycle.""]"
5,147,5_black_led_19_trd,"['black', 'led', '19', 'trd', 'nightshade']","['Available in SE and XSE grades, Apex offers the perfect combo of style and performance, starting with a black and bronze body kit and an available rear trunk aero spoiler that replaces the standard design. Additionally, Apex features lightweight 18-inch alloy wheels with a black flowform design, and a sport-tuned exhaust with a bolder exhaust note. Topping off these aggressive looks is a choice of three sleek paint schemes, including a trim-exclusive cement color with a black roof.', ""Based on the SE grade, FX delivers a healthy dose of style to its spirited drive, featuring 18-inch satin black finished alloy wheels with machined accents, a black painted rear spoiler, exterior badging, black painted mirror caps, a midnight black metallic shark fin antenna, smoked LED taillights with black accents, black lug nuts, and available two-tone exterior colors with a midnight black metallic roof. This dynamic compact just can't be ignored."", 'SE Nightshade delivers a sleek, custom look with its black trim, including accented door handles, mirror caps, antenna, rear spoiler, window trim, and black rear badging. And for 2023, new 19-inch TRD matte bronze-finished wheels help add even more style across all Nightshade models. Meanwhile, TRD declares its performance capabilities with 19-inch TRD matte black wheels and a gloss black aero kit, including a gloss black front splitter and raised black rear spoiler.']"
6,115,6_door_rear_trunk_pull,"['door', 'rear', 'trunk', 'pull', 'tailgate', 'cover', 'top', 'cargo']","['Place your hands around the lower edge of the cover and pull to unclip. Then push it upwards to disengage and place the cover under the floor compartment. As a last step, simply close the compartment.', 'For convenient and easy access to both front and rear, the doors are designed to open outward with no obstructions to the passenger compartment. To open the rear door, pull the handle here. Always close the rear door first.', ""The Gran Turismo's cargo cover can be conveniently stored in the floor compartment of the trunk thanks to its expanded cargo area. To do this, first you must remove the cover behind the rear seats. Place your hands in the recessed grips on the bottom of the cover and push upwards until the cover comes free.""]"
7,114,7_amg_gt_in_performance,"['amg', 'gt', 'in', 'performance', 'racing', 'gt3', 'so', 'car', 'coupe', 'door']","['On the GT four-door coupe, the GT53 sports double round exhaust tips, while the GT63 features a double trapezoidal design. And there is no shortage of wheel options available for every model in the lineup that range in size from 19 to 21 inches, with choices ranging from AMG forged wheels across the GT family to iconic monoblock style designs on the GT four-door coupe.', 'The AMG tradition of handcrafted precision continues as each GT or GT63 variant has a hand-built AMG 4.0 liter V8 bi-turbo engine that delivers exceptional power starting very low in the rev range and enables outstanding speed and performance. The rear-wheel drive GT two-door coupe and have exceptionally low centers of gravity, enabling extremely agile handling on the road and allowing for high-speed cornering when needed.', ""It's an amazing car to start with, but I'm really interested to know more about the AMG variant here. Yeah, the AMG, it's an absolute blast. We've got 749 horsepower from the first production electric AMG ever made.""]"
8,100,8_class_new_is_you,"['class', 'new', 'is', 'you', 'luxury', 'car']","[""And if I decelerate now, you can see the recuperation. Well, as I told you, the new S-Class Hybrid is more electric than ever before. All right, Dirk, so what else is there you'd like to tell me about the all-new S-Class?"", ""Although I can still show you what this new S-Class is capable of. This is the new S-Class. It's more than just a car."", 'Absolutely. First of all, the S-Class. We have the all-new S-Class here, and the S-Class is the first model that comes to mind as a consumer when we speak of the brand of.']"
