Topic,Count,Name,LLM,KeyBERT,POS,MMR
-1,4223,-1_car_new_vehicle_driving,Noise / Outlier,"cars, vehicle, car, toyota, mustang, driving, accord, drive, hybrid, driver","car, new, driving, design, fuel, driver","car, new"
0,4058,0_new_car_bmw_design,,"lexus, volvo, car, bmw, customers, vehicle, design, new","new, car, cars","car, bmw"
1,785,1_rear_steering_suspension_speed,,"rear, steering, chassis, motor, vehicle, drive, driving","rear, steering, car, suspension, speed, transmission, drive","rear, steering, car, suspension, speed, transmission"
2,777,2_electric_engine_horsepower_torque,,"horsepower, engine, turbocharged, engines, motor, motors, tesla, v6, car, electrification","electric, engine, horsepower, torque, power, liter, battery, cylinder, motor, car","electric, engine, horsepower, torque, liter, battery, cylinder, motor, fuel, vehicle"
3,652,3_seat_seats_door_cargo,,"trunk, cargo, seats, passengers, seat, compartment, seating, cabin, storage, luggage","seat, seats, door, cargo, rear, space, trunk, storage, carbon, leather","seats, door, cargo, rear, space, trunk, leather, fiber, interior"
4,595,4_display_navigation_screen_voice,,"smartphone, android, mobile, apps, touchscreen, displays, screen, app, navigation, apple","display, navigation, screen, voice, phone, information, smartphone, control","navigation, screen, voice, phone, carplay, apple, android, smartphone"
5,491,5_lane_assist_mode_braking,,"safety, driving, vehicle, braking, steering, driver, traffic, lane, parking, alerts","lane, assist, mode, braking, brake, traffic, blind, spot, collision","lane, assist, braking, traffic, collision, camera, pedal, parking, detection, driver"
6,438,6_charging_charge_taycan_charger,,"charging, charger, charge, charged, outlet, bmw, car, plug, battery, vehicle","charging, charge, charger, stations, station, battery, volt, hours, car, cable","charging, charge, taycan, charger, stations, volt, porsche, cable"
7,366,7_led_grille_light_lights,,"headlights, taillights, lighting, lights, led, design","grille, light, lights, headlights, kidney, rear, design","led, lights, headlights, kidney, rear, roof, laser"
8,348,8_interior_materials_design_colors,,"interior, inside, design, materials, luxury, surfaces, sculpture","interior, materials, design, colors, color, surfaces, premium, beautiful","interior, materials, design, colors, inside, surfaces, premium, beautiful"
9,290,9_sonata_hyundai_kia_hyundai sonata,,"sonata, hyundai, kia, toyota, car, vehicles, new, design, quality","new, warranty, fleet, safety, best, limited, better","sonata, hyundai, kia, new, warranty, 2020, fleet, optima, safety"
10,257,10_audi_tron_q5_a7,,"audi, car, vehicle, suv, a6, electric, a7, a3, a4, a8","tron, quattro, new, electric, design, car, luxury, signature","audi, q5, a7, a3, a8, quattro, a6, electric"
11,189,11_elantra_elr_new elantra_hyundai,,"elantra, hyundai, elr, sedan, hybrid, cadillac, car, 2021, compact, safety","new, generation, brand, compact, safety, features, design, segment, sedan","elantra, elr, hyundai, genesis, generation, brand, compact, safety, design"
12,187,12_hour_range_kilometers_seconds,,"speed, kilometers, kilometer, km, fast, seconds, range, hour","hour, range, kilometers, seconds, electric, speed, battery, km","range, kilometers, seconds, electric, speed, 60, battery, km"
13,178,13_nissan_leaf_nissan leaf_new nissan,,"nissanusa, nissan, leaf, ev, vehicle, car, sedans, mobility, plant, autonomous","nissan, leaf, new, intelligent, mobility, technology, world, technologies","nissan, leaf, altima, intelligent, ev, sentra, mobility, technology, nissanusa, driving"
14,154,14_polestar_electric_car_brand,,"polestar, brand, volvo, electric, design, performance, customers, customer","electric, car, brand, performance, customer, pure, cars, production, heart, space","polestar, electric, car, brand, volvo, performance, customer"
15,151,15_nsx_acura_nx_supercar,,"nsx, acura, nx, cx, rx, supercar, ilx, rlx, lexus, vehicle","supercar, new, standard, brand, performance, driver, unique, features","nsx, acura, nx, supercar, standard, cx, brand, performance, driver, ilx"
16,150,16_infiniti_q50_infinity_brand,,"q50, infiniti, q60, sedan, luxury, hybrid, brand, premium, infinity, performance","infinity, new, brand, performance, market, design, future, look","infiniti, q50, infinity, new, brand, performance, market, johan, globally"
17,149,17_battery_lithium_temperature_cold,,"batteries, battery, lithium, cell, cells, thermal, cooling, enclosure, laptop, ion","battery, temperature, lithium, cold, batteries, cooling, pack, ion, cells, iron","battery, temperature, lithium, cold, batteries, cooling, pack, ion, winter"
18,128,18_hybrid_plug_plug hybrid_hybrids,,"hybrid, hybrids, electrification, powertrain, plug, car, vehicle, volkswagen, sedan, electric","hybrid, plug, hybrids, electric, fuel, car, technology","hybrid, plug, hybrids, electric, jetta, fuel, car"
