topic,rank,representative_text
-1,1,"Hello everyone, I'm Steve Kincaid with Honda and we're celebrating the 40th anniversary of the Honda Accord, the best-selling car in America over the past four decades. Today I'm here with the all-new 2017 Accord Hybrid. the most technologically advanced Accord we've ever made."
-1,2,"Over Accord's 40-year history, more than 13 million Accords have been sold to American car buyers. And Accord has played a big part in Honda's U.S. exports since the first U.S.-made Accord boarded a ship in 1987. For four decades, Accord has defined Honda's core values."
-1,3,"We'd like to think that this Accord will ace the ballet test like no other Accord that's come before it. Of course, our story is much more than just styling. This will be the most fun-to-drive Accord ever."
-1,4,"It will automatically ask you to pair it if you don't have one already connected, otherwise you just select the device or the vehicle will automatically connect to the paired device. You can dial the number, store contacts, and voice dial through the voice recognition system. The navigation screen is a nice high res unit."
-1,5,"To start, use your vehicle's iDrive controller to navigate to Settings menu, then Connections, and select Bluetooth. Here, you will see an option to Add New Device. Select this, and then, when you're prompted by the screen, switch over to your iPhone."
-1,6,"Go to Settings, select Bluetooth, and make sure it's enabled. Under Devices, you'll see a list of available devices to pair with your phone. Find your vehicle on this list using the vehicle ID that's displayed on your iDrive screen."
0,1,"Hi there, I'm Johnny Lieberman with Motor Trend and I am driving the all-new Karma Rivero GT. This is a plug-in hybrid vehicle. That means it's got a battery and an electric motor as well as a gasoline engine."
0,2,Range that's a thousand kilometer range This would be the first time an electric vehicle breaks a thousand kilometers a production electric vehicle will travel more than a thousand kilometers a single charge at highway speed But you'll be able to travel from LA to San Francisco and back at highway speed without recharging The point of doing this is to just give the hardcore smackdown to gasoline cars Drive driving a gasoline sports car is gonna feel like a steam engine with a side of quiche This thing will have three motors.
0,3,"So everything again has that feeling, has that feeling of like a very nice 7 series leather so you don't get you don't feel like okay I'm inside of an eco-friendly car obviously the quietness gives you that sensation and and the overall feeling of the car gives you the sensation of a futuristic eco-friendly car but the interior feels as luxurious as you would anticipate a brand new $130,000 BMW would so we'll go through some of the drive modes and we'll talk about this instrument cluster moving over here to the left you have your AC vents which are manually operated with a little tab centrally located tab and everything feels really quality everything feels really tangible to the touch so you know nothing is loose everything has a really quality heavy sensation to it you have your light switch your automatic off your daytime running lamps and full-on and your interior cabin lighting so you do have some information here at the bottom left that can be cycled through with this BC button so as I push this BC button this cycles through and of course you have your turn signals here on this stock functioning your turn signal is pretty easy everything is just like other BMWs so if you're if you're a BMW fan or you have other BMW cars getting into this car would be really easy to function and start driving right away you have your cruise control settings here on the left hand side of the steering wheel and this car is equipped with this, it automatically knows the speed limit where you are and it'll give you a visual signal of the speed limit here and there's a visual, I'm not sure if it shows on the camera, but there's a visual signal of the speed limit in my windscreen with the heads up display, full color heads up display."
0,4,"Hey, I'm Bradley Hasenmaier, and I am thrilled to share a few highlights of the 2020 Acura ILX with incredible standard features and bold new styling. It'll help you stand out when you're ready to step up. Ready to see for yourself?"
