title,source_row,paragraph_id,sentence_start_id,sentence_end_id,sentence_count,sentence,word_count,char_count,dataset_row,document,topic
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,1,1,3,3,"Ladies and gentlemen, Executive Vice President of the Acura Business Planning Office, Mr. Eric Berkman. Well, good morning, folks, and thanks for joining us today. This is a big day for the Acura brand.",34,202,0,"Ladies and gentlemen, Executive Vice President of the Acura Business Planning Office, Mr. Eric Berkman. Well, good morning, folks, and thanks for joining us today. This is a big day for the Acura brand.",2
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,2,4,6,3,"We're here today for the exciting world debut of the new NSX, a vehicle that reflects Acura's American roots. The NSX makes a powerful statement about the strong role being played by our North American operations in envisioning and building the future of Acura. Starting today, you will see Acura focus even more strongly on our core values and DNA as a challenger brand, breaking some rules and doing the unexpected to create new value for luxury buyers.",78,455,1,"We're here today for the exciting world debut of the new NSX, a vehicle that reflects Acura's American roots. The NSX makes a powerful statement about the strong role being played by our North American operations in envisioning and building the future of Acura. Starting today, you will see Acura focus even more strongly on our core values and DNA as a challenger brand, breaking some rules and doing the unexpected to create new value for luxury buyers.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,3,7,9,3,"Looking forward, you can expect premium products that place even greater emphasis on dynamic design, premium content, and exhilarating performance. Three years ago, we announced that we were creating a next-generation NSX supercar, but we didn't stop there. We also announced that a U.S. R&D team would lead the development and that America would be the exclusive global production home for NSX.",64,395,2,"Looking forward, you can expect premium products that place even greater emphasis on dynamic design, premium content, and exhilarating performance. Three years ago, we announced that we were creating a next-generation NSX supercar, but we didn't stop there. We also announced that a U.S. R&D team would lead the development and that America would be the exclusive global production home for NSX.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,4,10,12,3,"Today we're here to deliver on that promise, but the all-new NSX represents more than just a real supercar. It heralds a sharpened focus on our sports heritage and is a vehicle that achieves precision-crafted performance and incredible joy-inducing synergy between the driver and machine. For the Acura brand, it all starts now.",53,328,3,"Today we're here to deliver on that promise, but the all-new NSX represents more than just a real supercar. It heralds a sharpened focus on our sports heritage and is a vehicle that achieves precision-crafted performance and incredible joy-inducing synergy between the driver and machine. For the Acura brand, it all starts now.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,5,13,15,3,"Ladies and gentlemen, the Senior Vice President and General Manager of the Acura Division, Mr. Mike Accovetti. Good morning. Hi, everyone.",21,138,4,"Ladies and gentlemen, the Senior Vice President and General Manager of the Acura Division, Mr. Mike Accovetti. Good morning. Hi, everyone.",2
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,6,16,18,3,"It's great to be back in Detroit. In each of the past two years, I took the stage here and introduced important products to the Acura brand, new vehicles that would deliver on core Acura values and that have created powerful momentum. Of course, I'm talking about the MDX, the best-selling luxury three-row SUV over the past 10 years here in America, and the TLX, which has quickly become one of our best-selling vehicles.",74,422,5,"It's great to be back in Detroit. In each of the past two years, I took the stage here and introduced important products to the Acura brand, new vehicles that would deliver on core Acura values and that have created powerful momentum. Of course, I'm talking about the MDX, the best-selling luxury three-row SUV over the past 10 years here in America, and the TLX, which has quickly become one of our best-selling vehicles.",14
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,7,19,21,3,"Further, in Los Angeles, we announced plans to strengthen the gateway to the Acura lineup with a huge injection of Acura DNA into the 2016 Acura ILX. So, while the NSX will be a great leap, it builds upon the strong momentum we have created step by step as we advance and energize the Acura brand. I'm very pleased with what we have accomplished over the past two years.",69,370,6,"Further, in Los Angeles, we announced plans to strengthen the gateway to the Acura lineup with a huge injection of Acura DNA into the 2016 Acura ILX. So, while the NSX will be a great leap, it builds upon the strong momentum we have created step by step as we advance and energize the Acura brand. I'm very pleased with what we have accomplished over the past two years.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,8,22,24,3,"The Acura brand was established in America nearly 30 years ago, and those deep American roots support every aspect of our brand. began here. Key products like the MDX and TLX are designed and developed here and more than 95% of the products we sell are made in America.",49,269,7,"The Acura brand was established in America nearly 30 years ago, and those deep American roots support every aspect of our brand. began here. Key products like the MDX and TLX are designed and developed here and more than 95% of the products we sell are made in America.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,9,25,27,3,"Now our US R&D team is leading a global group in developing the NSX, which will be produced at our new performance manufacturing center in Ohio. The original Acura NSX debuted in America 25 years ago next month. NSX stood for new sports experimental, but when it proved to be no experiment, the name stuck and NSX redefined what it meant to be a supercar.",66,355,8,"Now our US R&D team is leading a global group in developing the NSX, which will be produced at our new performance manufacturing center in Ohio. The original Acura NSX debuted in America 25 years ago next month. NSX stood for new sports experimental, but when it proved to be no experiment, the name stuck and NSX redefined what it meant to be a supercar.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,10,28,30,3,"Many things have changed in our industry and in the marketplace since 1989, maybe more than just my hairstyle. There's a new generation of customers, technological advancements, new manufacturing techniques, but one thing that hasn't changed is the values that created the NSX. Supercar performance delivered in a unique and challenging way, powered by new technologies and using new materials.",60,394,9,"Many things have changed in our industry and in the marketplace since 1989, maybe more than just my hairstyle. There's a new generation of customers, technological advancements, new manufacturing techniques, but one thing that hasn't changed is the values that created the NSX. Supercar performance delivered in a unique and challenging way, powered by new technologies and using new materials.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,11,31,33,3,"That is the heritage of NSX. Our commitment was to create an all new NSX that is true to that heritage. A supercar that delivers a new driving experience where every part of the vehicle is respectful of the smartest part of the car, the driver.",46,244,10,"That is the heritage of NSX. Our commitment was to create an all new NSX that is true to that heritage. A supercar that delivers a new driving experience where every part of the vehicle is respectful of the smartest part of the car, the driver.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,12,34,36,3,"You know, as kids, we grow up dreaming of cars that are limited only by our imaginations. That's why many of us are here today as adults, but yet kids at heart, at one of the great global auto shows. The NSX is that kind of car.",47,228,11,"You know, as kids, we grow up dreaming of cars that are limited only by our imaginations. That's why many of us are here today as adults, but yet kids at heart, at one of the great global auto shows. The NSX is that kind of car.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,13,37,39,3,"It not only lives up to the legacy of its predecessor, it's the stuff our dreams are made of. Ladies and gentlemen, the soul of a car is the emotional connection that it makes with the driver. And with the NSX, that connection will be intense, immediate, and very personal.",50,273,12,"It not only lives up to the legacy of its predecessor, it's the stuff our dreams are made of. Ladies and gentlemen, the soul of a car is the emotional connection that it makes with the driver. And with the NSX, that connection will be intense, immediate, and very personal.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,14,40,42,3,"here, the all-new Acura NSX. NSX Global Development Leader, Ted Klaus. Morning everyone, it's been my honor to lead development for this new Acura supercar, the next generation NSX.",29,181,13,"here, the all-new Acura NSX. NSX Global Development Leader, Ted Klaus. Morning everyone, it's been my honor to lead development for this new Acura supercar, the next generation NSX.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,15,43,45,3,"Now I'm incredibly proud to represent a global team of passionate designers and engineers who have come together to create this new NSX. Our goal was to create a human-centered supercar that delivers a new sports experience. And while that begins with what you see right here, ultimately it's delivered by what you will experience when you get behind the wheel.",61,361,14,"Now I'm incredibly proud to represent a global team of passionate designers and engineers who have come together to create this new NSX. Our goal was to create a human-centered supercar that delivers a new sports experience. And while that begins with what you see right here, ultimately it's delivered by what you will experience when you get behind the wheel.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,16,46,48,3,"Fulfilling the NSX legacy Mike talked about means that we provide performance based on the concept of human fit. That means driver-centric performance. This performance will not only thrill sports car purists out on the track, but most importantly, reward drivers of all skill levels in the real world.",49,302,15,"Fulfilling the NSX legacy Mike talked about means that we provide performance based on the concept of human fit. That means driver-centric performance. This performance will not only thrill sports car purists out on the track, but most importantly, reward drivers of all skill levels in the real world.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,17,49,50,2,"Now our starting point was we needed to sit down with the leaders of of the first generation NSX. We needed to deeply appreciate NSX heritage, but we also embedded several of those original leaders in the development of this new model, including those who worked directly with the legendary Ayrton Senna.",52,304,16,"Now our starting point was we needed to sit down with the leaders of of the first generation NSX. We needed to deeply appreciate NSX heritage, but we also embedded several of those original leaders in the development of this new model, including those who worked directly with the legendary Ayrton Senna.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,18,51,52,2,"As a result, both vehicles share a common lineage, a fundamental respect for timeless sports car values, best achieved by a rigid and light chassis with the mass placed low and very close to the driver. But at the same time, creating an NSX demands an openness to advanced technologies, but only those technologies that enable the vehicle to directly respond to the driver's inputs.",65,382,17,"As a result, both vehicles share a common lineage, a fundamental respect for timeless sports car values, best achieved by a rigid and light chassis with the mass placed low and very close to the driver. But at the same time, creating an NSX demands an openness to advanced technologies, but only those technologies that enable the vehicle to directly respond to the driver's inputs.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,19,53,55,3,"And so what we've done is we've combined excellent fundamentals with advanced super handling technologies, all focused on creating again, a sports car that will respond to the will of the driver. Now three years ago, we announced that the NSX would have a unique power unit. We would incorporate a three motor sport hybrid system, and we've done that.",60,351,18,"And so what we've done is we've combined excellent fundamentals with advanced super handling technologies, all focused on creating again, a sports car that will respond to the will of the driver. Now three years ago, we announced that the NSX would have a unique power unit. We would incorporate a three motor sport hybrid system, and we've done that.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,20,56,58,3,"But that was not the limit of our thinking regarding the power unit. Some of you may recall the blue NSX that lapped Mid-Ohio before the start of the IndyCar race in August of 2013. Now this early prototype was powered by a transverse mounted, normally aspirated V6, and it was a good powertrain.",54,296,19,"But that was not the limit of our thinking regarding the power unit. Some of you may recall the blue NSX that lapped Mid-Ohio before the start of the IndyCar race in August of 2013. Now this early prototype was powered by a transverse mounted, normally aspirated V6, and it was a good powertrain.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,21,59,61,3,"But for NSX, good is not good enough. And we recognized the need and the responsibility to do more to fulfill our goal of creating a truly iconic supercar. So right in the middle of development, we made a bold decision to create an all-new, longitudinally-mounted twin-turbocharged V6.",48,285,20,"But for NSX, good is not good enough. And we recognized the need and the responsibility to do more to fulfill our goal of creating a truly iconic supercar. So right in the middle of development, we made a bold decision to create an all-new, longitudinally-mounted twin-turbocharged V6.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,22,62,64,3,"Changing the powertrain design and layout was not an easy task. Frankly, it was like undergoing a heart transplant while running a marathon. But 10 seconds behind the wheel, you'll understand how this new power unit is one of the keys to deliver the new sports experience.",47,272,21,"Changing the powertrain design and layout was not an easy task. Frankly, it was like undergoing a heart transplant while running a marathon. But 10 seconds behind the wheel, you'll understand how this new power unit is one of the keys to deliver the new sports experience.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,23,65,67,3,"It's nestled down low in the chassis, and our power unit will respond to all drivers' demands, acceleration, braking, as well as cornering. Now our engine is mated with an all-new nine-speed dual-clutch transmission of our own design, which houses a electric motor at the rear, directly driving the rear wheels. Twin electric motors in the front provide instant torque, but also dynamic torque vectoring.",65,404,22,"It's nestled down low in the chassis, and our power unit will respond to all drivers' demands, acceleration, braking, as well as cornering. Now our engine is mated with an all-new nine-speed dual-clutch transmission of our own design, which houses a electric motor at the rear, directly driving the rear wheels. Twin electric motors in the front provide instant torque, but also dynamic torque vectoring.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,24,68,69,2,"In these three motors, one aft and two up front, together they comprise the sport hybrid system. The combination of a twin turbocharged engine, together with our electric motors, delivers instantaneous and yet broad torque.",35,223,23,"In these three motors, one aft and two up front, together they comprise the sport hybrid system. The combination of a twin turbocharged engine, together with our electric motors, delivers instantaneous and yet broad torque.",0
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,25,70,72,3,"And now with a total system horsepower, North of 550, our unique combination of internal combustion engine and electric motor enables the NSX to launch with zero delay acceleration, a G feeling unlike anything you've ever experienced, unless you spent some time in an F1 car. An evolution of Acura's integrated dynamic system supports performance at the will of the driver in every driving situation. There are four modes, quiet, sport, sport plus, and track.",75,459,24,"And now with a total system horsepower, North of 550, our unique combination of internal combustion engine and electric motor enables the NSX to launch with zero delay acceleration, a G feeling unlike anything you've ever experienced, unless you spent some time in an F1 car. An evolution of Acura's integrated dynamic system supports performance at the will of the driver in every driving situation. There are four modes, quiet, sport, sport plus, and track.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,26,73,75,3,"And these modes progressively reveal the full range of the dynamic capabilities of the NSX. From its near silent quiet mode, when using only electric power, to the full at the limit dynamic capabilities of track mode, the NSX responds to your need and desire for a truly unique and thrilling sports car experience. One that's enjoyable for everyday driving and completely exhilarating on the track.",66,398,25,"And these modes progressively reveal the full range of the dynamic capabilities of the NSX. From its near silent quiet mode, when using only electric power, to the full at the limit dynamic capabilities of track mode, the NSX responds to your need and desire for a truly unique and thrilling sports car experience. One that's enjoyable for everyday driving and completely exhilarating on the track.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,27,76,78,3,"Now when we began development, the notion of a hybrid supercar was still a very new idea. So let me explain a bit more holistically what our sport hybrid technology helps us accomplish. The layout actually lowers down the center of gravity and thus it improves the fundamental vehicle dynamics.",50,294,26,"Now when we began development, the notion of a hybrid supercar was still a very new idea. So let me explain a bit more holistically what our sport hybrid technology helps us accomplish. The layout actually lowers down the center of gravity and thus it improves the fundamental vehicle dynamics.",1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,28,79,81,3,"We utilize the unique characteristics of the motors to respond to your throttle, brake, and steering inputs. We do not control you, but rather we directly respond to your commands such that you're fully connected. And so the NSX delivers an experience that's truly unique and yet at the same time, timeless.",52,307,27,"We utilize the unique characteristics of the motors to respond to your throttle, brake, and steering inputs. We do not control you, but rather we directly respond to your commands such that you're fully connected. And so the NSX delivers an experience that's truly unique and yet at the same time, timeless.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,29,82,84,3,"So just like the original, which was the first all-aluminum production vehicle, the new NSX will feature world's first materials, as well as innovative constructions. A multi-material chassis comprised of an aluminum-intensive space frame with strategic use of ultra-high strength steel, carbon fiber, and all-aluminum suspension. The combination of its lightweight chassis and low-mounted sport hybrid power unit give the NSX the lowest center of gravity in its class.",69,469,28,"So just like the original, which was the first all-aluminum production vehicle, the new NSX will feature world's first materials, as well as innovative constructions. A multi-material chassis comprised of an aluminum-intensive space frame with strategic use of ultra-high strength steel, carbon fiber, and all-aluminum suspension. The combination of its lightweight chassis and low-mounted sport hybrid power unit give the NSX the lowest center of gravity in its class.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,30,85,87,3,"Now, we call this our advanced sports package, and it's critical to deliver the on-rails handling that is core to the experience of driving any NSX. Inside and out, we've taken a human-centered approach to design. And with me today from our Acura Design Studio in Torrance, California, is the NSX exterior design lead, Michelle Christiansen, and interior design lead, John Norman.",62,380,29,"Now, we call this our advanced sports package, and it's critical to deliver the on-rails handling that is core to the experience of driving any NSX. Inside and out, we've taken a human-centered approach to design. And with me today from our Acura Design Studio in Torrance, California, is the NSX exterior design lead, Michelle Christiansen, and interior design lead, John Norman.",-1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,31,88,90,3,"My team had the incredible challenge of delivering on the stunning show car concept we debuted here three years ago, while at the same time translating it to a production car that houses the larger, more powerful, and now longitudinally mounted power unit. Every design element has a purpose, and that is to enhance performance. The more muscular exterior appearance evolved from the functional pursuit of total airflow management.",69,431,30,"My team had the incredible challenge of delivering on the stunning show car concept we debuted here three years ago, while at the same time translating it to a production car that houses the larger, more powerful, and now longitudinally mounted power unit. Every design element has a purpose, and that is to enhance performance. The more muscular exterior appearance evolved from the functional pursuit of total airflow management.",1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,32,91,92,2,"Air which flows through the front of the vehicle to cool the power unit, as well as the brakes, exits out the hood vent, as well as the fender vent, providing necessary front downforce. Now the air is managed so that it stays attached to the side of the vehicle, the same air being reintroduced to feed the mid-mounted twin-turbocharged V6.",61,340,31,"Air which flows through the front of the vehicle to cool the power unit, as well as the brakes, exits out the hood vent, as well as the fender vent, providing necessary front downforce. Now the air is managed so that it stays attached to the side of the vehicle, the same air being reintroduced to feed the mid-mounted twin-turbocharged V6.",1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,33,93,95,3,"And finally, this air cleverly exits the rear of the vehicle in a way that together with the decklid spoiler and the rear diffuser enhances rear downforce. It accomplishes all of this without active aerodynamics. Everything just works.",38,235,32,"And finally, this air cleverly exits the rear of the vehicle in a way that together with the decklid spoiler and the rear diffuser enhances rear downforce. It accomplishes all of this without active aerodynamics. Everything just works.",1
Acura Acura NSX Reveal at 2015 NAIAS (720p_30fps_H264-128kbit_AAC),1,34,96,98,3,"Beauty that derives from underlying function is also at the core of any NSX. In a similar way, the NSX cabin has a singular focus on functionality, again, based on human fit. Your body is supported in the form-fitting seats, your hands a glove fit with the steering wheel, and the very thin A-pillar contributes to a clear view out the front as the interior just kind of disappears while you engage in the task of enjoying your drive.",79,434,33,"Beauty that derives from underlying function is also at the core of any NSX. In a similar way, the NSX cabin has a singular focus on functionality, again, based on human fit. Your body is supported in the form-fitting seats, your hands a glove fit with the steering wheel, and the very thin A-pillar contributes to a clear view out the front as the interior just kind of disappears while you engage in the task of enjoying your drive.",1
