topic,rank,representative_text
-1,1,"Wireless Android Auto compatibility makes it easy to stay connected to Android devices. Plus, there's a standard three month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in cabin and even more on the SXM mobile app, making it easier than ever to enjoy not just ad free music, but also sports comedy and more. Drivers looking for even more audio enhancements will appreciate that Prius Limited features a JBL premium audio system."
-1,2,"In addition, wireless Android Auto compatibility makes it easy to stay connected to Android devices and access various apps and services from Google, including YouTube Music and Google Maps. Plus, there's a standard three-month SiriusXM PlatinumPlan trial subscription that includes over 165 channels available in-cabin, and even more on the SXM mobile app, making it easier than ever to enjoy not just ad-free music, but also sports, comedy, and more."
-1,3,That's my car.
-1,4,start ignition standard active sound control standard multi-view rear camera standard and as if all that wasn't enough Acura went ahead and made its Acura watch advanced safety and driver assistance technology package standard huh standard that has a nice ring to it doesn't it this package includes forward collision warning collision mitigation braking lane departure warning lane keeping assist road departure mitigation and adaptive cruise control standard across all trims.
-1,5,"The ILX has 201 horsepower, it's got an eight-speed dual clutch transmission and a 2.4 liter i-VTEC engine. The ride is very quick, very responsive, the steering is very sharp, plus with its lift electronic control you're getting more horsepower using less rpm so you're getting great fuel efficiency too."
-1,6,"Let's go. I need my car to look great. I want the kind of automobile that when I walk out of the grocery store, I see it in the parking lot and I say, that's my car."
0,1,"Let's check out the sleek exterior design of the new Mercedes-Benz S-Class. The front is dominated by this mighty radiator grille. The flanks look clean and strong, what I personally think is key to the prestige of any Mercedes-Benz S-Class."
0,2,"while the BMW 5 Series Touring gives function and performance a new stylish edge. Now let me introduce you to the sedan here next to me. What we have here is the 530e plug-in hybrid with M Sport package in photonic blue, which is just one of five new striking exterior colours."
0,3,"The precise refinement of the exterior design ensures that the new BMW 3 Series now expresses its drive-in pleasure-oriented character even more clearly. What we see here is the new BMW 330i with M Sport package. Newly available is this Brooklyn grey body colour, which emphasises the new design approach."
0,4,"And if you really want to up the the Annie, opt for the NSX inspired ultra suede trimmed sport seat on the a-spec package engineered with lateral grip to keep you firmly planted in your seat. And you can really tell that the car's been designed around the driver."
0,5,"Bold, sophisticated styling Acura really found the balance there. You've got a sculpted hood, you've got a diamond pentagon grill, you've got the jewel eye LED lights, 19 inch wheels, and all of this greatness comes standard. And then when you go to the interior it only gets better."
0,6,"Where you're greeted with this premium cabin and precision craftsmanship. I mean take for instance the steering wheel. Beautifully stitched, beautiful leather."
1,1,"It will be available as a hybrid with class-leading fuel economy, a plug-in hybrid that could travel more than 25 miles on electric power, and also provide the efficiency of a conventional hybrid, and an electric vehicle that has a range of 110 miles, which is the highest of any compact electric vehicle that is currently in the marketplace."
1,2,"Yeah, so the EQS lineup is able to charge, it's actually the largest charging network in America with Electrify America. The EQS comes with two years of charging sessions, 30 minute charging sessions, that are complimentary so you can pull up to an Electrify America station And using the Mercedes me and the me charge app, you're able to activate the chargers and get 30 minutes of high speed charging per session. That's using DC fast charging capabilities."
1,3,The top socket is for level 2 or level 1 charging and for i3 vehicles that are equipped with a DC fast charging or SAE the lower port is for DC charging. Next insert the plug into the vehicle connector and push it in until it latches. You'll notice that the white light around the charging port flap will turn to yellow indicating that charging is initializing.
1,4,"The black car is a 2.4 liter engine, putting out 201 horsepower, made it to a six-speed manual transmission. Nice. A little bit more sporty on this one."
1,5,"Yep. What we think is going to be our most popular model. It's a 2.0 liter engine, putting out 150 horsepower."
1,6,"Hello. Hey, man. He has the YouTube channel Engineering Explained basically talks all about how cars work we have a very fancy car here there's a 3.5 liter twin-turbo v6 in the back powering the rear axle sandwiched between that engine and the transmission is a direct drive motor so you've got an additional electric motor and then you've got two electric motors up front one for each wheel so there's two motors working at the exact same time yep so there's a v6 engine in the back and then behind that v6 engine there's another direct drive motor and then so that electric motor is actually linked up to the crankshaft of this engine and then it's all sending all of that torque from the engine and the motor to the rear transmission and then splitting it to the two rear wheels."
2,1,"This updated bundle includes Pre-Collision System with Pedestrian Detection, now with Intersection Support Enhancement and a Driver Initiated Emergency Steering Assist Enhancement, Lane Departure Alert with Steering Assist, Automatic High Beams, Full Speed Range Dynamic Radar Cruise Control, now with Curve Speed Management, Lane Tracing Assist, and Road Sign Assist."
2,2,"A rear view camera gives you better visibility when in reverse, while a rear cross traffic alert can help warn you if cars are approaching from the side when reversing out of a parking space. To help you stay within your lane, there's available lane keep assist. The available automatic emergency braking with pedestrian detection can help warn the driver of a potential collision ahead."
2,3,Available blind spot detection is designed to alert you when there's a vehicle in your blind spot before you change lanes. An available rear cross traffic alert helps warn you if cars are approaching from the side when reversing out of a parking space. Available automatic emergency braking with pedestrian detection can warn the driver of a potential collision ahead.
2,4,"You've got easy access buttons and knobs and an easy place to just plug your phone right in too so you can access the available Apple CarPlay and Android Auto integration and it pulls up using these dual screen displays. Oh, this is great."
2,5,"I mean, it's like we're all riding first class, baby. How about this for convenience? The dual action armrest opens for the driver, Opens for the passenger, one push button, slides all the way back, revealing a place to plug in your phone, that's super smart for your super smart phone."
2,6,"And while you're checking out that list, let me highlight one of those for you, head up display, yes this is a super cool technology, you've got to pay a lot of money for this and other cars, it comes standard. Essentially, it projects information onto the windshield ahead of you, things like your speed or your turn-by-turn navigation."
3,1,"This is, we love the auto show season and New York's the official end of the auto show season so it's been a great run. The shows themselves are incredibly important in terms of getting our brand out in front of a lot of people both media and consumers. This show in and of itself is very important because It is IONIQ."
